"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.02374420001,      -2.444372429,     0.02162043425,       2.990499233,                         8,      -4.039014472,               3,       -5.56306311,   5.402502367e-08,   1.638114042e-05,                12,              14.4,       14.34493502,        -0.1700243162,          -1.150036842,                     0,      0.1128226365,      0.2939420446,                 0,       291.5431917,       296.1024924,                 0,       31849.12503,        31315.94687,                  0,        0.3805721466,         0.3684298976,                    0,          293686.8277,           302637.2324,                     0,          -13.83848419,           -94.74379262,                      0,        13.70233534,         94.73846087,                   0,                36.60549286,                 36.19088179,                           0,              -0.01958004931,             -0.0001125478191,                          nan,                       2.671478398,                       0.3820083359,                                nan,            292.312084,             301.220592,                      0,            32143.88577,              33251.8052,                       0,       19.49949442,       6.485307843,                 0,                 0,                 0,       10.92623455,       11.58130938,       16.97535783,                 0,      0.3325885124
           1,     0.02501690001,      -2.687611395,     -0.2367079931,       2.751710253,                         9,       -4.14519244,               4,      -5.451465035,   6.003873436e-08,   2.076476445e-05,                12,             17.28,       17.21002074,        -0.8135464353,           -1.55458589,                     0,      0.2643826757,      0.4862884009,                 0,       270.7184769,       284.4346941,                 0,       25079.19462,        24159.64939,                  0,        0.3227728743,         0.2958948377,                    0,          275824.3929,           299293.1536,                     0,          -76.80579503,           -159.6685642,                      0,         76.6533522,         159.5653653,                   0,                 42.2721674,                 39.25133254,                           0,             -0.003965626471,              -0.001292245821,                          nan,                       0.551471869,                       0.2459890495,                                nan,            274.533263,            297.8921667,                      0,            26336.93803,             28402.66589,                       0,       26.58423125,       7.979611908,                 0,                 0,                 0,        15.1748561,       16.31149872,       22.45730543,                 0,      0.3001633499
           2,     0.02528003334,      -2.838656075,     -0.4638870287,       2.615929357,                        10,      -4.143852479,               4,      -4.834700803,   7.216916016e-08,   2.576246006e-05,                12,            20.736,       20.65064319,         -1.204838729,          -1.811803476,                     0,      0.4340984321,      0.6460622677,                 0,       249.3271227,       267.6192903,                 0,       20300.18634,        20408.74108,                  0,        0.2838353423,         0.2657961665,                    0,          259951.8515,           291323.5334,                     0,          -129.6327586,           -207.4355273,                      0,        129.2322429,         207.1997778,                   0,                47.12640249,                 43.52965068,                           0,             -0.006169689822,              -0.002271698929,                          nan,                      0.3646644323,                        0.210085412,                                nan,           258.7350207,            289.9598522,                      0,            23110.26037,             27028.07989,                       0,       25.07681864,       7.226208713,                 0,                 0,                 0,       14.42010852,       15.56894555,       20.94451861,                 0,      0.2881628973
           3,     0.02545342501,      -2.864253458,     -0.5679659524,       2.590377216,                        10,      -3.860945534,               4,      -4.118958313,   8.657712326e-08,   3.075834504e-05,                12,           24.8832,       24.77965671,         -1.298792138,          -1.942749887,                     0,       0.500486946,      0.7532149992,                 0,        243.749803,       253.7410499,                 0,       18514.97818,        18247.99711,                  0,        0.2649145401,         0.2507906281,                    0,          257173.7108,           283856.6372,                     0,          -150.8441446,            -236.590076,                      0,        149.9006583,         236.1758857,                   0,                44.11594709,                 43.99796105,                           0,              -0.01247029819,              -0.003498268153,                          nan,                      0.2943012232,                       0.1862931981,                                nan,           255.9698844,            282.5279085,                      0,            21984.88155,             26604.08845,                       0,       22.12363943,       6.391571482,                 0,                 0,                 0,       12.76451571,       13.72555029,       18.49099448,                 0,      0.2889023528
           4,         0.0255565,      -2.912505574,     -0.5924815227,       2.544873636,                        10,      -3.552492461,               5,      -4.467044844,   1.044873047e-07,   3.644974603e-05,              14.4,          29.85984,       29.73558805,         -1.279936532,          -1.988014631,                     0,      0.5138329442,       0.822032087,                 0,        244.407085,       245.1100622,                 0,       17756.73576,        16804.34377,                  0,         0.253438433,         0.2391100603,                    0,          258575.3107,           279542.7064,                     0,          -157.1589883,           -254.7646669,                      0,        155.2714693,         254.2810079,                   0,                35.98466427,                 41.43242358,                           0,              -0.02387625776,              -0.003793303654,                          nan,                      0.2317532283,                       0.1629395129,                                nan,           257.3649235,            278.2341711,                      0,            21315.59358,             26221.66281,                       0,       20.32117021,        6.11073018,                 0,                 0,                 0,       11.73993212,        12.4619204,       17.17531724,                 0,      0.3007075929
           5,     0.02600096667,      -2.968695175,     -0.5978777561,       2.493733159,                        10,      -3.220138094,               6,      -4.734345355,   1.265143818e-07,   4.129279585e-05,             17.28,         35.831808,       35.68270566,         -1.230986428,          -1.989657523,                     0,      0.5078147576,      0.8745667351,                 0,       246.8005462,       240.2886986,                 0,       17338.56371,        15600.02468,                  0,        0.2451397868,         0.2263377782,                    0,          260838.0201,           278354.8589,                     0,          -156.7532825,           -269.0008124,                      0,        154.4878688,         268.6128938,                   0,                31.11511036,                 39.19413626,                           0,              -0.02869533085,              -0.002882064889,                          nan,                      0.2014081144,                       0.1459130859,                                nan,           259.6170412,            277.0518839,                      0,            20754.52698,             25703.85851,                       0,       19.13365674,       6.240858089,                 0,                 0,                 0,       11.08716818,       11.43842892,       16.55921115,                 0,      0.3261717388
           6,     0.02609538572,      -2.993962463,     -0.5855025366,       2.468273624,                        10,      -2.930205496,               6,      -4.010939173,   1.531822832e-07,   4.833901821e-05,             17.28,         35.831808,       35.68270566,         -1.202059515,          -1.988959875,                     0,      0.4986602179,      0.9191854325,                 0,       249.8587989,       237.2849008,                 0,       17215.17155,        14684.22368,                  0,         0.240402735,         0.2156439364,                    0,          263573.4817,           278697.7614,                     0,          -154.5381505,           -281.1792985,                      0,        153.0797338,         281.0284661,                   0,                32.19329596,                 39.03833953,                           0,              -0.01878545836,              -0.001072567674,                          nan,                      0.2103041021,                        0.138912403,                                nan,           262.3396981,            277.3931812,                      0,            20459.97369,             25372.23032,                       0,       17.60637195,       6.659247375,                 0,                 0,                 0,       10.30317731,        9.96997532,       15.96651186,                 0,      0.3782293929
           7,      0.0262819375,      -3.021652783,      -0.597556049,       2.439978672,                        10,      -2.873197472,               7,      -4.548109385,   1.544974077e-07,   4.770326239e-05,             1.728,         3.5831808,       3.568270566,         -1.206392024,          -2.005888448,                     0,      0.4959143847,      0.9538652018,                 0,       252.4369484,       234.9449862,                 0,       17409.46921,        14175.89191,                  0,        0.2405298589,         0.2102091685,                    0,          266115.4992,              279020.2,                     0,           -153.492537,           -290.3871641,                      0,        152.8610344,          290.446407,                   0,                 36.9913823,                 39.78012215,                           0,             -0.008211520222,              0.0004080686087,                          nan,                      0.2419935365,                       0.1369620047,                                nan,           264.8698165,            277.7141106,                      0,            20622.04262,               25443.834,                       0,       15.55469585,       7.130973844,                 0,                 0,                 0,       9.263248096,       8.052060617,       15.09846584,                 0,       0.458445084
           8,     0.02543368889,      -3.077799152,     -0.6553551061,       2.384978806,                         4,      -4.121552903,               3,      -5.424154343,     1.5580682e-08,   4.726751709e-06,            2.0736,        4.29981696,       4.281924679,         -1.209402073,          -2.013407412,                     0,      0.4951195033,      0.9565560545,                 0,       252.8498076,       234.8831926,                 0,       17490.95718,        14186.96151,                  0,        0.2412567288,         0.2104395868,                    0,          266507.9565,           279187.9325,                     0,          -153.2976318,           -291.1612523,                      0,        152.7323504,         291.2150088,                   0,                37.31147215,                 39.91783024,                           0,             -0.007361355523,              0.0003692903239,                          nan,                      0.2442931838,                       0.1370733961,                                nan,           265.2604366,            277.8810579,                      0,            20705.40126,             25542.66638,                       0,        15.4287769,       7.144175763,                 0,                 0,                 0,       9.198777813,       7.943895225,       15.03266219,                 0,      0.4630422625
           9,        0.02477274,      -3.128711971,     -0.6802455612,       2.323915151,                         5,      -4.535855391,               3,      -4.975818176,   1.871240288e-08,   5.655944647e-06,           2.48832,       5.159780352,       5.138309615,         -1.213909807,          -2.019482952,                     0,      0.4948074174,      0.9595650918,                 0,        253.264873,       234.7370711,                 0,       17580.58308,        14179.48483,                  0,        0.2420867418,         0.2104713903,                    0,          266927.8529,             279284.77,                     0,          -153.2174118,           -291.9944019,                      0,        152.7251142,         292.0406006,                   0,                37.81459621,                 39.92697084,                           0,               -0.0064158081,              0.0003164605584,                          nan,                      0.2475990698,                       0.1367171919,                                nan,           265.6783676,            277.9774421,                      0,            20804.82304,             25618.53324,                       0,       15.24847211,       7.173114442,                 0,                 0,                 0,        9.10742452,       7.782931042,       14.94641953,                 0,      0.4704152908
