"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.102920182521221e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.374862402369659e+04, 0.000000000000000e+00, 9.499449609478634e+03, 3.000438328432115e+02, 0.000000000000000e+00, -3.767282610189528e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846123649206102e-05, -1.193766864459101e-02, 1.455193867113509e-02, -3.604751672053100e+01, 5.488307264511703e-01, 0.000000000000000e+00, 2.120434984059447e-11, -0.000000000000000e+00, -0.000000000000000e+00, 5.539842898961284e-06, -0.000000000000000e+00, -8.156219150703021e+05, -4.043746008996582e+07, 3.431738191435916e-08, 1.176359092197926e+01, 3.431738191435916e-08, 1.176359092197926e+01, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.420971047164149e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.015294690371547e+04, 0.000000000000000e+00, 8.061178761486185e+03, 2.980802681208716e+02, 0.000000000000000e+00, -3.947063386323065e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.836818407958953e-05, 1.961250235838206e-02, 1.009130358476227e-01, -1.145518475909153e+03, 1.190609664966482e+00, 0.000000000000000e+00, -4.505794152886239e-11, -0.000000000000000e+00, -0.000000000000000e+00, -1.074947996646675e-05, -0.000000000000000e+00, -4.477253915379565e+06, -8.124173285371094e+09, 2.957691202245364e-08, 1.176359092197926e+01, 2.957691202245364e-08, 1.176359092197926e+01, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 6.230668728686152e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.318535522533801e+04, 0.000000000000000e+00, 5.274142090135201e+03, 2.948814883196048e+02, 0.000000000000000e+00, -4.295437002173990e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.821595567214217e-05, 9.501150493683146e-03, -1.387279865803378e-02, 5.654777358768079e+00, 3.954183343490206e-01, 0.000000000000000e+00, 8.384185189379276e-09, -0.000000000000000e+00, -0.000000000000000e+00, 4.570902899160473e-03, -0.000000000000000e+00, -7.386133645297596e+05, -6.701907111246338e+08, 1.974264584950941e-08, 1.176359092197926e+01, 1.974264584950941e-08, 1.176359092197926e+01, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 6.205045425237930e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.322844862487625e+04, 0.000000000000000e+00, 5.291379449950498e+03, 2.970669151976661e+02, 0.000000000000000e+00, -4.293282369108590e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.832004523127277e-05, 1.962992352724166e-02, 3.046954650037422e-02, -1.497134908475008e+02, 5.756799268939846e-01, 0.000000000000000e+00, 4.060505204785683e-10, -0.000000000000000e+00, -0.000000000000000e+00, 8.020051692434298e-04, -0.000000000000000e+00, 1.582752427863020e+06, -1.210173716269531e+08, 2.333054995582562e-08, 1.411630910637514e+01, 2.333054995582562e-08, 1.411630910637514e+01, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.028978493796746e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.209137073255605e+04, 0.000000000000000e+00, 8.836548293022421e+03, 2.991621892588968e+02, 0.000000000000000e+00, -3.850143855231649e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841949255930723e-05, 6.909423899262755e-02, -2.482781854688306e-03, -5.106333518951490e+02, 1.017791122578124e+00, 0.000000000000000e+00, 3.302133027297031e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.339154290786945e-05, -0.000000000000000e+00, 3.002881470341754e+06, -4.528512469333984e+09, 3.220109959852041e-08, 1.176359092197926e+01, 3.220109959852041e-08, 1.176359092197926e+01, 8.877060556795989e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.256443602084090e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.312803515822018e+04, 0.000000000000000e+00, 5.251214063288070e+03, 2.923900124266377e+02, 0.000000000000000e+00, -4.298302956432565e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.809683266596247e-05, 4.861205438178627e-02, -5.358210341904872e-02, -4.749789183526065e+02, 8.259440833324141e-01, 0.000000000000000e+00, -4.351174811408865e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.448230071884481e-03, -0.000000000000000e+00, 3.198542405190921e+06, -1.384471061138672e+09, 1.991470769014880e-08, 1.176359092197926e+01, 1.991470769014880e-08, 1.176359092197926e+01, 8.921750321062150e+01, 2.948732162745739e+01, 4.076312405663344e+00
6, -4.761400000000000e-02, -5.274714782728225e-02, 9.867552421692838e-02, 1.272828894299554e+01, 9.696350180565275e+00, 2.161486276067076e+04, 2.710890911785549e-06, 8.127014906993286e+03, 2.869141447974777e+02, 4.775401900958607e-01, -3.938834009114017e+01, 1.289913486044792e+02, 9.826499790615563e+01, 1.783328604672990e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522416455452316e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 5.060722332412282e-02, -3.200698455221477e+00, 4.931967251224264e-06, 1.411630910637514e+01, 4.931967251224264e-06, 1.411630910637514e+01, 8.233388253278331e+01, 1.948301337321479e+00, 1.000000000000008e+00
7, 1.428420000000000e-01, -1.684122810616721e-01, 7.594996721400703e-02, 1.321938797298047e+01, -1.782226116764440e+01, 1.727831108425542e+04, 5.002032132341233e-05, 5.614720288711571e+03, 2.575318100387452e+02, 9.081563507227874e-01, -4.252865456654810e+01, 1.740538996643898e+02, -2.346579178556582e+02, 1.637632492861020e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.325450916077099e-10, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 4.231825653999784e+02, -4.966511244591612e+04, 4.592230241336539e-06, 1.411630910637514e+01, 4.592230241336539e-06, 1.411630910637514e+01, 6.255393024407099e+01, 2.370825572850947e+00, 1.000000000000121e+00
8, 1.428420000000000e-01, -1.354622810616721e-01, 7.594996721400703e-02, 1.321938797298047e+01, -1.782226116764440e+01, 1.727831108425542e+04, 5.002032132341233e-05, 5.614720288711571e+03, 2.575318100387452e+02, 9.081563507227874e-01, -4.252865456654810e+01, 1.740538996643898e+02, -2.346579178556582e+02, 1.637632492861020e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.325450916077099e-10, 5.828208984870464e-08, 1.057905897905442e-05, -2.222721392630689e-05, 1.965836064073301e-02, -1.494535205453858e-09, 4.231825653999739e+02, -4.966511244593289e+04, 4.592230241336539e-06, 1.176359092197926e+01, 4.592230241336539e-06, 1.176359092197926e+01, 8.520582377964149e+01, 2.172311800140459e+00, 1.085906497668996e+00
9, -4.761400000000000e-02, -1.979714782728225e-02, 9.867552421692838e-02, 1.272828894299554e+01, 9.696350180565275e+00, 2.161486276067076e+04, 2.710890911785549e-06, 8.127014906993286e+03, 2.869141447974777e+02, 4.775401900958607e-01, -3.938834009114017e+01, 1.289913486044792e+02, 9.826499790615563e+01, 1.783328604672990e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522416455452316e-15, -2.443649454661467e-09, 1.437268077886245e-06, 1.229572316852057e-06, -4.246088928994141e-04, 4.128837161564746e-14, 5.060722332412304e-02, -3.200698455221479e+00, 4.931967251224264e-06, 8.169160362485655e+00, 4.931967251224264e-06, 8.169160362485655e+00, 8.749389685355840e+01, 2.077897339756010e+00, 1.056265733226851e+00
