"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.102920182521221e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.374862402369659e+04, 0.000000000000000e+00, 9.499449609478634e+03, 3.000438328432115e+02, 0.000000000000000e+00, -3.767282610189528e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846123649206102e-05, -1.193766864459101e-02, 1.455193867113509e-02, -3.604751672053100e+01, 5.488307264511703e-01, 0.000000000000000e+00, 2.120434984059447e-11, -0.000000000000000e+00, -0.000000000000000e+00, 5.539842898961284e-06, -0.000000000000000e+00, -8.156219150703021e+05, -4.043746008996582e+07, 3.431738191435916e-08, 1.176359092197926e+01, 3.431738191435916e-08, 1.176359092197926e+01, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.420971047164149e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.015294690371547e+04, 0.000000000000000e+00, 8.061178761486185e+03, 2.980802681208716e+02, 0.000000000000000e+00, -3.947063386323065e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.836818407958953e-05, 1.961250235838206e-02, 1.009130358476227e-01, -1.145518475909153e+03, 1.190609664966482e+00, 0.000000000000000e+00, -4.505794152886239e-11, -0.000000000000000e+00, -0.000000000000000e+00, -1.074947996646675e-05, -0.000000000000000e+00, -4.477253915379565e+06, -8.124173285371094e+09, 2.957691202245364e-08, 1.176359092197926e+01, 2.957691202245364e-08, 1.176359092197926e+01, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 6.230668728686152e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.318535522533801e+04, 0.000000000000000e+00, 5.274142090135201e+03, 2.948814883196048e+02, 0.000000000000000e+00, -4.295437002173990e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.821595567214217e-05, 9.501150493683146e-03, -1.387279865803378e-02, 5.654777358768079e+00, 3.954183343490206e-01, 0.000000000000000e+00, 8.384185189379276e-09, -0.000000000000000e+00, -0.000000000000000e+00, 4.570902899160473e-03, -0.000000000000000e+00, -7.386133645297596e+05, -6.701907111246338e+08, 1.974264584950941e-08, 1.176359092197926e+01, 1.974264584950941e-08, 1.176359092197926e+01, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 6.205045425237930e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.322844862487625e+04, 0.000000000000000e+00, 5.291379449950498e+03, 2.970669151976661e+02, 0.000000000000000e+00, -4.293282369108590e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.832004523127277e-05, 1.962992352724166e-02, 3.046954650037422e-02, -1.497134908475008e+02, 5.756799268939846e-01, 0.000000000000000e+00, 4.060505204785683e-10, -0.000000000000000e+00, -0.000000000000000e+00, 8.020051692434298e-04, -0.000000000000000e+00, 1.582752427863020e+06, -1.210173716269531e+08, 2.333054995582562e-08, 1.411630910637514e+01, 2.333054995582562e-08, 1.411630910637514e+01, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.028978493796746e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.209137073255605e+04, 0.000000000000000e+00, 8.836548293022421e+03, 2.991621892588968e+02, 0.000000000000000e+00, -3.850143855231649e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841949255930723e-05, 6.909423899262755e-02, -2.482781854688306e-03, -5.106333518951490e+02, 1.017791122578124e+00, 0.000000000000000e+00, 3.302133027297031e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.339154290786945e-05, -0.000000000000000e+00, 3.002881470341754e+06, -4.528512469333984e+09, 3.220109959852041e-08, 1.176359092197926e+01, 3.220109959852041e-08, 1.176359092197926e+01, 8.877060556795989e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.256443602084090e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.312803515822018e+04, 0.000000000000000e+00, 5.251214063288070e+03, 2.923900124266377e+02, 0.000000000000000e+00, -4.298302956432565e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.809683266596247e-05, 4.861205438178627e-02, -5.358210341904872e-02, -4.749789183526065e+02, 8.259440833324141e-01, 0.000000000000000e+00, -4.351174811408865e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.448230071884481e-03, -0.000000000000000e+00, 3.198542405190921e+06, -1.384471061138672e+09, 1.991470769014880e-08, 1.176359092197926e+01, 1.991470769014880e-08, 1.176359092197926e+01, 8.921750321062150e+01, 2.948732162745739e+01, 4.076312405663344e+00
688, -3.361280624494327e-05, 4.508048606400442e-05, 1.098830474325683e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.365689447405508e+04, 0.000000000000000e+00, 9.462757789622028e+03, 2.999973192193960e+02, 0.000000000000000e+00, -3.771869009100957e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845903566427551e-05, -1.792792914854333e-02, 2.539108412720621e-02, -1.107872865080149e+02, 7.034220384794720e-01, 0.000000000000000e+00, 2.140407574197150e-11, -0.000000000000000e+00, -0.000000000000000e+00, 5.470951563728245e-06, -0.000000000000000e+00, -1.347111246650433e+06, -4.739191907958984e+06, 3.415825103783478e-08, 1.176359092197926e+01, 3.415825103783478e-08, 1.176359092197926e+01, 8.993483292219740e+01, 1.438480273245958e+01, 1.005458287626170e+00
689, -6.484109783259044e-05, 9.183357187137720e-05, 1.093056881349627e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.352708693591408e+04, 0.000000000000000e+00, 9.410834774365629e+03, 2.999271157929639e+02, 0.000000000000000e+00, -3.778359274821783e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845571362079274e-05, -2.272284326185539e-02, 3.681757303597353e-02, -2.226447986552023e+02, 8.281247737995328e-01, 0.000000000000000e+00, 2.002878999450315e-11, -0.000000000000000e+00, -0.000000000000000e+00, 5.015093120613358e-06, -0.000000000000000e+00, -1.875441040717644e+06, -1.392268649707031e+07, 3.400815939652207e-08, 1.176359092197926e+01, 3.400815939652207e-08, 1.176359092197926e+01, 8.997062340216455e+01, 1.437834790314639e+01, 1.005144632141936e+00
690, -9.263179551623211e-05, 1.407083053014280e-04, 1.085158596959727e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.334988198517595e+04, 0.000000000000000e+00, 9.339952794070381e+03, 2.998346438344850e+02, 0.000000000000000e+00, -3.787219370574366e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845133724730329e-05, -2.537895211629628e-02, 4.884274086863791e-02, -3.661506102348205e+02, 9.309701291461109e-01, 0.000000000000000e+00, 1.817535744518241e-11, -0.000000000000000e+00, -0.000000000000000e+00, 4.441606653337368e-06, -0.000000000000000e+00, -2.386545503239807e+06, -1.647721529492188e+07, 3.377856603258108e-08, 1.176359092197926e+01, 3.377856603258108e-08, 1.176359092197926e+01, 8.998186575267368e+01, 1.438263371318549e+01, 1.005169278929909e+00
691, -1.166503543332792e-04, 1.915424203007436e-04, 1.075569073257426e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.313501883082608e+04, 0.000000000000000e+00, 9.254007532330428e+03, 2.997242539560366e+02, 0.000000000000000e+00, -3.797962344251526e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844611202138244e-05, -2.594635545655722e-02, 6.023321029261269e-02, -5.207506419832608e+02, 1.011882931245150e+00, 0.000000000000000e+00, 1.595067679420142e-11, -0.000000000000000e+00, -0.000000000000000e+00, 3.795483673191789e-06, -0.000000000000000e+00, -2.844396120920764e+06, -1.516283098388672e+07, 3.348585972642355e-08, 1.176359092197926e+01, 3.348585972642355e-08, 1.176359092197926e+01, 8.998069794621277e+01, 1.438102921709113e+01, 1.005070342250149e+00
