"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101373159031234e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.371434911027536e+04, 0.000000000000000e+00, 9.485739644110143e+03, 3.000316410032179e+02, 0.000000000000000e+00, -3.768996326502524e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846065964186037e-05, -1.244965191665867e-02, 1.517604287419081e-02, -4.030302262274075e+01, 5.601005957393199e-01, 0.000000000000000e+00, 1.378733046487603e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.417951105813116e-06, -0.000000000000000e+00, -8.506173415772505e+05, -6.917744603057861e+07, 1.621097080920239e-08, 5.565272888734298e+00, 1.621097080920239e-08, 5.565272888734298e+00, 8.971723913789975e+01, 1.345335023029411e+01, 1.154215848080802e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.388793619026364e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.006456807096097e+04, 0.000000000000000e+00, 8.025827228384385e+03, 2.977901709809511e+02, 0.000000000000000e+00, -3.951482252260189e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835441128199828e-05, 1.670598551282483e-02, 8.595801209451766e-02, -8.848169860231558e+02, 1.097796331857620e+00, 0.000000000000000e+00, 9.480655315183233e-10, -0.000000000000000e+00, -0.000000000000000e+00, 1.796290077407670e-04, -0.000000000000000e+00, -3.816793058667090e+06, -5.148943068401367e+09, 1.395238661808545e-08, 5.565272888734298e+00, 1.395238661808545e-08, 5.565272888734298e+00, 8.895636814099740e+01, 3.435819788435180e+01, 3.796488299877667e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.224394090650802e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.310070704738828e+04, 0.000000000000000e+00, 5.240282818955312e+03, 2.219632931095373e+02, 0.000000000000000e+00, -4.299669338566356e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.450594909888818e-05, -1.839274620431579e-03, 2.685557554639613e-03, 2.906817416965458e+02, 2.510050331012735e-01, 0.000000000000000e+00, -1.214306712005697e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.939006676435272e-03, -0.000000000000000e+00, 1.798164824104838e+05, -7.909451401006699e+06, 1.547983095485784e-08, 5.565272888734298e+00, 1.547983095485784e-08, 5.565272888734298e+00, 8.787231407535609e+01, 3.386320573965047e+01, 4.070336449906701e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 7.672315442253781e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.312901911928798e+04, 0.000000000000000e+00, 5.251607647715191e+03, 2.384493633052423e+02, 0.000000000000000e+00, -4.298253759221985e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.538841107983663e-05, 2.093102105962259e-04, 3.248910871157624e-04, 3.253599826856714e+02, 7.869379593046283e-02, 0.000000000000000e+00, -4.494746489241337e-08, -0.000000000000000e+00, -0.000000000000000e+00, 7.285327230758310e-04, -0.000000000000000e+00, 2.011539666182419e+04, -1.027381255132720e+07, 1.353882949126689e-08, 5.565272888734298e+00, 1.353882949126689e-08, 5.565272888734298e+00, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.033288380831608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.217926708765514e+04, 0.000000000000000e+00, 8.871706835062054e+03, 2.990997028782343e+02, 0.000000000000000e+00, -3.845749112764031e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841653169373256e-05, 5.617619955766531e-02, -2.018594472717223e-03, -3.576235136438239e+02, 9.197956638902423e-01, 0.000000000000000e+00, -1.277613621035172e-09, -0.000000000000000e+00, -0.000000000000000e+00, -2.708583892312398e-04, -0.000000000000000e+00, 2.441940866166183e+06, -2.768878094719238e+09, 1.529837893577694e-08, 5.565272888734298e+00, 1.529837893577694e-08, 5.565272888734298e+00, 8.877060556795976e+01, 2.993262672984654e+01, 3.797411269559487e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.881409603448842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.293048050542549e+04, 0.000000000000000e+00, 5.172192202170195e+03, 2.618349350002296e+02, 0.000000000000000e+00, -4.308180519857505e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.659440633441530e-05, 4.128871895667419e-02, -4.551003732122547e-02, -2.401670561636955e+02, 8.705829376658202e-01, 0.000000000000000e+00, -8.790478866375004e-08, -0.000000000000000e+00, -0.000000000000000e+00, 1.201153723090584e-03, -0.000000000000000e+00, 2.962517249395850e+06, -1.529987933130859e+09, 1.130018430895346e-08, 5.565272888734298e+00, 1.130018430895346e-08, 5.565272888734298e+00, 8.921750321061731e+01, 2.948732162745804e+01, 4.076312405663455e+00
6, -1.904560000000000e-02, -3.098385913091290e-02, 9.890565643377779e-02, 1.263074208285076e+01, 9.623316969931466e+00, 2.165806158192436e+04, 2.705936992163301e-06, 8.153357180980289e+03, 2.871743745396572e+02, 4.725865907073719e-01, -3.935541281274114e+01, 1.277049517517500e+02, 9.729794348389721e+01, 1.784586505711282e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522128762649260e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -1.467505901864683e+01, -2.208846219311590e+05, 2.417437348987326e-06, 5.565272888734298e+00, 2.417437348987326e-06, 5.565272888734298e+00, 8.222156878981642e+01, 1.950283016333707e+00, 1.000000000000008e+00
7, 6.665959999999999e-02, -6.432223138164435e-02, 7.578813248120794e-02, 1.318381280692607e+01, -1.757305455285418e+01, 1.722652480734432e+04, 5.612318598977149e-06, 5.616993195238767e+03, 2.581862070378402e+02, 8.998879008419478e-01, -4.252581348206038e+01, 1.739561640497615e+02, -2.318707953017778e+02, 1.640959793340171e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.069407072050096e-14, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -6.388483202079669e+00, -1.341517525826602e+05, 6.373598269058476e-07, 5.565272888734298e+00, 6.373598269058476e-07, 5.565272888734298e+00, 6.261360870017963e+01, 2.280967719418514e+00, 1.000000000000107e+00
8, 6.665959999999999e-02, -3.137223138164435e-02, 7.578813248120794e-02, 1.318381280692607e+01, -1.757305455285418e+01, 1.722652480734432e+04, 5.612318598977149e-06, 5.616993195238767e+03, 2.581862070378402e+02, 8.998879008419478e-01, -4.252581348206038e+01, 1.739561640497615e+02, -2.318707953017778e+02, 1.640959793340171e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.069407072050096e-14, 2.966399137611930e-09, -9.257097354442578e-06, -5.059747460123276e-06, 2.011257401136390e-03, 6.730092662490062e-11, -6.388483221072278e+00, -1.341517526041391e+05, 6.373598269058476e-07, 5.565272888734298e+00, 6.373598269058476e-07, 5.565272888734298e+00, 8.067827042379510e+01, 2.028972768718470e+00, 1.088780584976145e+00
9, -1.904560000000000e-02, 1.966140869087099e-03, 9.890565643377779e-02, 1.263074208285076e+01, 9.623316969931466e+00, 2.165806158192436e+04, 2.705936992163301e-06, 8.153357180980289e+03, 2.871743745396572e+02, 4.725865907073719e-01, -3.935541281274114e+01, 1.277049517517500e+02, 9.729794348389721e+01, 1.784586505711282e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522128762649260e-15, -1.079226456812687e-08, 9.840733690147374e-06, 1.371276079975559e-05, -7.934805094009789e-04, 5.441778284938196e-13, -1.467505901899995e+01, -2.208846219309116e+05, 2.417437348987326e-06, 5.565272888734298e+00, 2.417437348987326e-06, 5.565272888734298e+00, 8.504206920460675e+01, 1.796503545243976e+00, 1.049751779165159e+00
10, -1.753709609008616e-02, -2.982740847507918e-02, 9.884231813284727e-02, 1.261988783691678e+01, 9.690929682703052e+00, 2.164612632499768e+04, 2.704449195442228e-06, 8.146168560263841e+03, 2.871050392459834e+02, 4.739132198679748e-01, -3.936439843470196e+01, 1.276769715169493e+02, 9.804433835392376e+01, 1.784251405606691e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.511559591111030e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 3.148153819500351e+00, -3.737001148378038e+05, 4.694242385064949e-06, 5.565272888734298e+00, 4.694242385064949e-06, 5.565272888734298e+00, 8.391621520224369e+01, 3.900566032667407e+00, 1.012237093853489e+00
11, -1.602859218017232e-02, -2.867095781924546e-02, 9.875916069948273e-02, 1.260576680314572e+01, 9.777485665248648e+00, 2.163043713559995e+04, 2.702570441379890e-06, 8.136770347302392e+03, 2.870152769191958e+02, 4.756298043680298e-01, -3.937614599965355e+01, 1.276414938509268e+02, 9.900332886587461e+01, 1.783817523151619e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.497990748571473e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -2.183746863032968e+01, -5.832551581497904e+05, 4.710833264154550e-06, 5.565272888734298e+00, 4.710833264154550e-06, 5.565272888734298e+00, 8.442998317129003e+01, 3.863370958964236e+00, 1.018967675970612e+00
12, -1.452008827025849e-02, -2.751450716341174e-02, 9.865168919675565e-02, 1.260455456774505e+01, 9.879615551502930e+00, 2.161055183679245e+04, 2.699717085696888e-06, 8.124246669629816e+03, 2.868857127139398e+02, 4.781016859501837e-01, -3.939180032856639e+01, 1.277682589155258e+02, 1.001464407953375e+02, 1.783191136204715e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.479258987544786e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -2.614331032898690e+00, -9.346659117352056e+05, 4.717517821143236e-06, 5.565272888734298e+00, 4.717517821143236e-06, 5.565272888734298e+00, 8.627027278518092e+01, 3.790467477444920e+00, 1.055709189886634e+00
