"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101373159031234e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.371434911027536e+04, 0.000000000000000e+00, 9.485739644110143e+03, 3.000316410032179e+02, 0.000000000000000e+00, -3.768996326502524e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846065964186037e-05, -1.244965191665867e-02, 1.517604287419081e-02, -4.030302262274075e+01, 5.601005957393199e-01, 0.000000000000000e+00, 1.378733046487603e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.417951105813116e-06, -0.000000000000000e+00, -8.506173415772505e+05, -6.917744603057861e+07, 1.621097080920239e-08, 5.565272888734298e+00, 1.621097080920239e-08, 5.565272888734298e+00, 8.971723913789975e+01, 1.345335023029411e+01, 1.154215848080802e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.388793619026364e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.006456807096097e+04, 0.000000000000000e+00, 8.025827228384385e+03, 2.977901709809511e+02, 0.000000000000000e+00, -3.951482252260189e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835441128199828e-05, 1.670598551282483e-02, 8.595801209451766e-02, -8.848169860231558e+02, 1.097796331857620e+00, 0.000000000000000e+00, 9.480655315183233e-10, -0.000000000000000e+00, -0.000000000000000e+00, 1.796290077407670e-04, -0.000000000000000e+00, -3.816793058667090e+06, -5.148943068401367e+09, 1.395238661808545e-08, 5.565272888734298e+00, 1.395238661808545e-08, 5.565272888734298e+00, 8.895636814099740e+01, 3.435819788435180e+01, 3.796488299877667e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.224394090650802e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.310070704738828e+04, 0.000000000000000e+00, 5.240282818955312e+03, 2.219632931095373e+02, 0.000000000000000e+00, -4.299669338566356e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.450594909888818e-05, -1.839274620431579e-03, 2.685557554639613e-03, 2.906817416965458e+02, 2.510050331012735e-01, 0.000000000000000e+00, -1.214306712005697e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.939006676435272e-03, -0.000000000000000e+00, 1.798164824104838e+05, -7.909451401006699e+06, 1.547983095485784e-08, 5.565272888734298e+00, 1.547983095485784e-08, 5.565272888734298e+00, 8.787231407535609e+01, 3.386320573965047e+01, 4.070336449906701e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 7.672315442253781e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.312901911928798e+04, 0.000000000000000e+00, 5.251607647715191e+03, 2.384493633052423e+02, 0.000000000000000e+00, -4.298253759221985e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.538841107983663e-05, 2.093102105962259e-04, 3.248910871157624e-04, 3.253599826856714e+02, 7.869379593046283e-02, 0.000000000000000e+00, -4.494746489241337e-08, -0.000000000000000e+00, -0.000000000000000e+00, 7.285327230758310e-04, -0.000000000000000e+00, 2.011539666182419e+04, -1.027381255132720e+07, 1.353882949126689e-08, 5.565272888734298e+00, 1.353882949126689e-08, 5.565272888734298e+00, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.033288380831608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.217926708765514e+04, 0.000000000000000e+00, 8.871706835062054e+03, 2.990997028782343e+02, 0.000000000000000e+00, -3.845749112764031e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841653169373256e-05, 5.617619955766531e-02, -2.018594472717223e-03, -3.576235136438239e+02, 9.197956638902423e-01, 0.000000000000000e+00, -1.277613621035172e-09, -0.000000000000000e+00, -0.000000000000000e+00, -2.708583892312398e-04, -0.000000000000000e+00, 2.441940866166183e+06, -2.768878094719238e+09, 1.529837893577694e-08, 5.565272888734298e+00, 1.529837893577694e-08, 5.565272888734298e+00, 8.877060556795976e+01, 2.993262672984654e+01, 3.797411269559487e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.881409603448842e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.293048050542549e+04, 0.000000000000000e+00, 5.172192202170195e+03, 2.618349350002296e+02, 0.000000000000000e+00, -4.308180519857505e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.659440633441530e-05, 4.128871895667419e-02, -4.551003732122547e-02, -2.401670561636955e+02, 8.705829376658202e-01, 0.000000000000000e+00, -8.790478866375004e-08, -0.000000000000000e+00, -0.000000000000000e+00, 1.201153723090584e-03, -0.000000000000000e+00, 2.962517249395850e+06, -1.529987933130859e+09, 1.130018430895346e-08, 5.565272888734298e+00, 1.130018430895346e-08, 5.565272888734298e+00, 8.921750321061731e+01, 2.948732162745804e+01, 4.076312405663455e+00
370, -3.361280624494333e-05, 4.508048606400449e-05, 1.096862907254461e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.361274618037773e+04, 0.000000000000000e+00, 9.445098472151089e+03, 2.999746016497169e+02, 0.000000000000000e+00, -3.774076385969747e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845796070467700e-05, -1.758910802820267e-02, 2.491121634664088e-02, -1.068988914402835e+02, 6.961597893428138e-01, 0.000000000000000e+00, 7.545086639194336e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.427875651520546e-05, -0.000000000000000e+00, -1.321729079603074e+06, -1.496599201269531e+07, 1.612992583613136e-08, 5.565272888734298e+00, 1.612992583613136e-08, 5.565272888734298e+00, 8.993483292204967e+01, 1.438480273245962e+01, 1.005458287626170e+00
371, -6.484109783259052e-05, 9.183357187137733e-05, 1.090682989565163e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.347317626750351e+04, 0.000000000000000e+00, 9.389270507001400e+03, 2.998911549580230e+02, 0.000000000000000e+00, -3.781054762065305e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845401179862831e-05, -2.170210047269693e-02, 3.516367472062178e-02, -2.032091577026545e+02, 8.085060288606226e-01, 0.000000000000000e+00, 1.189034218741870e-10, -0.000000000000000e+00, -0.000000000000000e+00, 2.262491020395968e-05, -0.000000000000000e+00, -1.791358715125856e+06, -2.755551044555664e+07, 1.605335609414793e-08, 5.565272888734298e+00, 1.605335609414793e-08, 5.565272888734298e+00, 8.997062340216472e+01, 1.437834790314644e+01, 1.005144632141936e+00
372, -9.263179551623232e-05, 1.407083053014284e-04, 1.082389131716046e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.328629161771394e+04, 0.000000000000000e+00, 9.314516647085573e+03, 2.997831686304139e+02, 0.000000000000000e+00, -3.790398834479345e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844890082184705e-05, -2.384080767004029e-02, 4.588252445533789e-02, -3.236737469008681e+02, 9.012843704619166e-01, 0.000000000000000e+00, 1.832785546994060e-10, -0.000000000000000e+00, -0.000000000000000e+00, 3.622147503416166e-05, -0.000000000000000e+00, -2.242199997473122e+06, -2.398185652978516e+07, 1.593948012803060e-08, 5.565272888734298e+00, 1.593948012803060e-08, 5.565272888734298e+00, 8.998186575267367e+01, 1.438263371318552e+01, 1.005169278929921e+00
373, -1.166503543332793e-04, 1.915424203007439e-04, 1.072513722360062e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.306403608897256e+04, 0.000000000000000e+00, 9.225614435589023e+03, 2.996558689575871e+02, 0.000000000000000e+00, -3.801511420544166e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844287459667105e-05, -2.406944146559022e-02, 5.587604516750098e-02, -4.496976318362669e+02, 9.733826453966280e-01, 0.000000000000000e+00, 2.310060244529701e-10, -0.000000000000000e+00, -0.000000000000000e+00, 4.573945519322593e-05, -0.000000000000000e+00, -2.639100658707032e+06, -1.710195184912109e+07, 1.579742389346792e-08, 5.565272888734298e+00, 1.579742389346792e-08, 5.565272888734298e+00, 8.998069794624624e+01, 1.438102921709134e+01, 1.005070342250148e+00
374, -1.370915923085779e-04, 2.439195749629407e-04, 1.062046684457575e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.282824687884542e+04, 0.000000000000000e+00, 9.131298751538166e+03, 2.995154914730347e+02, 0.000000000000000e+00, -3.813300679086042e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.843622783815532e-05, -2.284859082575281e-02, 6.462159942413349e-02, -5.696360820670860e+02, 1.028395712529257e+00, 0.000000000000000e+00, 2.687037279188263e-10, -0.000000000000000e+00, -0.000000000000000e+00, 5.288500357922721e-05, -0.000000000000000e+00, -2.974283019474519e+06, -2.132760824804688e+07, 1.564810952452705e-08, 5.565272888734298e+00, 1.564810952452705e-08, 5.565272888734298e+00, 8.998213967995052e+01, 1.437727447993375e+01, 1.004679008845679e+00
375, -1.541165411926392e-04, 2.975062820390538e-04, 1.050974653923226e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.257905065145627e+04, 0.000000000000000e+00, 9.031620260582506e+03, 2.993668944146820e+02, 0.000000000000000e+00, -3.825760277007284e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842919023820916e-05, -2.059307649812754e-02, 7.213191029577386e-02, -6.800098117318835e+02, 1.070548974355231e+00, 0.000000000000000e+00, 2.985941805722443e-10, -0.000000000000000e+00, -0.000000000000000e+00, 5.836534918244045e-05, -0.000000000000000e+00, -3.256364405813160e+06, -1.865613825097656e+07, 1.548984494717911e-08, 5.565272888734298e+00, 1.548984494717911e-08, 5.565272888734298e+00, 8.998240892821919e+01, 1.437360375366215e+01, 1.004319904961423e+00
376, -1.679493755307818e-04, 3.520059432874033e-04, 1.039750910145242e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.232651742433058e+04, 0.000000000000000e+00, 8.930606969732231e+03, 2.992140708883344e+02, 0.000000000000000e+00, -3.838386722057055e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842195069898884e-05, -1.766544015432206e-02, 7.835940228187771e-02, -7.762632932807711e+02, 1.102223862821712e+00, 0.000000000000000e+00, 3.243196023306180e-10, -0.000000000000000e+00, -0.000000000000000e+00, 6.320523983636321e-05, -0.000000000000000e+00, -3.488332426532929e+06, -1.994679026464844e+07, 1.532945927203355e-08, 5.565272888734298e+00, 1.532945927203355e-08, 5.565272888734298e+00, 8.998413138371798e+01, 1.436993952108635e+01, 1.003941418192856e+00
