"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.0295735,      -2.541499046,    -0.02932081207,       2.910560085,                         8,      -4.097118654,               3,      -5.501611332,   5.402502367e-08,   1.603015747e-05,                12,              14.4,        14.3503295,         -0.169486843,          -1.145274298,                     0,      0.1127765103,      0.2927201003,                 0,       291.5903009,       295.0922517,                 0,       31849.23182,        31256.43447,                  0,        0.3805115583,         0.3689892104,                    0,          293733.5726,           301561.7419,                     0,           -13.8409929,           -94.20711004,                      0,          13.682914,         94.20260504,                   0,                36.58489376,                 35.89028518,                           0,              -0.02271169213,             -9.563808677e-05,                          nan,                       2.673764797,                       0.3809903682,                                nan,           292.3586101,            300.1501358,                      0,            32143.72359,              33172.0525,                       0,       19.50413253,       6.489928152,                 0,                 0,                 0,       10.92767261,       11.58219902,       16.98184381,                 0,      0.3327463111
           1,        0.03151445,      -2.778435095,     -0.2937561124,       2.674968816,                        10,      -4.309983824,               4,      -5.286508762,   6.000633195e-08,   1.961055275e-05,                12,             17.28,       17.21412033,        -0.8098199798,          -1.526242701,                     0,      0.2635565036,      0.4757182521,                 0,       270.8044538,       282.6525289,                 0,       25081.85074,        24108.34893,                  0,        0.3227033882,         0.2971356585,                    0,          275891.0939,           296841.4071,                     0,          -76.53560535,           -155.9893308,                      0,        76.35181984,         155.9423517,                   0,                42.20258286,                 37.12077967,                           0,             -0.004796848424,             -0.0006022471516,                          nan,                      0.5527384017,                       0.2380416818,                                nan,           274.5996518,            295.4518969,                      0,            26332.78581,             28150.66782,                       0,       26.62514015,       7.973385915,                 0,                 0,                 0,       15.19434126,       16.34781354,       22.47714314,                 0,      0.2994683171
           2,         0.0334879,      -2.935089491,     -0.5446088129,       2.518202497,                        10,      -3.759242448,               4,      -4.362158612,   7.201150963e-08,   2.443356983e-05,                12,            20.736,       20.65590482,          -1.20236487,          -1.785245905,                     0,      0.4343919438,      0.6404019222,                 0,       249.0562994,       264.2146817,                 0,        20221.2178,        20058.16442,                  0,        0.2830347071,         0.2645153755,                    0,          259683.8806,            287233.893,                     0,          -129.7285717,           -205.0178118,                      0,        129.3223928,         204.9469851,                   0,                46.86835607,                 39.14242651,                           0,             -0.006252177127,             -0.0006908127351,                          nan,                      0.3624148538,                       0.1909880572,                                nan,           258.4683042,            285.8893553,                      0,            23025.40098,             26434.54901,                       0,       25.22012249,       7.203052301,                 0,                 0,                 0,        14.4984655,       15.69697249,       21.01293877,                 0,       0.285607348
           3,        0.03368965,      -2.973472339,     -0.6685582801,        2.47901193,                        10,      -3.397923476,               5,      -4.461613143,   8.635867452e-08,   2.933617037e-05,                12,           24.8832,       24.78612281,         -1.292036884,          -1.932830424,                     0,      0.4992751596,      0.7556284609,                 0,       243.5931208,       249.0443913,                 0,       18445.91272,         17819.1948,                  0,        0.2640915782,         0.2493662768,                    0,          256951.4488,           278788.0121,                     0,          -150.4292247,           -235.7356213,                      0,        149.5405673,          235.644849,                   0,                43.90570462,                 40.07681046,                           0,              -0.01178005842,             -0.0007699715555,                          nan,                      0.2936039726,                       0.1700729323,                                nan,           255.7486628,            277.4830095,                      0,            21884.69624,             26020.42514,                       0,       22.40504801,       6.334436388,                 0,                 0,                 0,       12.93531668,       13.98402656,       18.61607537,                 0,      0.2827236248
           4,        0.03375234,      -3.023112198,     -0.6971762323,       2.432921744,                        10,       -3.15462045,               6,      -4.651556192,   1.040229113e-07,   3.470979567e-05,              14.4,          29.85984,       29.74334737,         -1.273594903,          -2.004296307,                     0,      0.5118569008,      0.8292478452,                 0,       244.3579957,       239.8480683,                 0,       17723.20206,        16516.77649,                  0,        0.2529970128,         0.2400437356,                    0,          258422.6864,           274118.0237,                     0,          -156.4017914,           -254.4156351,                      0,        154.6711355,         254.3516074,                   0,                36.28455787,                 39.94834147,                           0,              -0.02200845261,             -0.0005032684863,                          nan,                      0.2345916564,                       0.1570595204,                                nan,           257.2130136,            272.8348813,                      0,            21242.66232,             25933.07177,                       0,       20.80341609,       6.035268346,                 0,                 0,                 0,       12.06237452,        12.8912632,       17.40752476,                 0,      0.2901094859
           5,        0.03385995,      -3.085616018,     -0.7215637927,       2.375429436,                        10,      -2.893090314,               7,      -4.671182706,   1.256858967e-07,   4.224250133e-05,              1.44,          2.985984,       2.974334737,         -1.227722559,          -2.027405577,                     0,      0.5060468521,      0.8854485543,                 0,       246.7863056,       234.9074405,                 0,       17349.92422,        15480.79508,                  0,        0.2452954475,         0.2297137222,                    0,          260731.6185,           273024.7649,                     0,          -155.9792206,           -269.2370695,                      0,        153.8679922,         269.2326049,                   0,                31.98460487,                 39.60879524,                           0,              -0.02688743156,             -3.316455194e-05,                          nan,                      0.2078704246,                       0.1471173793,                                nan,           259.5111376,              271.74674,                      0,            20739.16041,             25776.34932,                       0,       19.95602214,        6.23534886,                 0,                 0,                 0,        11.6746603,       12.09593731,       17.05317259,                 0,      0.3124544971
           6,     0.03193257143,      -3.124114504,     -0.7307386918,       2.336354743,                         4,      -4.278439299,               3,      -5.579215873,   1.266603087e-08,   4.116887539e-06,             1.728,         3.5831808,       3.569201684,         -1.225192226,          -2.038530013,                     0,      0.5033569257,      0.8903660533,                 0,       247.4947317,       234.3243381,                 0,       17403.88015,        15457.05693,                  0,        0.2453590914,          0.229921737,                    0,          261337.3842,           272759.2382,                     0,           -155.324068,            -270.438008,                      0,        153.3605103,         270.4632666,                   0,                32.09523506,                 39.49355064,                           0,              -0.02512355491,              0.0001868064364,                          nan,                      0.2092796575,                       0.1460218651,                                nan,           260.1140678,            271.4824562,                      0,            20762.16817,             25871.04491,                       0,       19.84186245,       6.229815426,                 0,                 0,                 0,       11.61792389,        12.0084795,       16.97959145,                 0,      0.3139733199
           7,        0.03085915,      -3.175432091,     -0.7376672774,       2.275292324,                         5,      -4.728115352,               3,      -5.168940031,   1.521472176e-08,   4.881033968e-06,            2.0736,        4.29981696,       4.283042021,           -1.2236093,           -2.04613174,                     0,      0.5009333436,      0.8953364013,                 0,       248.1961301,       233.8509761,                 0,       17450.12105,        15408.11126,                  0,        0.2453237049,         0.2296438877,                    0,          261945.2462,           272626.3326,                     0,          -154.7167715,           -271.7186554,                      0,        152.9762146,         271.7757107,                   0,                32.35288467,                 39.34176264,                           0,              -0.02237335061,              0.0004200028858,                          nan,                      0.2114896407,                       0.1447581998,                                nan,           260.7190844,            271.3501728,                      0,            20777.58441,             25925.32159,                       0,       19.76408921,        6.24995437,                 0,                 0,                 0,       11.58464727,       11.93440899,       16.94848176,                 0,      0.3162277959
           8,     0.02989862222,      -3.228542466,     -0.7554457446,       2.209029147,                         5,      -4.259947952,               3,      -4.794862838,   1.827528198e-08,   5.774351498e-06,           2.48832,       5.159780352,       5.139650426,         -1.223278835,          -2.050704468,                     0,      0.4987254185,      0.9005922843,                 0,       248.9379811,       233.4676707,                 0,       17498.63456,        15333.94204,                  0,        0.2452800615,         0.2288956683,                    0,          262602.5034,           272623.4628,                     0,          -154.1470798,           -273.1418721,                      0,        152.7013899,         273.2273372,                   0,                32.80968235,                 39.13982383,                           0,              -0.01866931962,              0.0006258908315,                          nan,                      0.2148617139,                       0.1432500284,                                nan,           261.3732649,            271.3473164,                      0,            20795.92976,             25945.34805,                       0,       19.68567474,       6.289413319,                 0,                 0,                 0,       11.55503216,       11.84812069,       16.93235205,                 0,      0.3194918845
           9,        0.02948304,      -3.265781694,     -0.7869366038,       2.156768095,                         6,      -4.583135358,               3,      -4.447135116,   2.195238986e-08,   6.827577493e-06,          2.985984,       6.191736422,       6.167580511,         -1.224525367,          -2.052929256,                     0,      0.4968311586,      0.9063615095,                 0,       249.7267047,       233.1025782,                 0,       17556.77207,        15234.87848,                  0,        0.2453168986,         0.2277507682,                    0,          263321.8826,            272686.612,                     0,          -153.6384313,           -274.7383417,                      0,        152.5410212,         274.8396016,                   0,                33.53863281,                 38.86246262,                           0,               -0.0142345998,              0.0007372735003,                          nan,                      0.2198663189,                       0.1414005201,                                nan,           262.0892767,              271.41017,                      0,            20827.16711,             25938.20557,                       0,       19.57983266,       6.346301613,                 0,                 0,                 0,       11.51498384,       11.72945248,       16.91346611,                 0,      0.3241244051
