"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.994433620734651e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.293652813044147e+04, 1.000000000000000e-10, 2.358528529810574e+07, 3.254042992064154e-01, 6.697474333614005e+02, 1.717461125217658e+04, 2.999837116624608e+02, 0.000000000000000e+00, 1.134870222656386e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845839178088270e-05, -1.414223507321424e-03, 1.723929048335888e-03, -1.773171701301908e+02, 4.203429471392725e+00, 0.000000000000000e+00, 3.254042992064154e-01, 5.745952778147864e+02, 8.456256514473687e-19, 2.461142773690517e-09, -0.000000000000000e+00, -0.000000000000000e+00, 5.208407985051716e-04, -0.000000000000000e+00, -0.000000000000000e+00, 3.352504806020773e-08, 2.350513162122214e-06, -5.121540701340112e+05, -1.742038418514709e+08, 2.715530741269111e-07, 1.223234470529786e+01, 2.715530741269111e-07, 1.223234470529786e+01, 8.950728414113881e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.652219374459651e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.543676278540924e+04, 1.000000000000000e-10, 2.701292460648767e+07, 5.358188287152239e-02, 6.028531554377781e+02, 1.417470511416369e+04, 2.988661076709762e+02, 0.000000000000000e+00, 4.273964985988428e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.840546031285920e-05, 1.504107516398142e-03, 7.739147863306413e-03, -2.069136414995946e+03, 7.209569030970063e+00, 0.000000000000000e+00, 5.358188287152239e-02, 8.803738495308525e+01, 6.116411247698534e-19, 2.428586184620898e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.567750301841725e-04, -0.000000000000000e+00, -0.000000000000000e+00, 2.691900004385199e-09, -8.224763490437465e-07, -1.816431805523523e+06, -1.021034822676758e+09, 3.440666181746514e-07, 1.223234470529786e+01, 3.440666181746514e-07, 1.223234470529786e+01, 8.912460918129709e+01, 4.829284068574643e+00, 3.826516022335064e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.371674891309323e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.932458044224535e+04, 1.000000000000000e-10, 3.350247722694443e+07, 1.513683693677234e-01, 7.400713175255140e+02, 1.172983217689813e+04, 2.979003098693484e+02, 0.000000000000000e+00, -1.491826616146478e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835964105827393e-05, -4.676923368488009e-04, 6.828858912741583e-04, 2.884797421703333e+00, 2.136762598197695e+00, 0.000000000000000e+00, 1.513683693677234e-01, 8.064142269006696e+03, 4.094488139887877e-19, -4.933629957765004e-08, -0.000000000000000e+00, -0.000000000000000e+00, -1.303231527064085e-02, -0.000000000000000e+00, -0.000000000000000e+00, -4.518473342437492e-07, -2.996679318929978e-05, 1.912110746450495e+05, -4.304692365991974e+07, 3.436292574631610e-07, 1.223234470529786e+01, 3.436292574631610e-07, 1.223234470529786e+01, 8.809562036213738e+01, 4.778986443742371e+00, 4.103502934401843e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.387253770020567e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.966023468722165e+04, 1.000000000000000e-10, 3.329542378648429e+07, 6.451015433266709e-01, 7.509188846656598e+02, 1.186409387488865e+04, 2.979264117539634e+02, 0.000000000000000e+00, -1.175194631325240e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.836088032859798e-05, 3.951456112825093e-05, 6.133445991617179e-05, 1.929289798297259e+01, 6.375294979615758e-01, 0.000000000000000e+00, 6.451015433266709e-01, 2.729234225384186e+05, 4.166592016788196e-19, -7.443375692275230e-10, -0.000000000000000e+00, -0.000000000000000e+00, 3.311213656191758e-04, -0.000000000000000e+00, -0.000000000000000e+00, 1.936400814781918e-08, 9.783900624178279e-06, 1.683288656787259e+04, -6.014462445206493e+06, 2.659284632706978e-07, 1.223234470529786e+01, 2.659284632706978e-07, 1.223234470529786e+01, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.905550989718897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.098347288359633e+04, 1.000000000000000e-10, 2.412250752849537e+07, 9.106842712637017e-02, 6.172251610107141e+02, 1.639338915343852e+04, 2.996943251369587e+02, 0.000000000000000e+00, 9.506330891984841e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844469520079364e-05, 3.835721573719118e-03, -1.378300139304298e-04, -4.850009413325523e+02, 5.391827609619001e+00, 0.000000000000000e+00, 9.106842712637017e-02, 2.229173685878982e+02, 7.899611845824474e-19, -1.829556599933562e-08, -0.000000000000000e+00, -0.000000000000000e+00, -4.372858024030091e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.148280008941011e-08, -1.472452109054139e-05, 8.823784792132368e+05, -3.813473060379028e+08, 3.347957397261993e-07, 1.223234470529786e+01, 3.347957397261993e-07, 1.223234470529786e+01, 8.899591568721675e+01, 4.221139683296173e+00, 3.837449350062577e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.349726239429917e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.870505726019061e+04, 1.000000000000000e-10, 3.327112965273703e+07, 2.176699825282078e-02, 6.462165565471283e+02, 1.148202290407624e+04, 2.963487251208584e+02, 0.000000000000000e+00, -2.076240064546661e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.828587968040515e-05, 4.614313683535972e-03, -5.086076615017376e-03, -1.314359472027156e+03, 6.119830753031422e+00, 0.000000000000000e+00, 2.176699825282078e-02, 8.319921432223222e+00, 4.056845791072588e-19, -1.546551067288799e-08, -0.000000000000000e+00, -0.000000000000000e+00, -3.934803082669913e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.258713322084850e-10, -1.251275119776166e-05, 1.592755452314787e+06, -1.556557419768066e+08, 3.355358288073467e-07, 1.223234470529786e+01, 3.355358288073467e-07, 1.223234470529786e+01, 8.934288935013288e+01, 4.133121621850619e+00, 4.088912888335626e+00
690, -3.361280624494327e-05, 4.508048606400442e-05, 1.980049052535779e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.262264541263256e+04, 1.000000000000000e-10, 2.373945375685262e+07, 2.745173309992803e-01, 6.649120219721954e+02, 1.704905816505301e+04, 2.999540901918493e+02, 0.000000000000000e+00, 1.105260792885006e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845699010077626e-05, -1.655816178427844e-03, 2.345110109332763e-03, -2.913112636273545e+02, 4.748310699652585e+00, 0.000000000000000e+00, 2.745173309992803e-01, 4.230317619087449e+02, 8.340736559467925e-19, 3.388680561283347e-09, -0.000000000000000e+00, -0.000000000000000e+00, 7.221079820387763e-04, -0.000000000000000e+00, -0.000000000000000e+00, 2.455499824692447e-08, 2.995002477669431e-06, -6.595284489074660e+05, -9.376217421047974e+07, 2.774088394506457e-07, 1.223234470529786e+01, 2.774088394506457e-07, 1.223234470529786e+01, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
691, -6.484109783259044e-05, 9.183357187137720e-05, 1.963245202120975e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.225545292315361e+04, 1.000000000000000e-10, 2.385990300886808e+07, 2.406362597962392e-01, 6.652841177711580e+02, 1.690218116926144e+04, 2.999152526220137e+02, 0.000000000000000e+00, 1.070622504081782e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845515221523655e-05, -1.836923673651844e-03, 2.976347226304956e-03, -4.317431154094282e+02, 5.220961640732171e+00, 0.000000000000000e+00, 2.406362597962392e-01, 3.309487482465681e+02, 8.228196076912422e-19, 3.768429273633456e-09, -0.000000000000000e+00, -0.000000000000000e+00, 7.832151407291127e-04, -0.000000000000000e+00, -0.000000000000000e+00, 1.831764502866254e-08, 2.852263984070573e-06, -8.036093618473141e+05, -1.275001725210571e+08, 2.774702632470617e-07, 1.223234470529786e+01, 2.774702632470617e-07, 1.223234470529786e+01, 8.991256841746362e+01, 2.059088584218717e+00, 1.037013292427784e+00
692, -9.263179551623211e-05, 1.407083053014280e-04, 1.941144966688960e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.177316101015037e+04, 1.000000000000000e-10, 2.402105302278375e+07, 2.096357000322067e-01, 6.585947345044616e+02, 1.670926440406014e+04, 2.998677122930411e+02, 0.000000000000000e+00, 1.025126566532049e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845290233690834e-05, -1.897239604868726e-03, 3.651308452834717e-03, -5.964204426857882e+02, 5.632055676817632e+00, 0.000000000000000e+00, 2.096357000322067e-01, 2.683380070534870e+02, 8.080984486629001e-19, 4.695907390796343e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.000951267466375e-03, -0.000000000000000e+00, -0.000000000000000e+00, 1.465291906173112e-08, 3.794210983251565e-06, -9.455430418463664e+05, -8.917226633648682e+07, 2.776682822271791e-07, 1.223234470529786e+01, 2.776682822271791e-07, 1.223234470529786e+01, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
693, -1.166503543332792e-04, 1.915424203007436e-04, 1.916148354078058e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.122765095280400e+04, 1.000000000000000e-10, 2.421526679725452e+07, 1.834174385767554e-01, 6.510086648386039e+02, 1.649106038112159e+04, 2.998125420240550e+02, 0.000000000000000e+00, 9.736670855981130e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845029114887786e-05, -1.855174860318627e-03, 4.306698783890291e-03, -7.721294619251513e+02, 5.973693664531456e+00, 0.000000000000000e+00, 1.834174385767554e-01, 2.251698325126901e+02, 7.912941076984562e-19, 5.157253442047903e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.097188642766450e-03, -0.000000000000000e+00, -0.000000000000000e+00, 1.184591879013277e-08, 4.049234576982270e-06, -1.077705511305020e+06, -5.866120737390137e+07, 2.776400790884503e-07, 1.223234470529786e+01, 2.776400790884503e-07, 1.223234470529786e+01, 8.995222240940629e+01, 2.061125599628665e+00, 1.036396986196254e+00
