"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05132360011,      -3.108791282,      -1.636648492,       2.414298114,     -0.2537756305,       4.601942408,                         9,      -4.231761841,               3,      -4.429535952,                4,      -4.734422348,   2.026558648e-07,   1.252762022e-05,                12,              14.4,       14.25893961,         0.8769540564,         -0.8895965696,                     0,      0.6611475128,      0.6999162374,                 0,          282.7447,       300.0090314,                 0,       12018.72087,         12363.9727,                  0,        0.1480824466,         0.1435668111,                    0,          308946.0152,           330987.5083,                     0,           179.7329611,           -188.0544552,                      0,          179.73488,         188.0544552,                   0,                131.7913604,                 153.9470652,                           0,             2.135254886e-05,                  1.37792e-11,                          nan,                      0.7332542269,                       0.8186302473,                                nan,           307.4645634,            329.4028806,                      0,            16115.97278,             17148.80102,                       0,       1.394946743,      0.4819454573,                 0,                 0,                 0,      0.7636387787,       0.774210846,       1.256481359,                 0,      0.3454938044
           1,     0.05289970001,      -3.304616016,      -1.013730713,       2.207320997,     -0.6534363879,       4.259163005,                        10,      -3.771923095,               4,      -4.575858164,                4,      -4.324922402,   2.586160855e-07,   1.539469434e-05,                12,             17.28,       16.94642507,         0.9175663872,         -0.8895800055,                     0,      0.6708165247,      0.6998580162,                 0,       272.2667561,       300.0328296,                 0,       12060.96663,        12365.58151,                  0,        0.1543265202,         0.1435741031,                    0,          298186.5087,           330996.1193,                     0,           180.4619655,           -188.0414028,                      0,        180.4605285,         188.0414028,                   0,                129.1120577,                 153.9463103,                           0,            -1.592485136e-05,             -3.237488055e-11,                          nan,                      0.7154587139,                        0.818683056,                                nan,           296.7697354,            329.4241202,                      0,            16307.00287,             17150.14133,                       0,           2.68229,      0.9460025841,                 0,                 0,                 0,       1.492759859,       1.476483914,       2.430966019,                 0,      0.3526846777
           2,     0.05289960001,      -3.409305818,      -1.161172662,       2.116005938,      -1.018844948,       3.870161379,                        10,      -3.322880459,               4,      -4.076722862,                4,      -4.294277717,   2.560310059e-07,   1.875873775e-05,                12,            20.736,       20.20476511,         0.9525188523,         -0.8895866496,                     0,      0.6982869118,      0.6998392564,                 0,       267.4296833,       300.0467045,                 0,       12155.82721,        12366.28726,                  0,        0.1583525282,         0.1435756578,                    0,          294907.6114,           331001.4959,                     0,             182.57289,            -188.040771,                      0,         182.569287,          188.040771,                   0,                138.0779335,                 153.9456689,                           0,            -3.946898922e-05,             -1.877831224e-10,                          nan,                      0.7563042817,                       0.8186823957,                                nan,           293.5097068,            329.4377785,                      0,            16836.60212,             17150.83304,                       0,       3.919922849,       1.285719099,                 0,                 0,                 0,       2.217484533,       2.219044035,       3.477745292,                 0,      0.3279960214
           3,     0.05303832499,       -3.52685734,      -1.304159514,       2.005539006,      -1.329556155,       3.559468417,                        10,      -2.838580285,               5,      -4.383809472,                4,      -4.262827984,   2.546680602e-07,   2.263525148e-05,               1.2,            2.0736,       2.020476511,          0.965464425,         -0.8896044124,                     0,      0.7238131191,      0.6998452345,                 0,       266.2337024,       300.0529204,                 0,       12189.27852,        12366.39032,                  0,         0.159497988,         0.1435738801,                    0,          295534.0604,           331003.8066,                     0,           183.7155323,           -188.0468541,                      0,         183.715841,          188.046854,                   0,                 149.334653,                 153.9454893,                           0,             3.360511745e-06,             -3.344656774e-10,                          nan,                      0.8128567044,                       0.8186549578,                                nan,           294.1316834,            329.4451055,                      0,            17277.49948,             17151.06747,                       0,        5.10646718,       1.508542012,                 0,                 0,                 0,       2.943128496,       2.996107978,       4.401709106,                 0,      0.2954179394
           4,        0.04990864,      -3.652670863,      -1.343764789,       1.870551565,      -1.599329687,       3.385000965,                         4,      -4.783053227,               2,      -4.064877912,                4,      -4.214056583,   2.539192753e-08,   2.262315279e-06,              1.44,           2.48832,       2.424571814,          0.964160225,         -0.8896126457,                     0,      0.7272111945,      0.6998477994,                 0,       266.7717486,       300.0565736,                 0,        12192.0232,        12366.46104,                  0,        0.1592107211,         0.1435729531,                    0,          296396.9638,           331004.9384,                     0,           183.7954932,           -188.0498086,                      0,        183.7965003,         188.0498086,                   0,                151.3784776,                 153.9456218,                           0,             1.095871793e-05,             -3.921362124e-10,                          nan,                      0.8236200218,                       0.8186428001,                                nan,           294.9889254,             329.449332,                      0,            17335.02053,             17151.20481,                       0,       5.415477132,       1.542258001,                 0,                 0,                 0,       3.133404797,       3.213877241,       4.623520886,                 0,       0.284787095
           5,     0.04829723334,      -3.681516713,      -1.316966485,       1.838082595,      -1.653566099,       3.475725895,                         4,      -4.295159976,               3,      -5.760850242,                4,      -4.168937027,   3.050586756e-08,   2.714564884e-06,             1.728,          2.985984,       2.909486176,         0.9622776052,         -0.8896201325,                     0,      0.7301551761,      0.6998552919,                 0,       267.3682576,       300.0562632,                 0,       12192.45793,         12366.3512,                  0,        0.1588602618,         0.1435718264,                    0,          297290.1817,           331004.8341,                     0,           183.8399863,           -188.0528669,                      0,        183.8412624,         188.0528669,                   0,                153.2586545,                 153.9457949,                           0,             1.388269124e-05,             -4.625660965e-10,                          nan,                      0.8336466608,                       0.8186304067,                                nan,           295.8776301,            329.4496205,                      0,            17382.38399,             17151.16715,                       0,       5.693070368,        1.56669189,                 0,                 0,                 0,       3.306249721,       3.413214091,       4.818251058,                 0,       0.275192785
           6,     0.04736894286,      -3.718492738,       -1.29215343,       1.797453107,      -1.707204367,       3.499517815,                         5,      -4.765121976,               3,      -5.477960777,                4,      -4.131024639,   3.669689642e-08,   3.256485447e-06,            2.0736,         3.5831808,       3.491383411,         0.9598302753,         -0.8896271696,                     0,      0.7324190411,      0.6998632159,                 0,       268.0245087,        300.055842,                 0,       12190.65505,        12366.22397,                  0,        0.1584473902,         0.1435705508,                    0,          298197.9963,           331004.6141,                     0,           183.8501633,           -188.0560253,                      0,        183.8514074,         188.0560253,                   0,                154.8618927,                 153.9460114,                           0,             1.353374915e-05,              -5.39289835e-10,                          nan,                      0.8423209532,                        0.818617809,                                nan,           296.7810193,            329.4498236,                      0,             17415.9288,             17151.11196,                       0,       5.899709402,       1.577857306,                 0,                 0,                 0,       3.437541897,       3.566047724,       4.957772518,                 0,      0.2674466145
           7,     0.04649112502,      -3.747913835,      -1.282744349,       1.765172736,      -1.761731555,       3.522039642,                         5,      -4.278217421,               3,      -5.208973835,                4,       -4.10354166,   4.421291946e-08,   3.905639774e-06,           2.48832,        4.29981696,       4.189660094,         0.9568970073,         -0.8896341035,                     0,      0.7337674272,      0.6998715308,                 0,       268.7393322,       300.0553236,                 0,       12187.14571,        12366.08538,                  0,        0.1579802993,         0.1435691898,                    0,          299099.7942,           331004.2998,                     0,           183.8307957,           -188.0592738,                      0,        183.8318408,         188.0592738,                   0,                156.0662094,                   153.94627,                           0,             1.137069731e-05,             -6.166170907e-10,                          nan,                      0.8489617942,                       0.8186050435,                                nan,           297.6785416,            329.4499529,                      0,            17432.47655,             17151.04701,                       0,        5.99889842,       1.573316134,                 0,                 0,                 0,       3.504580304,       3.645680466,       5.017082803,                 0,       0.262267507
           8,     0.04619254446,      -3.752379623,      -1.293375186,       1.760015853,      -1.818323435,       3.515907357,                         6,      -4.579772951,               3,      -4.928751493,                4,      -4.084454482,   5.335585684e-08,   4.683039999e-06,          2.985984,       5.159780352,       5.027592112,         0.9536197949,         -0.8896410992,                     0,      0.7339839685,      0.6998801175,                 0,       269.5032469,       300.0547225,                 0,       12182.79497,         12365.9411,                  0,        0.1574763081,         0.1435678024,                    0,          299967.0019,           331003.9082,                     0,           183.7881787,             -188.06257,                      0,        183.7889532,         188.0625699,                   0,                156.7523929,                 153.9465664,                           0,             8.428245896e-06,             -6.925704454e-10,                          nan,                       0.852893442,                       0.8185922719,                                nan,           298.5417296,            329.4500142,                      0,             17429.6653,             17150.97834,                       0,       5.974292736,        1.55389623,                 0,                 0,                 0,       3.496483271,       3.638939794,       4.986470131,                 0,      0.2600971025
           9,        0.04582558,      -3.738587334,      -1.319867981,       1.775366334,      -1.876746824,       3.396890609,                         6,      -4.137273502,               3,      -4.554141388,                4,      -4.071914865,   6.408221583e-08,   5.613870494e-06,         3.5831808,       6.191736422,       6.033110535,         0.9501875649,         -0.8896479676,                     0,      0.7329128662,      0.6998887241,                 0,       270.2941068,        300.054061,                 0,       12178.60565,        12365.79586,                  0,        0.1569616621,         0.1435664326,                    0,          300761.7738,           331003.4544,                     0,           183.7274485,           -188.0658163,                      0,        183.7279354,         188.0658162,                   0,                 156.822925,                  153.946896,                           0,             5.301151378e-06,             -7.666893787e-10,                          nan,                      0.8535605901,                       0.8185798944,                                nan,           299.3328936,            329.4500108,                      0,            17406.40035,             17150.90862,                       0,        5.84518818,       1.524751411,                 0,                 0,                 0,       3.423831205,       3.557493268,       4.882144342,                 0,      0.2608558294
