"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05479449988,      -3.114654791,      -1.583960718,       2.409097031,      -0.257217466,       4.598416378,                         9,      -4.096642945,               3,      -4.447763613,                4,      -4.656323734,   2.025373553e-07,   1.242807211e-05,                12,              14.4,       14.26171342,         0.9038012765,         -0.9193141438,                     0,      0.6640676702,      0.6999165149,                 0,       282.4239552,       300.0087783,                 0,       11990.84369,        12363.92465,                  0,        0.1479070191,         0.1435663742,                    0,          308815.0954,           330987.2525,                     0,           185.4550355,           -194.3371326,                      0,        185.4570243,         194.3371326,                   0,                125.1465462,                 145.9357834,                           0,             2.144814755e-05,              2.327915638e-11,                          nan,                       0.674800788,                       0.7509413226,                                nan,           307.3342565,            329.4026261,                      0,            16118.67417,             17148.73862,                       0,       1.373556578,      0.5167918753,                 0,                 0,                 0,        0.75957735,      0.7881198291,       1.237981685,                 0,      0.3762436025
           1,     0.05472994992,       -3.31036641,      -1.003106964,       2.201117894,      -0.657041585,        4.25518574,                        10,      -3.751762062,               4,      -4.549145205,                4,      -4.455132101,   2.587233141e-07,    1.49134008e-05,                12,             17.28,       16.95338165,         0.9465862472,         -0.9192994443,                     0,      0.6750845672,      0.6998581414,                 0,        272.026811,       300.0324763,                 0,       12039.98701,        12365.51842,                  0,         0.154194778,         0.1435735396,                    0,          298237.7143,           330995.7408,                     0,            186.328683,           -194.3243266,                      0,        186.3274184,         194.3243266,                   0,                122.8924144,                 145.9350653,                           0,            -1.357372346e-05,             -1.514244286e-11,                          nan,                       0.659550889,                       0.7509871146,                                nan,           296.8206707,            329.4237428,                      0,            16338.80203,             17150.05575,                       0,       2.633528721,      0.9972222173,                 0,                 0,                 0,       1.483608016,       1.507240127,       2.378687216,                 0,      0.3786638852
           2,     0.05507733331,       -3.41552429,      -1.149847842,       2.109426752,       -1.02195146,       3.866961866,                        10,      -3.304175535,               4,      -4.106731339,                4,       -4.46879424,   2.561252447e-07,   1.792400245e-05,                12,            20.736,       20.21639181,         0.9841809573,         -0.9193056685,                     0,      0.7016099293,       0.699838724,                 0,       267.4111878,        300.046421,                 0,       12149.60921,        12366.23541,                  0,        0.1582831729,         0.1435751915,                    0,          295137.0783,           331001.1225,                     0,           188.7252992,           -194.3234064,                      0,        188.7217299,         194.3234064,                   0,                131.4449403,                 145.9344666,                           0,            -3.782508731e-05,             -1.541358152e-10,                          nan,                      0.6965013536,                       0.7509875899,                                nan,           293.7379921,            329.4374225,                      0,            16877.90412,             17150.75299,                       0,        3.84367785,       1.358488132,                 0,                 0,                 0,       2.201603808,       2.258066458,       3.394184039,                 0,       0.353434441
           3,     0.05482764996,      -3.534044894,      -1.296571456,       1.997810565,      -1.332163553,        3.55703557,                        10,      -2.843762172,               5,      -4.444343448,                4,      -4.454517374,   2.547697198e-07,   2.168941496e-05,               1.2,            2.0736,       2.021639181,         0.9983878389,         -0.9193219296,                     0,      0.7248179497,      0.6998439218,                 0,       266.4200073,       300.0527813,                 0,       12193.97853,        12366.36016,                  0,        0.1594482168,         0.1435735965,                    0,          295818.3127,           331003.5155,                     0,           190.0408548,           -194.3290026,                      0,        190.0407474,         194.3290026,                   0,                141.8840622,                 145.9343099,                           0,            -1.130121198e-06,             -2.814515287e-10,                          nan,                      0.7465981064,                       0.7509651569,                                nan,           294.4144862,            329.4448425,                      0,            17299.87471,             17151.00556,                       0,         5.0011462,       1.612324319,                 0,                 0,                 0,        2.91828182,        3.03126776,        4.29214035,                 0,      0.3223909588
           4,     0.05177477999,      -3.659684568,      -1.340723039,       1.862246867,      -1.601716238,       3.381799995,                         4,      -4.827058854,               2,      -4.171313954,                4,      -4.408799442,   2.540678598e-08,   2.182105783e-06,              1.44,           2.48832,       2.425967017,         0.9971817677,         -0.9193296851,                     0,      0.7277085676,      0.6998463588,                 0,       266.9740326,       300.0564816,                 0,         12198.062,        12366.43683,                  0,         0.159169163,          0.143572716,                    0,          296660.0686,           331004.6873,                     0,           190.1409081,           -194.3318338,                      0,        190.1415287,         194.3318337,                   0,                143.7440759,                 145.9344446,                           0,             6.528424469e-06,             -3.334963417e-10,                          nan,                      0.7559846438,                       0.7509549093,                                nan,           295.2507142,            329.4491099,                      0,             17351.3615,             17151.14918,                       0,       5.298412516,       1.654753762,                 0,                 0,                 0,        3.10347775,       3.243511577,       4.504555233,                 0,       0.312311236
           5,     0.04959859998,      -3.688257814,      -1.314882884,       1.829799646,      -1.655605801,       3.471461546,                         4,       -4.35476935,               2,      -4.064208845,                4,      -4.366293695,   3.052560471e-08,   2.620450779e-06,             1.728,          2.985984,       2.911160421,         0.9952363427,         -0.9193366704,                     0,      0.7301106928,      0.6998537232,                 0,       267.5817857,       300.0562185,                 0,       12198.99593,        12366.33314,                  0,        0.1588188412,         0.1435716381,                    0,          297523.7408,           331004.6243,                     0,           190.1871755,           -194.3347694,                      0,        190.1880116,         194.3347694,                   0,                145.4368533,                 145.9346167,                           0,              8.79283124e-06,             -3.953264383e-10,                          nan,                      0.7647004246,                       0.7509444509,                                nan,           296.1100276,            329.4494396,                      0,            17390.86055,             17151.11808,                       0,       5.564238156,       1.687368287,                 0,                 0,                 0,       3.270939428,       3.436505842,        4.69024366,                 0,      0.3032523483
           6,     0.04827762854,       -3.72453841,      -1.291428974,       1.789706828,      -1.708889685,       3.494731561,                         5,      -4.843054802,               3,      -5.618643444,                4,      -4.334565663,   3.672315935e-08,   3.147135446e-06,            2.0736,         3.5831808,       3.493392505,         0.9925779373,         -0.9193432144,                     0,       0.731827132,      0.6998615401,                 0,       268.2429347,       300.0558432,                 0,       12196.88004,        12366.21191,                  0,         0.158399374,         0.1435704101,                    0,          298394.0609,           331004.4461,                     0,           190.1813678,           -194.3378149,                      0,        190.1820935,         194.3378148,                   0,                146.8560684,                 145.9348286,                           0,             7.632098118e-06,              -4.62210159e-10,                          nan,                      0.7721866223,                       0.7509337732,                                nan,           296.9761108,            329.4496842,                      0,            17415.21913,             17151.06959,                       0,       5.760382969,       1.704982791,                 0,                 0,                 0,       3.397073022,       3.582783736,       4.822099021,                 0,      0.2959842775
           7,     0.04721049999,      -3.752936634,      -1.283267392,       1.758506745,      -1.763096814,       3.516717909,                         5,      -4.342039956,               3,      -5.343790467,                4,      -4.313688308,   4.424791441e-08,   3.779998426e-06,           2.48832,        4.29981696,       4.192071006,          0.989322942,         -0.9193496949,                     0,      0.7326640829,      0.6998697958,                 0,       268.9546853,       300.0553654,                 0,        12192.3979,        12366.07859,                  0,        0.1579219009,         0.1435690909,                    0,          299251.9651,           331004.1722,                     0,           190.1313351,           -194.3409705,                      0,        190.1318193,         194.3409704,                   0,                147.8894095,                 145.9350783,                           0,             5.093641489e-06,             -5.317785101e-10,                          nan,                      0.7778256689,                       0.7509228653,                                nan,           297.8299546,            329.4498531,                      0,            17422.17501,             17151.01104,                       0,         5.8518256,       1.703960342,                 0,                 0,                 0,       3.459861802,       3.656522904,       4.876185389,                 0,      0.2911844027
           8,     0.04665853331,      -3.756731111,      -1.294726376,       1.754261291,      -1.819387297,       3.510130058,                         6,      -4.626772915,               3,      -5.057617297,                4,      -4.299843981,   5.340246545e-08,   4.539306175e-06,          2.985984,       5.159780352,       5.030485207,         0.9856734548,         -0.9193563005,                     0,        0.73245805,      0.6998783977,                 0,        269.705624,       300.0547942,                 0,       12186.66592,        12365.93813,                  0,        0.1574080985,         0.1435677335,                    0,          300071.0775,           331003.8163,                     0,           190.0487703,           -194.3442044,                      0,        190.0490152,         194.3442043,                   0,                148.4301547,                  145.935361,                           0,             2.577432684e-06,             -6.053485491e-10,                          nan,                      0.7810098597,                       0.7509118245,                                nan,           298.6452797,            329.4499485,                      0,            17410.62298,             17150.94788,                       0,       5.823341397,       1.684479729,                 0,                 0,                 0,       3.449058989,       3.645441078,        4.84350455,                 0,      0.2892634338
           9,     0.04622889999,      -3.743020609,      -1.321610667,         1.7697128,      -1.877661851,       3.391718489,                         6,      -4.160874217,               3,      -4.678041212,                4,      -4.291031034,   6.408728569e-08,   5.446995416e-06,         3.5831808,       6.191736422,       6.036582249,         0.9818887883,         -0.9193628555,                     0,       0.731112959,      0.6998871148,                 0,       270.4717192,        300.054147,                 0,       12180.95929,        12365.79445,                  0,         0.156888745,         0.1435663751,                    0,          300816.4039,           331003.3899,                     0,           189.9457732,           -194.3474288,                      0,        189.9458383,         194.3474288,                   0,                 148.396305,                 145.9356716,                           0,             6.855193728e-07,             -6.832349131e-10,                          nan,                        0.78125589,                       0.7509009637,                                nan,           299.3872348,            329.4499701,                      0,            17380.86113,             17150.88204,                       0,       5.694332126,        1.65212814,                 0,                 0,                 0,       3.375515806,       3.561698891,       4.740173705,                 0,      0.2901355424
