"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.009858885669775e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.327721770230363e+04, 1.000000000000000e-10, 2.344688304593910e+07, 4.648072773481619e-01, 6.680802489524560e+02, 1.731088708092144e+04, 3.000434168974393e+02, 0.000000000000000e+00, 1.167008417528383e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846121681200366e-05, -7.114278011490308e-04, 8.672257573468506e-04, -4.521102023652750e+01, 2.992379576457205e+00, 0.000000000000000e+00, 4.648072773481619e-01, 1.241147718902420e+03, 8.571963575515450e-19, 2.275075257039896e-10, -0.000000000000000e+00, -0.000000000000000e+00, 1.544142620353642e-04, -0.000000000000000e+00, -0.000000000000000e+00, -1.096206503472445e-09, 3.485738369140187e-07, -2.575616030905640e+05, -1.517702647675896e+08, 6.647905859532487e-08, 2.995144904389965e+00, 6.647905859532487e-08, 2.995144904389965e+00, 8.950728414113881e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.722688189971787e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.698077203898221e+04, 1.000000000000000e-10, 2.614190515814958e+07, 5.878807430825183e-02, 6.040293388083592e+02, 1.479230881559287e+04, 2.991297677826206e+02, 0.000000000000000e+00, 5.730471858337622e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841795633195563e-05, 1.333869339347560e-03, 6.863214188478977e-03, -1.624408071762047e+03, 6.927894031090241e+00, 0.000000000000000e+00, 5.878807430825183e-02, 1.013064632226661e+02, 6.589740674441111e-19, 5.489173713549445e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.572373995984477e-03, -0.000000000000000e+00, -0.000000000000000e+00, 1.815372026369551e-10, 5.358110876989026e-06, -1.609717938918301e+06, -8.520225896569824e+08, 1.010201133705591e-07, 3.594173885267972e+00, 1.010201133705591e-07, 3.594173885267972e+00, 8.912460918129712e+01, 4.829284068574643e+00, 3.826516022335064e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.300909206469087e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.911320060879239e+04, 1.000000000000000e-10, 3.616104734179735e+07, 1.193239672274243e-01, 7.535325916769227e+02, 1.164528024351695e+04, 3.118410631564172e+02, 0.000000000000000e+00, -1.691227092139616e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.901415152696214e-05, -6.087481291795254e-04, 8.888439600211562e-04, -9.200619254737572e+02, 2.292345637925884e+00, 0.000000000000000e+00, 1.193239672274243e-01, 6.001454553251377e+03, 3.597209162565349e-19, 2.221580662575782e-07, -0.000000000000000e+00, -0.000000000000000e+00, -2.495995808176954e-02, -0.000000000000000e+00, -0.000000000000000e+00, 3.770822539977428e-08, 6.534305954289773e-05, 2.402832991272964e+05, -7.467681294953537e+07, 5.714618772415033e-08, 2.079961739159701e+00, 5.714618772415033e-08, 2.079961739159701e+00, 8.809562036213737e+01, 4.778986443742371e+00, 4.103502934401843e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.342847119331724e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.951920600387811e+04, 1.000000000000000e-10, 3.490364871327865e+07, 6.505673093635135e-01, 7.600352851453833e+02, 1.180768240155124e+04, 3.063151214689584e+02, 0.000000000000000e+00, -1.308230910747077e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.875645926054893e-05, 2.494801108007457e-05, 3.872427636517635e-05, -5.379638699863544e+02, 4.878851929609585e-01, 0.000000000000000e+00, 6.505673093635135e-01, 4.724431643163367e+05, 3.847111528273038e-19, 1.430054410708315e-07, -0.000000000000000e+00, -0.000000000000000e+00, -1.212114072365513e-02, -0.000000000000000e+00, -0.000000000000000e+00, 1.855144194797793e-07, 2.260659176538649e-05, 1.039298221676381e+04, -9.028275256021157e+06, 2.151261679861012e-08, 1.003067968344762e+00, 2.151261679861012e-08, 1.003067968344762e+00, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.875829214187891e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.033954192753524e+04, 1.000000000000000e-10, 2.441256913987108e+07, 7.712638510413383e-02, 6.110676926834243e+02, 1.613581677101408e+04, 2.996594676532732e+02, 0.000000000000000e+00, 8.898892911512241e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844304497203619e-05, 4.362679199215917e-03, -1.567653238759187e-04, -6.317284248133652e+02, 5.705770750615357e+00, 0.000000000000000e+00, 7.712638510413383e-02, 1.811643704664104e+02, 7.683878956528564e-19, -4.067828587336211e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.044895828925113e-03, -0.000000000000000e+00, -0.000000000000000e+00, 8.428005878136268e-10, -3.826624267087622e-06, 1.003735506953931e+06, -4.498151906888428e+08, 9.838545168375882e-08, 3.594173885267972e+00, 9.838545168375882e-08, 3.594173885267972e+00, 8.899591568721675e+01, 4.221139683296173e+00, 3.837449350062577e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.323823478589326e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.854240761641885e+04, 1.000000000000000e-10, 3.415919984236053e+07, 2.177730989907313e-02, 6.506333461242948e+02, 1.141696304656753e+04, 3.004352323291461e+02, 0.000000000000000e+00, -2.229671997283146e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.847974928435481e-05, 4.741912779019115e-03, -5.226721317597905e-03, -1.614004084164113e+03, 6.079594482501402e+00, 0.000000000000000e+00, 2.177730989907313e-02, 8.598174271058321e+00, 3.875400909700164e-19, 1.061907724078051e-08, -0.000000000000000e+00, -0.000000000000000e+00, -8.099961117847679e-03, -0.000000000000000e+00, -0.000000000000000e+00, 3.957155298766917e-10, -2.359859632787685e-06, 1.619633380866237e+06, -1.563923049716797e+08, 8.161170123430016e-08, 2.995144904389965e+00, 8.161170123430016e-08, 2.995144904389965e+00, 8.934288935013288e+01, 4.133121621850619e+00, 4.088912888335626e+00
688, -3.361280624494327e-05, 4.508048606400442e-05, 2.001749356660845e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.310008494014564e+04, 1.000000000000000e-10, 2.355106133068188e+07, 3.682298124107311e-01, 6.642321759874727e+02, 1.724003397605824e+04, 3.000259123608293e+02, 0.000000000000000e+00, 1.150298991415535e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846038859035814e-05, -1.007324570229482e-03, 1.426660195618678e-03, -1.075972323270436e+02, 3.723099957347015e+00, 0.000000000000000e+00, 3.682298124107311e-01, 7.357570485745321e+02, 8.499609417399027e-19, 9.883352594427039e-10, -0.000000000000000e+00, -0.000000000000000e+00, 3.943897136334806e-04, -0.000000000000000e+00, -0.000000000000000e+00, -7.450167561371828e-10, 1.216405226951668e-06, -4.011537876506322e+05, -9.780371100434875e+07, 6.790858839158777e-08, 2.995144904389965e+00, 6.790858839158777e-08, 2.995144904389965e+00, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
689, -6.484109783259044e-05, 9.183357187137720e-05, 1.990742374906106e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.285944215284805e+04, 1.000000000000000e-10, 2.362202914269827e+07, 3.056064632231338e-01, 6.635385919493755e+02, 1.714377686113921e+04, 3.000003696062687e+02, 0.000000000000000e+00, 1.127598487991147e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845918000075841e-05, -1.239294242762650e-03, 2.008014832042181e-03, -1.958000514121296e+02, 4.317353878351454e+00, 0.000000000000000e+00, 3.056064632231338e-01, 5.119332722249700e+02, 8.427475755507511e-19, 1.541003156134064e-09, -0.000000000000000e+00, -0.000000000000000e+00, 5.735913489609071e-04, -0.000000000000000e+00, -0.000000000000000e+00, -7.159950189706260e-10, 2.063744146208728e-06, -5.420427425390492e+05, -1.159777683168945e+08, 6.792117060158056e-08, 2.995144904389965e+00, 6.792117060158056e-08, 2.995144904389965e+00, 8.991256841746362e+01, 2.059088584218717e+00, 1.037013292427784e+00
690, -9.263179551623211e-05, 1.407083053014280e-04, 1.975350079714012e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.252334077201287e+04, 1.000000000000000e-10, 2.372746797924848e+07, 2.582019904263572e-01, 6.589176792042750e+02, 1.700933630880513e+04, 2.999671101416271e+02, 0.000000000000000e+00, 1.095893109939838e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845760620963232e-05, -1.366646501091963e-03, 2.630162214971970e-03, -3.084248220839578e+02, 4.820768810221312e+00, 0.000000000000000e+00, 2.582019904263572e-01, 3.857694951146528e+02, 8.325152721495257e-19, 2.328430153988457e-09, -0.000000000000000e+00, -0.000000000000000e+00, 8.135389625519955e-04, -0.000000000000000e+00, -0.000000000000000e+00, -5.537452862825457e-10, 3.040165927093271e-06, -6.809333759944863e+05, -9.563110182196045e+07, 6.796421996836739e-08, 2.995144904389965e+00, 6.796421996836739e-08, 2.995144904389965e+00, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
691, -1.166503543332792e-04, 1.915424203007436e-04, 1.956522417737132e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.211238568276833e+04, 1.000000000000000e-10, 2.386768904495204e+07, 2.209529979426904e-01, 6.522428251108460e+02, 1.684495427310732e+04, 2.999268548149374e+02, 0.000000000000000e+00, 1.057126573384023e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845570127054207e-05, -1.398440069182945e-03, 3.246411038719687e-03, -4.375284696049328e+02, 5.239296457921449e+00, 0.000000000000000e+00, 2.209529979426904e-01, 3.077060292737863e+02, 8.197357567879870e-19, 2.997815177217069e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.018930840671305e-03, -0.000000000000000e+00, -0.000000000000000e+00, -3.458356587102648e-10, 3.739851549543687e-06, -8.121416477881368e+05, -6.749913006622314e+07, 6.795325662957818e-08, 2.995144904389965e+00, 6.795325662957818e-08, 2.995144904389965e+00, 8.995222240940629e+01, 2.061125599628665e+00, 1.036396986196254e+00
