"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.006187846490237e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.319495474846090e+04, 0.000000000000000e+00, 1.727798189938436e+04, 3.000210764115440e+02, 0.000000000000000e+00, 1.159248324294850e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846015977479209e-05, -9.628856303317565e-04, 1.173751178481050e-03, -8.288205850044501e+01, 3.478295701793664e+00, 0.000000000000000e+00, 1.037453249398425e-08, -0.000000000000000e+00, -0.000000000000000e+00, 2.929990038904068e-03, -0.000000000000000e+00, -3.486455419615509e+05, -1.606155293534546e+08, 1.709593437897432e-07, 7.701932652375896e+00, 1.709593437897432e-07, 7.701932652375896e+00, 8.950728414113881e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.699095543038531e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.646522850627711e+04, 0.000000000000000e+00, 1.458609140251084e+04, 2.990552805438622e+02, 0.000000000000000e+00, 5.244145305149879e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841442659514978e-05, 1.394572305505343e-03, 7.175551721344558e-03, -1.778087863048015e+03, 7.036454933924392e+00, 0.000000000000000e+00, 1.394648159862077e-08, -0.000000000000000e+00, -0.000000000000000e+00, 4.107919924067061e-03, -0.000000000000000e+00, -1.683308590373083e+06, -9.133531307243652e+08, 2.598305890485963e-07, 9.242319182851011e+00, 2.598305890485963e-07, 9.242319182851011e+00, 8.912460918129712e+01, 4.829284068574643e+00, 3.826516022335064e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.362208887306947e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.006695689256273e+04, 0.000000000000000e+00, 1.202678275702509e+04, 3.075644261490605e+02, 0.000000000000000e+00, -7.915222628821925e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.881491657466639e-05, 1.986801464550594e-04, -2.900964121084282e-04, -4.071650095201196e+02, 1.354289562573184e+00, 0.000000000000000e+00, 4.820235609252467e-08, -0.000000000000000e+00, -0.000000000000000e+00, -5.137638824358804e-03, -0.000000000000000e+00, -7.930585511042747e+04, -4.621167577721596e+06, 1.479089267036295e-07, 5.348564341927682e+00, 1.479089267036295e-07, 5.348564341927682e+00, 8.809562036213737e+01, 4.778986443742371e+00, 4.103502934401843e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.347056367215576e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.021427702198119e+04, 0.000000000000000e+00, 1.208571080879247e+04, 3.125480360964696e+02, 0.000000000000000e+00, -6.525510873942147e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.904695747308450e-05, 1.982452812262461e-04, 3.077161154713705e-04, -8.440512637141080e+02, 1.356456738999188e+00, 0.000000000000000e+00, 1.265779957184552e-07, -0.000000000000000e+00, -0.000000000000000e+00, -6.645083224426290e-03, -0.000000000000000e+00, 8.148048504022209e+04, -3.050753127874374e+06, 6.572729924825836e-08, 3.095233994171096e+00, 6.572729924825836e-08, 3.095233994171096e+00, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.887878081922460e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.059925382310209e+04, 0.000000000000000e+00, 1.623970152924083e+04, 2.996639114469912e+02, 0.000000000000000e+00, 9.143886365954715e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844325535604753e-05, 4.169268810306844e-03, -1.498154564037132e-04, -5.763576386399691e+02, 5.595681637827886e+00, 0.000000000000000e+00, 2.249321652240604e-09, -0.000000000000000e+00, -0.000000000000000e+00, 2.945048978624243e-04, -0.000000000000000e+00, 9.592097893808938e+05, -4.257361045388184e+08, 2.529869105900740e-07, 9.242319182851011e+00, 2.529869105900740e-07, 9.242319182851011e+00, 8.899591568721675e+01, 4.221139683296173e+00, 3.837449350062577e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.358352567012560e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.942513538334187e+04, 0.000000000000000e+00, 1.177005415333674e+04, 3.018535574245799e+02, 0.000000000000000e+00, -1.396970343480465e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.854673638354791e-05, 4.228544557420186e-03, -4.660866829619852e-03, -1.361610724124214e+03, 5.794461439366575e+00, 0.000000000000000e+00, 5.873863097393745e-08, -0.000000000000000e+00, -0.000000000000000e+00, -4.076152936185684e-03, -0.000000000000000e+00, 1.439058151502981e+06, -1.347810353048096e+08, 1.744476096772470e-07, 6.418277210313218e+00, 1.744476096772470e-07, 6.418277210313218e+00, 8.934288935013288e+01, 4.133121621850619e+00, 4.088912888335626e+00
688, -3.361280624494327e-05, 4.508048606400442e-05, 1.995857649180967e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.296969913434906e+04, 0.000000000000000e+00, 1.718787965373962e+04, 3.000012654665242e+02, 0.000000000000000e+00, 1.137999335713342e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845922239043222e-05, -1.239414951377425e-03, 1.755366670528056e-03, -1.638699260935454e+02, 4.123972088649686e+00, 0.000000000000000e+00, 1.170357491594945e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.259798441492053e-03, -0.000000000000000e+00, -4.936119092053836e+05, -9.696077477700806e+07, 1.746386970688338e-07, 7.701932652375896e+00, 1.746386970688338e-07, 7.701932652375896e+00, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
689, -6.484109783259044e-05, 9.183357187137720e-05, 1.982785804549728e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.268426567340107e+04, 0.000000000000000e+00, 1.707370626936043e+04, 2.999731267820538e+02, 0.000000000000000e+00, 1.111073603467431e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845789091489369e-05, -1.453287633992316e-03, 2.354745970395796e-03, -2.709179735704158e+02, 4.666238369800382e+00, 0.000000000000000e+00, 1.206749172233047e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.334397787655066e-03, -0.000000000000000e+00, -6.356836045260022e+05, -1.206456149306641e+08, 1.746727023710388e-07, 7.701932652375896e+00, 1.746727023710388e-07, 7.701932652375896e+00, 8.991256841746362e+01, 2.059088584218717e+00, 1.037013292427784e+00
690, -9.263179551623211e-05, 1.407083053014280e-04, 1.965001256574608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.229632256882553e+04, 0.000000000000000e+00, 1.691852902753021e+04, 2.999370486291262e+02, 0.000000000000000e+00, 1.074477851428561e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845618366803608e-05, -1.556664675277746e-03, 2.995859285503436e-03, -4.023451786570448e+02, 5.131904837512675e+00, 0.000000000000000e+00, 1.316797999998924e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.601107650401204e-03, -0.000000000000000e+00, -7.756699572425173e+05, -9.403974964874268e+07, 1.747876878357622e-07, 7.701932652375896e+00, 1.747876878357622e-07, 7.701932652375896e+00, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
691, -1.166503543332792e-04, 1.915424203007436e-04, 1.943958815350367e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.183734932927963e+04, 0.000000000000000e+00, 1.673493973171185e+04, 2.998937661386554e+02, 0.000000000000000e+00, 1.031181629202172e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845413537432740e-05, -1.562024450030396e-03, 3.626164273376050e-03, -5.484681653575857e+02, 5.519921768329104e+00, 0.000000000000000e+00, 1.376747348696193e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.743631398429277e-03, -0.000000000000000e+00, -9.072199695460704e+05, -6.487881439605713e+07, 1.747625855483874e-07, 7.701932652375896e+00, 1.747625855483874e-07, 7.701932652375896e+00, 8.995222240940630e+01, 2.061125599628665e+00, 1.036396986196254e+00
