"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.03872399987,      -3.112102938,      -1.615228002,       2.411208838,                         9,      -4.153044923,               4,      -4.569610508,   2.025815692e-07,   1.239356191e-05,                12,              14.4,       14.26062168,         0.8910452297,         -0.9046537423,                     0,      0.6626014769,      0.6999162513,                 0,       282.4720436,       300.0089077,                 0,       12005.14333,        12363.95027,                  0,        0.1480576842,         0.1435666099,                    0,          308721.7122,           330951.9271,                     0,           182.6510272,           -191.2377036,                      0,        182.6527627,         191.2377036,                   0,                 128.380218,                 149.9743168,                           0,             1.900376296e-05,              2.134692423e-11,                          nan,                      0.7028649123,                       0.7842298564,                                nan,           307.2765904,             329.402746,                      0,            16117.70492,             17148.77013,                       0,       1.384386326,      0.4995710167,                 0,                 0,                 0,      0.7616362937,      0.7811688444,       1.247345957,                 0,      0.3608609875
           1,     0.03985524992,      -3.307867534,      -1.008765777,       2.203772756,                        10,       -3.82229898,               5,      -4.737981742,    2.58677121e-07,   1.487228074e-05,                12,             17.28,       16.95074693,         0.9332232126,         -0.9046021522,                     0,      0.6733829895,      0.6998505153,                 0,       271.9928624,       300.0168687,                 0,       12051.03038,         12365.1464,                  0,        0.1543546541,          0.143576689,                    0,          298053.9867,            330955.162,                     0,           183.5073586,           -191.2133737,                      0,        183.5055476,         191.2133737,                   0,                126.0502812,                 149.9735765,                           0,            -1.973818655e-05,             -7.888645293e-11,                          nan,                      0.6869017468,                       0.7843257694,                                nan,           296.6588004,            329.4059658,                      0,            16329.72008,             17149.42308,                       0,       2.657767511,      0.9721587838,                 0,                 0,                 0,       1.488099792,       1.491633489,       2.404963696,                 0,      0.3657802195
           2,     0.03964566664,      -3.412825873,      -1.155787476,       2.112319674,                        10,      -3.382844379,               6,      -4.568006347,     2.5608395e-07,    1.78735159e-05,                12,            20.736,       20.21157362,         0.9694420091,         -0.9045658731,                     0,      0.7007454629,      0.6998047724,                 0,        267.297851,       300.0226778,                 0,       12152.22453,        12365.95045,                  0,        0.1583837277,          0.143583245,                    0,          294929.5222,           330957.7104,                     0,           185.7801169,           -191.1969747,                      0,        185.7761636,         191.1969746,                   0,                135.0105069,                 149.9725597,                           0,            -4.255878334e-05,              -4.09323353e-10,                          nan,                       0.726737512,                       0.7843877238,                                nan,           293.5489614,            329.4085022,                      0,             16868.5952,             17149.83819,                       0,        3.88155741,       1.322738595,                 0,                 0,                 0,       2.209411849,       2.238356299,       3.435969499,                 0,      0.3407752238
           3,     0.03992372501,      -3.530799273,       -1.30075499,       2.001330168,                        10,      -2.858121072,               6,      -4.039765611,   2.547232866e-07,   2.163475161e-05,               1.2,            2.0736,       2.021157362,         0.9826806111,         -0.9045463077,                     0,      0.7252110911,      0.6997790806,                 0,       266.2600365,       300.0258145,                 0,       12189.88084,        12366.38986,                  0,         0.159489453,         0.1435868459,                    0,          295652.4989,           330959.0027,                     0,           187.0005529,           -191.1880445,                      0,         187.000685,         191.1880444,                   0,                145.9633242,                  149.971548,                           0,             1.412757063e-06,             -8.849895261e-10,                          nan,                      0.7805496766,                       0.7844190703,                                nan,           294.2685539,            329.4097885,                      0,            17300.46779,             17150.05441,                       0,       5.053600519,        1.56123813,                 0,                 0,                 0,       2.930555934,         3.0135153,       4.346845781,                 0,      0.3089358021
           4,     0.03683245997,        -3.6564259,       -1.34261832,       1.866194983,                         4,       -4.85833983,               2,      -4.215026332,   2.540018176e-08,   2.175309688e-06,              1.44,           2.48832,       2.425388834,         0.9813417496,         -0.9045468851,                     0,      0.7283029219,      0.6997802697,                 0,       266.8189049,       300.0257696,                 0,       12193.08513,        12366.37187,                  0,        0.1591957963,         0.1435866585,                    0,          296513.6823,           330959.0534,                     0,           187.0871388,            -191.188416,                      0,        187.0879238,          191.188416,                   0,                  147.90166,                 149.9717138,                           0,              8.39251201e-06,             -9.488477781e-10,                          nan,                       0.790546268,                        0.784418413,                                nan,           295.1257061,             329.409839,                      0,            17353.88791,             17150.04765,                       0,       5.357110436,       1.599444461,                 0,                 0,                 0,       3.118518176,       3.228783206,       4.564188189,                 0,       0.298564773
           5,     0.03470964998,      -3.685156125,      -1.316286153,       1.833736542,                         4,      -4.380084929,               3,      -5.805487449,   3.051660245e-08,   2.612550983e-06,             1.728,          2.985984,       2.910466601,         0.9793447206,         -0.9045481548,                     0,      0.7309118442,      0.6997819911,                 0,       267.4330763,       300.0257015,                 0,       12193.56764,        12366.35081,                  0,        0.1588355601,         0.1435864466,                    0,          297400.4269,           330959.1236,                     0,            187.128555,           -191.1889666,                      0,        187.1294511,         191.1889665,                   0,                149.6686094,                 149.9719358,                           0,             9.577355528e-06,             -1.039493824e-09,                          nan,                      0.7998132231,                       0.7844173154,                                nan,           296.0082999,            329.4099088,                      0,            17396.04243,             17150.04479,                       0,       5.629236128,       1.628130108,                 0,                 0,                 0,       3.288923935,        3.42522837,       4.754673243,                 0,      0.2892275384
           6,         0.0333887,      -3.721869666,      -1.292140084,       1.793327968,                         5,      -4.879647514,               3,      -5.427768656,   3.671094567e-08,   3.137744641e-06,            2.0736,         3.5831808,       3.492559921,         0.9767157771,         -0.9045503151,                     0,      0.7328222809,      0.6997844271,                 0,       268.1042644,       300.0255833,                 0,       12191.53094,        12366.32456,                  0,        0.1584109977,         0.1435861983,                    0,          298297.1554,           330959.1988,                     0,           187.1265032,           -191.1897537,                      0,        187.1271241,         191.1897536,                   0,                151.1529257,                 149.9722254,                           0,             6.636005104e-06,             -1.165991526e-09,                          nan,                       0.807755297,                       0.7844156003,                                nan,           296.9008308,            329.4099836,                      0,             17423.6277,             17150.04567,                       0,       5.831040793,       1.642696355,                 0,                 0,                 0,       3.417884591,       3.575047632,       4.890656651,                 0,      0.2817158057
           7,        0.03242395,      -3.750913151,      -1.283353644,        1.76149637,                         5,      -4.379372836,               3,      -5.059803301,   4.423144389e-08,   3.768649361e-06,           2.48832,        4.29981696,       4.191071905,         0.9735600967,          -0.904553443,                     0,      0.7338187456,      0.6997877365,                 0,       268.8298099,       300.0253797,                 0,       12187.61821,        12366.28962,                  0,         0.157932655,         0.1435858901,                    0,          299183.1551,           330959.2534,                     0,           187.0877256,           -191.1908253,                      0,        187.0878732,         191.1908252,                   0,                152.2360413,                 149.9725876,                           0,             1.576958173e-06,             -1.331252886e-09,                          nan,                      0.8137141051,                       0.7844130984,                                nan,           297.7826831,             329.410038,                      0,            17433.96435,             17150.04785,                       0,       5.926703993,       1.640080273,                 0,                 0,                 0,       3.483002788,       3.651942571,       4.947625591,                 0,      0.2767272121
           8,     0.03194125555,      -3.755143911,      -1.294420065,       1.756719159,                         6,      -4.675931272,               3,      -4.702023864,    5.33804452e-08,   4.526622486e-06,          2.985984,       5.159780352,       5.029286286,         0.9700563818,         -0.9045574187,                     0,      0.7337116311,      0.6997920049,                 0,       269.5982517,       300.0250517,                 0,       12182.82842,        12366.24135,                  0,        0.1574207221,         0.1435854866,                    0,          300029.8136,           330959.2517,                     0,           187.0216492,           -191.1922029,                      0,        187.0212988,         191.1922028,                   0,                152.8038835,                 149.9730176,                           0,            -3.747550927e-06,             -1.524686155e-09,                          nan,                      0.8170400082,                       0.7844096959,                                nan,           298.6253784,            329.4100363,                      0,            17425.34222,             17150.04623,                       0,       5.900389434,       1.620749269,                 0,                 0,                 0,       3.473684617,       3.643162646,        4.91617632,                 0,      0.2746851351
           9,        0.03147815,      -3.741414679,      -1.321155407,       1.772096439,                         6,      -4.185898833,               3,      -4.360502049,   6.408712831e-08,   5.437195255e-06,         3.5831808,       6.191736422,       6.035143543,         0.9664340682,         -0.9045619141,                     0,      0.7323798861,      0.6997971972,                 0,       270.3847586,        300.024569,                 0,       12178.27152,        12366.17519,                  0,        0.1569043061,         0.1435849494,                    0,           300799.143,           330959.1574,                     0,           186.9371356,           -191.1938685,                      0,        186.9363964,         191.1938683,                   0,                152.7675041,                 149.9734989,                           0,             -7.90920628e-06,             -1.720035225e-09,                          nan,                      0.8172164815,                       0.7844053797,                                nan,           299.3911066,            329.4099424,                      0,            17397.40626,             17150.03394,                       0,       5.771430096,       1.590050282,                 0,                 0,                 0,       3.400640325,       3.560622402,       4.812445674,                 0,       0.275503689
