"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.012593954020812e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.333561772346224e+04, 0.000000000000000e+00, 1.733424708938489e+04, 3.000400053139712e+02, 0.000000000000000e+00, 1.172517453951970e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846105539584976e-05, -5.263775165989724e-04, 6.416506913921861e-04, -2.564330397072084e+01, 2.575722235318345e+00, 0.000000000000000e+00, 4.131992686693711e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.071512096586590e-03, -0.000000000000000e+00, -1.905487705444362e+05, -1.441217928799095e+08, 8.466845426345809e-08, 3.814663479271871e+00, 8.466845426345809e-08, 3.814663479271871e+00, 8.950728414113881e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.741680368762321e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.739602457619695e+04, 0.000000000000000e+00, 1.495840983047877e+04, 2.991901671630861e+02, 0.000000000000000e+00, 6.122191126090795e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842081817173122e-05, 1.285071098425286e-03, 6.612130540635039e-03, -1.508806211281609e+03, 6.836307397179199e+00, 0.000000000000000e+00, -6.404795566354585e-10, -0.000000000000000e+00, -0.000000000000000e+00, -3.083162673230347e-04, -0.000000000000000e+00, -1.550578666462402e+06, -8.030998802175293e+08, 1.286374352090247e-07, 4.577596175126230e+00, 1.286374352090247e-07, 4.577596175126230e+00, 8.912460918129709e+01, 4.829284068574643e+00, 3.826516022335064e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.358059848135304e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.004399963024413e+04, 0.000000000000000e+00, 1.201759985209765e+04, 3.082685185771382e+02, 0.000000000000000e+00, -8.131784869365460e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.884781110856298e-05, 1.509083974455496e-04, -2.203440325422200e-04, -4.901278489798062e+02, 1.176440522925987e+00, 0.000000000000000e+00, 7.367531501568383e-08, -0.000000000000000e+00, -0.000000000000000e+00, -2.826318520145477e-04, -0.000000000000000e+00, -6.014544279542894e+04, -2.108352827080965e+06, 7.317739749704873e-08, 2.649071860605452e+00, 7.317739749704873e-08, 2.649071860605452e+00, 8.809562036213738e+01, 4.778986443742371e+00, 4.103502934401843e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.350294205598730e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.018698289223000e+04, 0.000000000000000e+00, 1.207479315689200e+04, 3.115169206916162e+02, 0.000000000000000e+00, -6.782983991188028e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.899909797674537e-05, 1.946095640466831e-04, 3.020727591174261e-04, -7.247583066653269e+02, 1.348964607339900e+00, 0.000000000000000e+00, 1.703760259223391e-07, -0.000000000000000e+00, -0.000000000000000e+00, 7.606576907145512e-04, -0.000000000000000e+00, 8.018693564416104e+04, -3.318846683128834e+06, 2.717235162158967e-08, 1.277523080924699e+00, 2.717235162158967e-08, 1.277523080924699e+00, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.868974493880097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.018709322389858e+04, 0.000000000000000e+00, 1.607483728955943e+04, 2.996219018808288e+02, 0.000000000000000e+00, 8.755083809323466e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844126642245791e-05, 4.473071134006023e-03, -1.607320669299967e-04, -6.621413780403946e+02, 5.767498680385970e+00, 0.000000000000000e+00, 6.733494490989083e-09, -0.000000000000000e+00, -0.000000000000000e+00, 1.700501486538691e-03, -0.000000000000000e+00, 1.029243491309748e+06, -4.627375419945068e+08, 1.253149806336228e-07, 4.577596175126230e+00, 1.253149806336228e-07, 4.577596175126230e+00, 8.899591568721675e+01, 4.221139683296173e+00, 3.837449350062577e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.358819056027915e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.939452110968409e+04, 0.000000000000000e+00, 1.175780844387363e+04, 3.014359853218370e+02, 0.000000000000000e+00, -1.425849639295148e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.852703053019995e-05, 4.232008394935934e-03, -4.664684806505542e-03, -1.346039722796285e+03, 5.803996263088305e+00, 0.000000000000000e+00, 5.765670420276292e-08, -0.000000000000000e+00, -0.000000000000000e+00, 2.258310059793933e-05, -0.000000000000000e+00, 1.441769458643873e+06, -1.347866345152588e+08, 1.037533884466202e-07, 3.814663479271871e+00, 1.037533884466202e-07, 3.814663479271871e+00, 8.934288935013288e+01, 4.133121621850619e+00, 4.088912888335626e+00
686, -3.361280624494327e-05, 4.508048606400442e-05, 2.006142356665145e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.319478081486735e+04, 0.000000000000000e+00, 1.727791232594693e+04, 3.000266713457576e+02, 0.000000000000000e+00, 1.159231916655209e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846042450197913e-05, -8.350938264184228e-04, 1.182732117302213e-03, -7.490913179177569e+01, 3.393616785650723e+00, 0.000000000000000e+00, 3.853834428091017e-09, -0.000000000000000e+00, -0.000000000000000e+00, 9.456941989414748e-04, -0.000000000000000e+00, -3.325645144504107e+05, -9.774540485745239e+07, 8.648760346368826e-08, 3.814663479271871e+00, 8.648760346368826e-08, 3.814663479271871e+00, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
687, -6.484109783259044e-05, 9.183357187137720e-05, 1.996697745271042e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.298841672674999e+04, 0.000000000000000e+00, 1.719536669069999e+04, 3.000056676193503e+02, 0.000000000000000e+00, 1.139765018263670e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845943068745095e-05, -1.079298633927619e-03, 1.748775706645960e-03, -1.496331816629792e+02, 4.035004103022666e+00, 0.000000000000000e+00, 3.491599237042273e-09, -0.000000000000000e+00, -0.000000000000000e+00, 8.073699168133636e-04, -0.000000000000000e+00, -4.720574224762102e+05, -1.118605927052612e+08, 8.650266228623078e-08, 3.814663479271871e+00, 8.650266228623078e-08, 3.814663479271871e+00, 8.991256841746362e+01, 2.059088584218717e+00, 1.037013292427784e+00
688, -9.263179551623211e-05, 1.407083053014280e-04, 1.983128559200858e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.269222662691638e+04, 0.000000000000000e+00, 1.707689065076655e+04, 2.999772185255093e+02, 0.000000000000000e+00, 1.111824582354290e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845808453313488e-05, -1.223652882533367e-03, 2.354965657402454e-03, -2.486309896893283e+02, 4.570455336242080e+00, 0.000000000000000e+00, 3.171403628264271e-09, -0.000000000000000e+00, -0.000000000000000e+00, 6.796562078601482e-04, -0.000000000000000e+00, -6.096708221236502e+05, -9.615818854367065e+07, 8.655553721062295e-08, 3.814663479271871e+00, 8.655553721062295e-08, 3.814663479271871e+00, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
689, -1.166503543332792e-04, 1.915424203007436e-04, 1.966018010174617e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.231889732161539e+04, 0.000000000000000e+00, 1.692755892864615e+04, 2.999419341672174e+02, 0.000000000000000e+00, 1.076607390646279e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845641486143006e-05, -1.274616012813187e-03, 2.958959475856007e-03, -3.651325023271115e+02, 5.013895390420159e+00, 0.000000000000000e+00, 2.801125573863660e-09, -0.000000000000000e+00, -0.000000000000000e+00, 5.453413094075737e-04, -0.000000000000000e+00, -7.402024202685780e+05, -6.905997228918457e+07, 8.654001832167580e-08, 3.814663479271871e+00, 8.654001832167580e-08, 3.814663479271871e+00, 8.995222240940629e+01, 2.061125599628665e+00, 1.036396986196254e+00
