"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.02553299989,      -2.380947795,      0.0653855773,       3.058396389,                         8,      -4.422949119,               3,      -5.671957407,   5.767296871e-08,   1.627204236e-05,                12,              14.4,       14.37501942,         -0.169697165,          -1.147670014,                     0,      0.1127189886,      0.2933432846,                 0,       291.5580536,       296.3432744,                 0,        31849.3736,        31332.58387,                  0,        0.3805559933,         0.3683257051,                    0,           293700.134,           302863.0133,                     0,          -13.82972346,           -94.58401551,                      0,        13.68502907,         94.57443732,                   0,                36.59768974,                 36.13936745,                           0,              -0.02081566647,             -0.0002025226573,                          nan,                       2.674286591,                       0.3821261694,                                nan,            292.325328,             301.445316,                      0,            32143.50653,             33261.68729,                       0,       19.51171489,       6.512682247,                 0,                 0,                 0,       10.93275769,       11.57444186,       17.00453891,                 0,      0.3337831802
           1,     0.02560984995,      -2.634371303,     -0.1883924176,       2.806657552,                         9,      -4.215833854,               3,      -4.048725308,   6.439806362e-08,   2.059856959e-05,                12,             17.28,       17.24487805,        -0.8126325259,          -1.550066367,                     0,      0.2643301502,      0.4844839847,                 0,       270.7102674,       284.9166288,                 0,       25079.26198,        24197.02088,                  0,        0.3227836378,         0.2958565881,                    0,          275815.4269,           299698.8412,                     0,          -76.75917688,           -159.2110536,                      0,        76.58581763,          159.107732,                   0,                42.32002906,                 39.14832103,                           0,             -0.004511863966,              -0.001297498384,                          nan,                       0.552583107,                       0.2460491425,                                nan,            274.524339,            298.2959553,                      0,            26336.85579,             28413.78379,                       0,       26.51909456,       7.958803003,                 0,                 0,                 0,       15.14316018,       16.27229416,       22.40128042,                 0,      0.3001159404
           2,     0.02583199999,      -2.787530678,      -0.407654523,       2.668453483,                        10,      -4.238329898,               4,      -4.504792955,   7.740172971e-08,   2.485882197e-05,                12,            20.736,       20.69252136,          -1.20731792,          -1.804613675,                     0,      0.4357155883,      0.6401097394,                 0,       249.1633943,       268.5677571,                 0,       20258.45951,        20550.03365,                  0,        0.2834307249,         0.2666997498,                    0,          259852.4934,           291940.1722,                     0,          -130.1029917,           -205.8817237,                      0,        129.6843914,         205.6833537,                   0,                 47.2101585,                 43.29731548,                           0,             -0.006424553919,              -0.001926100663,                          nan,                      0.3640388638,                       0.2105047137,                                nan,           258.6361277,            290.5736045,                      0,            23085.34766,             27078.93491,                       0,       25.05896499,       7.182327498,                 0,                 0,                 0,       14.42062339,       15.58133495,       20.89879316,                 0,       0.286617085
           3,     0.02553699998,      -2.812008442,     -0.5147330771,       2.643931105,                        10,       -3.88909529,               5,      -5.204511142,   9.283639176e-08,   2.965401635e-05,                12,           24.8832,       24.83001945,         -1.299665745,           -1.93581192,                     0,      0.5014636822,      0.7427722252,                 0,       243.7569602,       255.0871683,                 0,        18502.1315,        18486.89847,                  0,        0.2647103777,         0.2527325955,                    0,          257235.0972,           284561.3214,                     0,           -151.129261,           -233.8848559,                      0,        150.1450654,         233.5764732,                   0,                44.24885188,                 43.92961811,                           0,              -0.01298214456,              -0.002635308463,                          nan,                      0.2947073336,                       0.1880738137,                                nan,           256.0309834,             283.229294,                      0,            21985.56835,             26679.86571,                       0,       22.23890798,       6.335606006,                 0,                 0,                 0,        12.8515594,       13.85115779,       18.51632683,                 0,      0.2848883593
           4,     0.02539823998,      -2.856669222,      -0.540962155,       2.602167226,                        10,      -3.557199685,               5,      -4.354300138,   1.114859249e-07,   3.541287481e-05,              14.4,          29.85984,       29.79602334,         -1.281475279,          -1.982732462,                     0,      0.5142243715,      0.8079155434,                 0,       244.6061617,       246.5349909,                 0,       17794.14188,         17107.9505,                  0,        0.2537525856,         0.2419924518,                    0,          258817.4334,           280031.0642,                     0,          -157.3147323,            -251.077007,                      0,        155.3289572,         250.8320829,                   0,                36.06442196,                 41.49719324,                           0,              -0.02508654975,              -0.001950036682,                          nan,                      0.2321809314,                         0.16543814,                                nan,           257.6059128,            278.7202429,                      0,            21370.07599,             26296.45595,                       0,       20.47828402,       6.010882964,                 0,                 0,                 0,       11.84868895,       12.64740652,       17.19110057,                 0,      0.2935247386
           5,     0.02563088333,      -2.907520343,     -0.5417955323,       2.556399435,                        10,      -3.342306168,               6,      -4.608647398,   1.340008242e-07,   4.362245945e-05,             17.28,         35.831808,       35.75522801,         -1.235700359,          -1.985346259,                     0,      0.5091261519,      0.8565933163,                 0,       246.9317918,       241.8031086,                 0,        17393.4493,        15953.74853,                  0,        0.2457741784,         0.2299692231,                    0,          261057.5649,           278600.8855,                     0,          -157.1947731,           -264.2655257,                      0,        154.7728557,         264.1556184,                   0,                31.15109176,                 39.17843287,                           0,              -0.03057684349,             -0.0008316215372,                          nan,                      0.2012697357,                       0.1483157281,                                nan,           259.8355582,            277.2967588,                      0,            20844.78726,               25766.074,                       0,       19.09027087,       5.981954023,                 0,                 0,                 0,       11.00091058,       11.56080947,       16.32696849,                 0,      0.3133509243
           6,     0.02557204285,      -2.924368024,     -0.5211039357,       2.539623705,                        10,      -3.048065605,               7,      -4.954672485,   1.609272977e-07,   5.168323801e-05,            20.736,        42.9981696,       42.90627361,         -1.206488973,          -1.984418236,                     0,      0.5003372438,       0.897599125,                 0,       249.7965149,       238.9579206,                 0,       17242.33153,        15065.51699,                  0,        0.2408473407,         0.2196490065,                    0,          263602.3095,           278782.1256,                     0,          -155.0830751,           -275.4873852,                      0,        153.4620241,         275.5264294,                   0,                32.03798358,                 38.88554524,                           0,              -0.02079632131,              0.0002834752742,                          nan,                      0.2087681546,                       0.1411318156,                                nan,            262.368391,            277.4771506,                      0,            20521.57101,             25405.98517,                       0,       16.79367852,       5.869434736,                 0,                 0,                 0,       9.556481502,       9.802116543,       14.84575406,                 0,      0.3495026256
           7,      0.0254798125,      -2.933540692,     -0.5241913549,       2.530642583,                        10,       -2.75965656,               7,      -4.450018851,   1.933105133e-07,   6.371853324e-05,            2.0736,        4.29981696,       4.290627361,         -1.203461864,          -2.000152716,                     0,      0.4960962793,      0.9338104119,                 0,        252.652511,       236.5943194,                 0,       17392.77452,        14493.81842,                  0,        0.2401038291,         0.2133930068,                    0,          266356.3609,           279179.0575,                     0,          -153.5553274,           -285.1632122,                      0,        152.8243704,         285.2634392,                   0,                37.30369626,                 39.86093228,                           0,             -0.009497778557,               0.000703068321,                          nan,                      0.2440952065,                       0.1397337577,                                nan,           265.1095507,            277.8722245,                      0,            20608.47302,             25432.38002,                       0,       12.49155423,       5.142989743,                 0,                 0,                 0,       6.962814752,       6.820107998,       11.66084892,                 0,       0.411717361
           8,     0.02478412222,      -2.951812911,     -0.5610298517,       2.516452773,                         5,      -4.689750963,               3,       -5.14464794,    1.93900033e-08,   6.221121061e-06,           2.48832,       5.159780352,       5.148752833,         -1.206840912,            -2.0088331,                     0,      0.4953547561,      0.9373152065,                 0,        253.073025,       236.4915299,                 0,       17478.49256,        14498.79558,                  0,        0.2408833639,         0.2135718555,                    0,          266759.4144,           279368.2891,                     0,          -153.3695374,           -286.1616912,                      0,         152.707395,          286.237347,                   0,                37.66927652,                 39.99578154,                           0,             -0.008615962318,               0.000528832634,                          nan,                      0.2466761778,                       0.1397294307,                                nan,           265.5107175,            278.0605703,                      0,            20697.58106,             25544.40136,                       0,       12.22677054,        5.08686597,                 0,                 0,                 0,       6.806174342,       6.643489951,        11.4557481,                 0,      0.4160433004
           9,        0.02419378,      -3.012263121,     -0.5768078268,        2.44740659,                         5,      -4.195064574,               3,      -4.736751529,   2.327753774e-08,    7.47143337e-06,          2.985984,       6.191736422,         6.1785034,         -1.212036858,          -2.016345693,                     0,      0.4952056848,      0.9412165245,                 0,        253.500782,        236.294828,                 0,       17574.03522,        14484.71488,                  0,        0.2417841335,         0.2135555095,                    0,           267201.425,           279482.6792,                     0,          -153.3297582,           -287.2445566,                      0,         152.742245,         287.2905298,                   0,                38.23742771,                 39.95911394,                           0,             -0.007648712637,              0.0003201233704,                          nan,                      0.2503395686,                       0.1390895619,                                nan,           265.9506591,            278.1744249,                      0,            20806.48954,             25635.77016,                       0,       11.82932279,        5.00586257,                 0,                 0,                 0,       6.570373724,       6.376417922,       11.15046332,                 0,      0.4231740617
