"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.105832444620059e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.380283835731352e+04, 0.000000000000000e+00, 9.521135342925405e+03, 2.999368017253241e+02, 0.000000000000000e+00, -3.764571939945792e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845617198400770e-05, -1.123943904952201e-02, 1.423555343282892e-02, 4.838819482951157e+00, 5.442551858939515e-01, 0.000000000000000e+00, -3.337982787140373e-11, -0.000000000000000e+00, -0.000000000000000e+00, -1.990233382945239e-06, -0.000000000000000e+00, -7.860443734366891e+05, -2.594905305661011e+08, 3.764988765413388e-08, 1.258624299510716e+01, 3.764988765413388e-08, 1.258624299510716e+01, 8.941789338944470e+01, 5.650311987113123e+01, 1.151534657901465e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.327820235230809e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.993185081465216e+04, 0.000000000000000e+00, 7.972740325860863e+03, 2.977541318169355e+02, 0.000000000000000e+00, -3.958118001397096e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835269981357301e-05, 1.904890739620250e-02, 7.687247099333989e-02, -7.466349575759189e+02, 1.044876584653236e+00, 0.000000000000000e+00, -5.116836083532900e-10, -0.000000000000000e+00, -0.000000000000000e+00, 5.714695300768763e-06, -0.000000000000000e+00, -3.452139098661538e+06, -2.863036078647168e+10, 3.156421550307295e-08, 1.258624299510716e+01, 3.156421550307295e-08, 1.258624299510716e+01, 8.728953793237645e+01, 1.237442560283451e+02, 3.079177385308603e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 6.837070526013889e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.306589296209157e+04, 0.000000000000000e+00, 5.226357184836625e+03, 2.662927685642203e+02, 0.000000000000000e+00, -4.301410013011301e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.681857668101380e-05, 5.288880102212461e-03, -7.991291656020428e-03, 3.282964807383098e+02, 3.402785344224551e-01, 0.000000000000000e+00, -5.225546753641978e-07, -0.000000000000000e+00, -0.000000000000000e+00, 3.782968407024245e-03, -0.000000000000000e+00, -4.557626575272294e+05, -8.316973757404480e+08, 2.530124744061045e-08, 1.258624299510716e+01, 2.530124744061045e-08, 1.258624299510716e+01, 8.645281039290712e+01, 1.216485477951772e+02, 3.313807254795105e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 6.938785809279299e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.332702492959369e+04, 0.000000000000000e+00, 5.330809971837476e+03, 2.676332482436326e+02, 0.000000000000000e+00, -4.288353638307930e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.688564144260193e-05, -4.917865778453257e-03, -7.641799653795705e-03, 2.330930513872152e+02, 3.335223753651257e-01, 0.000000000000000e+00, -1.762641905484352e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.042282920522317e-03, -0.000000000000000e+00, -4.307364038094743e+05, -2.642691457794189e+07, 3.097942474695639e-08, 1.510349159412861e+01, 3.097942474695639e-08, 1.510349159412861e+01, 8.938332355588180e+01, 5.272001856427816e+01, 1.157219519086071e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.030574297953813e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.212301046644353e+04, 0.000000000000000e+00, 8.849204186577408e+03, 2.991267512873452e+02, 0.000000000000000e+00, -3.848561895638186e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841781339719256e-05, 4.787991316008713e-02, 9.935242581595842e-04, -2.796361332581797e+02, 8.522056129924911e-01, 0.000000000000000e+00, -8.217529441912851e-10, -0.000000000000000e+00, -0.000000000000000e+00, -1.662163219088159e-04, -0.000000000000000e+00, 2.080273789070350e+06, -1.318139395092383e+10, 3.480743840638158e-08, 1.258624299510716e+01, 3.480743840638158e-08, 1.258624299510716e+01, 8.684499238981505e+01, 1.076485551478107e+02, 3.078232892232621e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.381295089134785e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.269719115620802e+04, 0.000000000000000e+00, 5.078876462483207e+03, 2.772612433663970e+02, 0.000000000000000e+00, -4.319844787495148e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.736276265899318e-05, 4.350995868515091e-02, -4.560611302323816e-02, -3.554661145405749e+02, 8.135704745135796e-01, 0.000000000000000e+00, -1.573627884960593e-07, -0.000000000000000e+00, -0.000000000000000e+00, 4.575252733768936e-03, -0.000000000000000e+00, 2.904571108801704e+06, -1.294257532553857e+10, 2.275997031336157e-08, 1.258624299510716e+01, 2.275997031336157e-08, 1.258624299510716e+01, 8.769517131949641e+01, 1.061425506393920e+02, 3.324032290379049e+00
6, -9.522799999999999e-02, -8.901929565456450e-02, 9.862689744571476e-02, 1.274948482866332e+01, 9.712501475133045e+00, 2.160581300525631e+04, 2.711818101280705e-06, 8.121408383357075e+03, 2.868575753402386e+02, 4.786185199229199e-01, -3.939534812562919e+01, 1.292698559810296e+02, 9.847720780711879e+01, 1.783055086212358e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522054239158028e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 3.581382854865034e-04, -2.072394741884133e-03, 5.156043358529497e-06, 1.510349159412861e+01, 5.156043358529497e-06, 1.510349159412861e+01, 8.237207382076308e+01, 1.948454258588229e+00, 1.000000000000045e+00
7, 1.904560000000000e-01, -2.334685621116894e-01, 7.593131710054098e-02, 1.326256264870589e+01, -1.783552643471075e+01, 1.728759157189622e+04, 5.107111756510662e-05, 5.613856588486025e+03, 2.575554392492703e+02, 9.098274250833200e-01, -4.252973417333504e+01, 1.746652521665715e+02, -2.348902549799663e+02, 1.637752704282846e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.440659747174616e-10, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -9.869511593444111e+02, -9.948805386650178e+04, 4.910030281879574e-06, 1.510349159412861e+01, 4.910030281879574e-06, 1.510349159412861e+01, 6.254849527314892e+01, 2.372362607470541e+00, 1.000000000000061e+00
8, 1.904560000000000e-01, -2.005185621116894e-01, 7.593131710054098e-02, 1.326256264870589e+01, -1.783552643471075e+01, 1.728759157189622e+04, 5.107111756510662e-05, 5.613856588486025e+03, 2.575554392492703e+02, 9.098274250833200e-01, -4.252973417333504e+01, 1.746652521665715e+02, -2.348902549799663e+02, 1.637752704282846e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.440659747174616e-10, 2.489102469624416e-08, 6.709123782755455e-06, 4.104685435102340e-06, -2.064537396563537e-03, -9.122373178277774e-09, -9.869511593444111e+02, -9.948805386650178e+04, 4.910030281879574e-06, 1.048853582925592e+01, 4.910030281879574e-06, 1.048853582925592e+01, 7.841275658238833e+01, 2.266521901702439e+00, 1.073227983296332e+00
9, -9.522799999999999e-02, -5.606929565456450e-02, 9.862689744571476e-02, 1.274948482866332e+01, 9.712501475133045e+00, 2.160581300525631e+04, 2.711818101280705e-06, 8.121408383357075e+03, 2.868575753402386e+02, 4.786185199229199e-01, -3.939534812562919e+01, 1.292698559810296e+02, 9.847720780711879e+01, 1.783055086212358e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522054239158028e-15, -1.305147568145260e-09, 8.501165078556028e-07, 7.736008669212424e-07, -2.003399849854759e-04, 9.291238229638087e-15, 3.581382854858789e-04, -2.072394741884179e-03, 5.156043358529497e-06, 8.740446524379985e+00, 5.156043358529497e-06, 8.740446524379985e+00, 8.649496484586106e+01, 2.147546167151951e+00, 1.026407064208556e+00
10, -9.371581202438167e-02, -8.786583004210280e-02, 9.862688618655166e-02, 1.274948640434463e+01, 9.712495372728670e+00, 2.160581005613938e+04, 2.711817378862203e-06, 8.121407303146664e+03, 2.868575699333699e+02, 4.786185060718276e-01, -3.939534947586908e+01, 1.292698867145529e+02, 9.847715717555549e+01, 1.783055060068420e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522050576761038e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 1.281605413907289e-03, -1.652703699464876e-03, 7.521140680828602e-06, 1.510349159412861e+01, 7.521140680828602e-06, 1.510349159412861e+01, 8.615183952679297e+01, 3.896908517176452e+00, 1.066170833940116e+00
