"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101992953455370e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.372872224375255e+04, 1.000000000000000e-10, 2.172402923125821e+09, 2.236635007190628e-01, 7.475906986449586e+02, 9.491488897501016e+03, 3.000446392755763e+02, 0.000000000000000e+00, -3.768277682139926e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846127464756235e-05, -1.160486426059644e-02, 1.410352183800105e-02, -3.492427140053248e+01, 5.402078514826129e-01, 0.000000000000000e+00, 2.236635007190628e-01, 6.411287095821744e+00, 5.072762467431438e-21, -1.335377003042255e-09, -0.000000000000000e+00, -0.000000000000000e+00, -3.210538462025199e-04, -0.000000000000000e+00, -0.000000000000000e+00, -9.075297370127893e-09, -2.677441114846856e-05, -7.914433477990944e+05, -6.047395898956299e+07, 4.199790160650293e-08, 1.469771567969084e+01, 4.199790160650293e-08, 1.469771567969084e+01, 8.963050316127851e+01, 6.369520549778523e+00, 1.156616388410761e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.440915653996280e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.017231954072206e+04, 1.000000000000000e-10, 2.514924400008944e+09, 4.339481433694618e-02, 7.435733455507145e+02, 8.068927816288819e+03, 2.977364857681579e+02, 0.000000000000000e+00, -3.946094771066304e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835186178144095e-05, 1.583497048141574e-02, 8.843340398645419e-02, -9.168196796157928e+02, 1.114846135626962e+00, 0.000000000000000e+00, 4.339481433694618e-02, 9.928603940540808e-01, 3.754106362858112e-21, -9.928678642561635e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.890657454816362e-03, -0.000000000000000e+00, -0.000000000000000e+00, -8.399032406392604e-10, -6.972003072288171e-05, -3.916474450305886e+06, -2.083164143966797e+09, 3.693899972257707e-08, 1.469771567969084e+01, 3.693899972257707e-08, 1.469771567969084e+01, 8.933747852563469e+01, 1.649419815864714e+01, 3.874508966338428e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 7.526336542019692e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.308313438261170e+04, 1.000000000000000e-10, 2.682410338937131e+09, 2.014791442070027e-02, 6.875044878139247e+02, 5.233253753044677e+03, 2.422247436024916e+02, 0.000000000000000e+00, -4.300547956753377e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.558663757725244e-05, 4.613486001000016e-03, -6.918100976727498e-03, 2.648628430795644e+02, 3.569164250718578e-01, 0.000000000000000e+00, 2.014791442070027e-02, 2.631621912888331e+00, 2.806728145579134e-21, -4.283407275203337e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.236040674594998e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.208844634339119e-09, 2.086234372171633e-05, -4.266461736874079e+05, -2.384516352278442e+08, 3.469155469167691e-08, 1.469771567969084e+01, 3.469155469167691e-08, 1.469771567969084e+01, 8.833097034031485e+01, 1.628385806616306e+01, 4.157748977633838e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 8.436135585389801e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.313227588744593e+04, 1.000000000000000e-10, 2.187080203485256e+09, 2.970434850022285e-01, 6.430396778553182e+02, 5.252910354978366e+03, 2.169136006668623e+02, 0.000000000000000e+00, -4.298090923603661e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.422995697278051e-05, 5.927991991219997e-04, 9.193045881968089e-04, 2.797877274690698e+02, 1.500735801648196e-01, 0.000000000000000e+00, 2.970434850022285e-01, 7.513670301907783e+02, 3.858823994215002e-21, -1.798079410559218e-08, -0.000000000000000e+00, -0.000000000000000e+00, 6.677320193483501e-04, -0.000000000000000e+00, -0.000000000000000e+00, -1.934245938577266e-08, 9.752715938939044e-06, 6.151482148569910e+04, -7.478757905912399e+06, 4.157557659491701e-08, 1.469771567969084e+01, 4.157557659491701e-08, 1.469771567969084e+01, 8.960254357226300e+01, 5.939201194702708e+00, 1.159695909542274e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.032356535592766e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.216836110559758e+04, 1.000000000000000e-10, 2.311118799528997e+09, 5.500343038149424e-02, 7.476048210511907e+02, 8.867344442239024e+03, 2.992224759622202e+02, 0.000000000000000e+00, -3.846294402525427e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842234890994736e-05, 5.951948300770069e-02, -3.164404069262597e-03, -4.163698576677166e+02, 9.460067946143246e-01, 0.000000000000000e+00, 5.500343038149424e-02, 1.704647220710684e+00, 4.466881336187322e-21, 1.858236799229311e-09, -0.000000000000000e+00, -0.000000000000000e+00, 4.954560027687488e-05, -0.000000000000000e+00, -0.000000000000000e+00, 1.131291156482479e-09, -5.101932858456127e-05, 2.588448730123854e+06, -1.190997579758789e+09, 4.018195179932001e-08, 1.469771567969084e+01, 4.018195179932001e-08, 1.469771567969084e+01, 8.922132962457569e+01, 1.437306362308792e+01, 3.876115369559444e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 7.466681218328912e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.289665648461954e+04, 1.000000000000000e-10, 2.692847184395369e+09, 2.035675337198762e-02, 6.414161607484000e+02, 5.158662593847810e+03, 2.406799201590469e+02, 0.000000000000000e+00, -4.309871691925949e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.550569583773979e-05, 4.102397678601843e-02, -4.535981926203229e-02, -6.768729879415223e+01, 9.681540431383906e-01, 0.000000000000000e+00, 2.035675337198762e-02, 3.919820495915264e+00, 2.774377700788388e-21, -7.119506265851595e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.014723822159988e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.835534545411550e-09, -2.151384068250349e-05, 3.155560028303019e+06, -1.290486996720703e+09, 3.452448710896741e-08, 1.469771567969084e+01, 3.452448710896741e-08, 1.469771567969084e+01, 8.934555074697748e+01, 1.415671861579813e+01, 4.159751298849018e+00
1212, -1.606612483468165e-05, 2.114391007741860e-05, 1.099881058335215e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.368123562113254e+04, 1.000000000000000e-10, 2.179730155977385e+09, 1.909273844032552e-01, 7.468385256860950e+02, 9.472494248453011e+03, 3.000191474931862e+02, 0.000000000000000e+00, -3.770651972596414e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846006850647190e-05, -1.396001981964259e-02, 1.868069442812265e-02, -5.980577839386045e+01, 6.093681393468913e-01, 0.000000000000000e+00, 1.909273844032552e-01, 5.277767726462444e+00, 5.046029871255007e-21, -1.607803141790983e-09, -0.000000000000000e+00, -0.000000000000000e+00, -3.793647250612260e-04, -0.000000000000000e+00, -0.000000000000000e+00, -7.499999208967042e-09, -2.856127309310201e-05, -1.010657222014554e+06, -5.230437836303711e+06, 4.197919614025893e-08, 1.469771567969084e+01, 4.197919614025893e-08, 1.469771567969084e+01, 8.987785056085710e+01, 6.797900740253993e+00, 1.007372780463678e+00
1213, -3.179157569767835e-05, 4.254211087589020e-05, 1.098042438792168e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.363918277658868e+04, 1.000000000000000e-10, 2.183040269338356e+09, 1.684924046412010e-01, 7.469900688845876e+02, 9.455673110635467e+03, 2.999878528254613e+02, 0.000000000000000e+00, -3.772754578803381e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845858773424679e-05, -1.648248126620812e-02, 2.297499882255531e-02, -8.948825073454509e+01, 6.705075338075646e-01, 0.000000000000000e+00, 1.684924046412010e-01, 4.618235343950614e+00, 5.029961372023009e-21, -1.665562449843673e-09, -0.000000000000000e+00, -0.000000000000000e+00, -3.850624389096010e-04, -0.000000000000000e+00, -0.000000000000000e+00, -5.876860369375268e-09, -2.828173409977229e-05, -1.225502982946087e+06, -2.390836674218750e+07, 4.191395110843719e-08, 1.469771567969084e+01, 4.191395110843719e-08, 1.469771567969084e+01, 8.997158903023951e+01, 6.786440144371352e+00, 1.004067671914673e+00
1214, -4.702267971653548e-05, 6.429437998992481e-05, 1.095591234026172e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.358344247883050e+04, 1.000000000000000e-10, 2.187337144668355e+09, 1.514127961594474e-01, 7.468080524221774e+02, 9.433376991532192e+03, 2.999500835922652e+02, 0.000000000000000e+00, -3.775541545947119e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845680050437798e-05, -1.885948961674495e-02, 2.787823660897563e-02, -1.296843015090872e+02, 7.308463816384081e-01, 0.000000000000000e+00, 1.514127961594474e-01, 4.076364342995873e+00, 5.008880401844281e-21, -1.826514722525591e-09, -0.000000000000000e+00, -0.000000000000000e+00, -4.158880167538784e-04, -0.000000000000000e+00, -0.000000000000000e+00, -4.758463430176952e-09, -2.824831265322985e-05, -1.458922690986758e+06, -2.654898187512207e+07, 4.183094381672951e-08, 1.469771567969084e+01, 4.183094381672951e-08, 1.469771567969084e+01, 8.997635724552590e+01, 6.793112249563270e+00, 1.005012693527637e+00
1215, -6.154572257312129e-05, 8.652491017472813e-05, 1.092414897628882e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.351160272377230e+04, 1.000000000000000e-10, 2.192998877688483e+09, 1.377895254277781e-01, 7.464505847745554e+02, 9.404641089508916e+03, 2.999058638811594e+02, 0.000000000000000e+00, -3.779133472165921e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845470790045877e-05, -2.074500162993049e-02, 3.302573542781415e-02, -1.765630958677839e+02, 7.856845678013489e-01, 0.000000000000000e+00, 1.377895254277781e-01, 3.646534375125053e+00, 4.981471559090007e-21, -1.983816515098439e-09, -0.000000000000000e+00, -0.000000000000000e+00, -4.455683734588549e-04, -0.000000000000000e+00, -0.000000000000000e+00, -3.924075648231724e-09, -2.818060037398265e-05, -1.690684647809193e+06, -1.793545494604492e+07, 4.171877689865869e-08, 1.469771567969084e+01, 4.171877689865869e-08, 1.469771567969084e+01, 8.998455958786670e+01, 6.796058252515177e+00, 1.005020357907320e+00
