"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.05619530007,      -2.510520665,    -0.04627560389,        2.92477293,      -1.541232015,       3.822273377,                         8,      -4.057651194,               2,      -4.088271564,                2,      -4.082130965,   5.496205034e-08,   1.664745596e-05,                12,              14.4,       14.36603809,        -0.1711035633,          -1.149494895,                     0,      0.1129753064,      0.2937413681,                 0,       291.5124477,       296.2085908,                 0,       31848.78867,        31326.23275,                  0,        0.3806082122,         0.3684189673,                    0,          293660.1101,           302741.5058,                     0,          -13.94863603,               -94.7138,                      0,        13.79939576,         94.70250304,                   0,                36.64808023,                 36.11930946,                           0,               -0.0212840719,             -0.0002385352922,                          nan,                       2.655774273,                        0.381397622,                                nan,           292.2834155,            301.3223013,                      0,            32144.36922,             33260.36051,                       0,       19.50703846,       6.494353161,                 0,                 0,                 0,       10.92899224,        11.5818291,       16.98712474,                 0,      0.3329235842
           1,     0.05933105003,      -2.753944352,     -0.3034821348,       2.685357014,      -1.762757023,       4.737699471,                        10,      -4.303074472,               2,      -4.401812779,                3,       -4.97527551,   6.117052593e-08,   2.041766767e-05,                12,             17.28,       17.23639201,        -0.8166954775,          -1.553003842,                     0,      0.2656228842,      0.4852991471,                 0,       270.6655097,       284.6724107,                 0,       25074.47898,         24187.6978,                  0,        0.3227749411,         0.2959972344,                    0,          275809.3699,           299488.5296,                     0,          -77.18515535,           -159.4284864,                      0,        76.98896895,         159.3298037,                   0,                42.40605537,                 39.13382655,                           0,             -0.005077066041,              -0.001237572209,                          nan,                      0.5508069006,                        0.245615231,                                nan,           274.5160726,            298.0850943,                      0,            26344.34597,             28417.68909,                       0,       26.60601779,       7.970348312,                 0,                 0,                 0,       15.18475843,       16.33444296,       22.46313887,                 0,      0.2995693822
           2,     0.05952366667,      -2.903978616,     -0.5292549382,       2.550792263,      -1.980786611,       4.466136197,                        10,      -3.889049721,               2,       -4.02877529,                3,       -4.57353541,   7.344784242e-08,   2.527973093e-05,                12,            20.736,       20.68265973,         -1.207599856,          -1.809525556,                     0,      0.4353328007,      0.6428624266,                 0,       249.3699944,        268.226694,                 0,       20307.76517,        20501.92454,                  0,        0.2838916021,         0.2664071367,                    0,          260055.3292,           291761.5417,                     0,          -130.0188977,           -206.6614551,                      0,        129.5507689,         206.4731043,                   0,                47.23642539,                 43.35072643,                           0,             -0.007187972164,              -0.001821964556,                          nan,                       0.364617098,                       0.2099582247,                                nan,           258.8357004,            290.3944997,                      0,            23137.31376,             27076.63438,                       0,       25.18576307,       7.196749248,                 0,                 0,                 0,       14.48067695,       15.67346006,       20.98710345,                 0,      0.2857467224
           3,     0.06005947501,      -2.927114449,     -0.6355657191,       2.527676928,      -2.183658524,       4.083854546,                        10,      -3.579977642,               3,      -4.745350975,                3,      -4.448749103,   8.808863535e-08,   3.045071796e-05,                12,           24.8832,       24.81850441,         -1.302928651,           -1.94116066,                     0,      0.5028558852,       0.746677055,                 0,       243.7827608,       254.7337554,                 0,       18503.05015,        18428.75039,                  0,        0.2647036645,         0.2522810758,                    0,          257333.4132,           284466.3103,                     0,          -151.6093977,           -234.9854731,                      0,        150.5702663,          234.674762,                   0,                44.17521077,                 43.96010421,                           0,              -0.01366103085,              -0.002642765044,                          nan,                      0.2933860175,                       0.1873235274,                                nan,           256.1266166,            283.1337344,                      0,            22008.34582,             26693.40782,                       0,       22.37470064,       6.320769773,                 0,                 0,                 0,       12.91449817,       13.96816784,       18.58681378,                 0,      0.2824962834
           4,     0.06016856001,      -2.972242036,     -0.6619470299,       2.484997899,      -2.369902005,       3.588814202,                        10,      -3.301054074,               4,      -5.155740194,                3,      -4.317518263,   1.061608363e-07,   3.710674722e-05,              14.4,          29.85984,       29.78220529,         -1.285991845,          -1.986968922,                     0,      0.5177641897,      0.8116917056,                 0,        244.429375,       246.2784296,                 0,       17726.56772,        17063.97439,                  0,        0.2529786066,         0.2416294548,                    0,          258808.3293,           280043.5403,                     0,          -158.4280793,           -252.1417526,                      0,        156.4163325,         251.8582789,                   0,                36.01111009,                 41.52515145,                           0,              -0.02523509785,              -0.002247262344,                          nan,                      0.2302260225,                       0.1648750704,                                nan,            257.594921,             278.731927,                      0,            21340.25998,             26330.93944,                       0,       20.78578981,       5.957167581,                 0,                 0,                 0,       12.01685621,       12.92457012,       17.33471635,                 0,      0.2865980862
           5,     0.05991284999,      -3.024234752,     -0.6686481234,       2.437984433,      -2.542807061,       3.608190654,                        10,      -3.121501738,               4,      -4.762405291,                3,      -4.135156663,   1.283474269e-07,   4.448226832e-05,             17.28,         35.831808,       35.73864635,         -1.238559319,           -1.98688395,                     0,      0.5129481738,      0.8613529541,                 0,       246.7995447,       241.5699792,                 0,       17299.05765,        15883.26232,                  0,         0.244586432,          0.229193199,                    0,          261106.9633,           278729.3081,                     0,          -158.3823435,           -265.6454061,                      0,        155.9479853,         265.4964302,                   0,                31.22088071,                 39.15278829,                           0,              -0.03050403223,              -0.001121300544,                          nan,                      0.2002006032,                        0.147470112,                                nan,           259.8831529,            277.4240029,                      0,            20785.00877,             25783.65516,                       0,       19.98861529,       5.912461196,                 0,                 0,                 0,       11.54525276,       12.31753048,       16.81607509,                 0,      0.2957914348
           6,     0.05964747143,      -3.043038359,     -0.6513671866,       2.419493772,      -2.708401856,       3.447844425,                        10,      -2.969515048,               4,      -4.284027229,                4,      -5.404412052,   1.553460761e-07,   5.280271761e-05,             17.28,         35.831808,       35.73864635,         -1.208359241,          -1.982687507,                     0,      0.5035309237,      0.9032163876,                 0,       249.8021619,       238.7062959,                 0,       17161.54551,        14960.27739,                  0,        0.2397262764,         0.2183590916,                    0,          263766.1091,            278972.321,                     0,          -156.0282237,           -277.1322058,                      0,        154.4239549,         277.1533978,                   0,                32.55403378,                 38.74826549,                           0,              -0.02045811108,               0.000152943155,                          nan,                      0.2108094809,                       0.1398080118,                                nan,           262.5301795,            277.6659785,                      0,            20468.38056,             25383.93517,                       0,       19.09851934,        5.96115355,                 0,                 0,                 0,       10.97911736,       11.57997575,       16.31542074,                 0,      0.3121264767
           7,          0.059868,      -3.057264717,     -0.6438530135,       2.405695409,      -2.869665332,       3.168052202,                        10,      -2.944130206,               5,      -4.796196868,                4,      -5.239012033,   1.566477373e-07,    5.26220106e-05,             17.28,         35.831808,       35.73864635,         -1.206359151,          -1.997278895,                     0,      0.4985802967,       0.936372466,                 0,       252.3375853,       236.4443612,                 0,       17336.39684,        14428.63828,                  0,        0.2396293332,         0.2125686231,                    0,          266148.9405,           279226.8531,                     0,          -154.2034313,           -285.9592163,                      0,        153.4749235,         286.0781014,                   0,                37.59147525,                 39.40158809,                           0,             -0.009426339791,              0.0008316552722,                          nan,                      0.2449356181,                       0.1377301789,                                nan,           264.9021304,            277.9194037,                      0,            20575.45085,             25386.90511,                       0,       17.82458749,       5.982100878,                 0,                 0,                 0,       10.16476444,       10.55390291,       15.56009587,                 0,      0.3356094991
           8,     0.05961827779,      -3.093900782,     -0.6671912951,       2.370887205,       -3.01456156,       2.910268816,                        10,      -2.842385718,               5,      -4.490326061,                4,      -5.131184703,   1.574001475e-07,   5.212443246e-05,             1.728,         3.5831808,       3.573864635,         -1.214332296,          -2.020874171,                     0,        0.49853014,      0.9624622183,                 0,       253.6943077,       234.3210787,                 0,       17575.80272,        14124.92016,                  0,         0.241544893,         0.2099896415,                    0,          267571.1945,           279048.5939,                     0,           -153.383723,           -292.6307147,                      0,        152.9966926,         292.7372311,                   0,                 42.5384435,                 39.70410769,                           0,             -0.005040196579,              0.0007281241467,                          nan,                      0.2780350527,                       0.1356305364,                                nan,           266.3179245,            277.7420453,                      0,            20847.37403,             25599.35651,                       0,       15.97230072,       5.903542476,                 0,                 0,                 0,       9.016454784,       9.128063388,       14.37514044,                 0,      0.3696112777
           9,        0.05767852,      -3.130136021,     -0.7085140351,       2.337511856,      -3.134712864,       2.857673848,                         4,      -4.066097492,               2,      -4.352699142,                4,      -5.137911602,    1.57981881e-08,   5.162012949e-06,            2.0736,        4.29981696,       4.288637562,         -1.216395538,          -2.023703401,                     0,      0.4980283677,      0.9637576892,                 0,       253.8887076,       234.2905573,                 0,       17639.05312,        14123.44126,                  0,        0.2422315046,         0.2100037093,                    0,          267751.9395,           279127.6407,                     0,          -153.2379135,           -293.0033427,                      0,        152.8369107,         293.0928123,                   0,                42.69117397,                 39.73163263,                           0,             -0.005226880803,              0.0006108004304,                          nan,                      0.2793250255,                        0.135559901,                                nan,           266.4979611,            277.8207699,                      0,            20916.49381,             25636.43658,                       0,       15.85967703,       5.892936845,                 0,                 0,                 0,       8.948809977,       9.044901118,       14.29845529,                 0,      0.3715672668
