"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.103258540688836e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.370045204862306e+04, 1.000000000000000e-10, 2.127594785438154e+09, 2.426476473783252e-01, 7.334147678234806e+02, 9.480180819449217e+03, 2.993433868355934e+02, 0.000000000000000e+00, -3.769691167681657e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842807675676779e-05, -6.106580471935689e-03, 7.734420927689192e-03, 4.317537416233297e+01, 4.013145456925906e-01, 0.000000000000000e+00, 2.426476473783252e-01, 1.202361651960873e+01, 5.185472765134124e-21, 3.251326039976393e-08, -0.000000000000000e+00, -0.000000000000000e+00, 1.062238696609113e-02, -0.000000000000000e+00, -0.000000000000000e+00, -1.442080982348766e-08, -1.428433068396607e-04, -4.276476879344243e+05, -1.602807312809143e+08, 3.586668387958903e-10, 1.000000000000000e-01, 3.586668387958903e-10, 1.000000000000000e-01, 8.941789338944470e+01, 5.650311987113123e+01, 1.151534657901465e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.485457118457977e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.022180119303751e+04, 1.000000000000000e-10, 2.479031802058467e+09, 4.230697083097881e-02, 7.025305672090374e+02, 8.088720477214998e+03, 2.970652882812581e+02, 0.000000000000000e+00, -3.943620730833880e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.831996788134464e-05, 1.773034052065272e-02, 7.155135247534622e-02, -6.275752803763739e+02, 1.018363445281713e+00, 0.000000000000000e+00, 4.230697083097881e-02, 1.138204737873240e+00, 3.826276266914177e-21, -6.441472388389054e-08, -0.000000000000000e+00, -0.000000000000000e+00, -1.210067136578304e-02, -0.000000000000000e+00, -0.000000000000000e+00, -1.873642031111310e-09, -3.114285424519236e-04, -3.218974014938005e+06, -2.472645855517188e+10, 3.065485047354950e-10, 1.000000000000000e-01, 3.065485047354950e-10, 1.000000000000000e-01, 8.728953793237645e+01, 1.237442560283451e+02, 3.079177385308603e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.265115787953249e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.260764165473752e+04, 1.000000000000000e-10, 2.170191656660005e+09, 1.933458534818829e-02, 4.891378100414052e+02, 5.043056661895002e+03, 2.125569212523882e+02, 0.000000000000000e+00, -4.324322185865339e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.398961438147339e-05, 5.310936807168902e-03, -8.024618477364701e-03, 3.806016477060032e+02, 4.507245325805945e-01, 0.000000000000000e+00, 1.933458534818829e-02, 8.747108352889823e+01, 3.808496043446704e-21, -1.063855242942084e-06, -0.000000000000000e+00, -0.000000000000000e+00, -8.778114526238992e-02, -0.000000000000000e+00, -0.000000000000000e+00, -2.958298530628886e-09, 1.688205420383853e-04, -5.498329676434924e+05, -1.433127686141937e+09, 3.504519221653593e-10, 1.000000000000000e-01, 3.504519221653593e-10, 1.000000000000000e-01, 8.645281039290712e+01, 1.216485477951772e+02, 3.313807254795105e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 8.728501498030687e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.291353462316092e+04, 1.000000000000000e-10, 1.992739290627865e+09, 1.989263303121123e-02, 5.480578808068755e+02, 5.165413849264362e+03, 2.061559041259943e+02, 0.000000000000000e+00, -4.309027799455795e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.363266337462625e-05, -3.939559055542987e-03, -6.121623155852927e-03, 3.956066028607869e+02, 4.146917577657865e-01, 0.000000000000000e+00, 1.989263303121123e-02, 3.063239843297984e+02, 4.380180773461460e-21, -3.961118372298169e-07, -0.000000000000000e+00, -0.000000000000000e+00, 3.424743929840379e-03, -0.000000000000000e+00, -0.000000000000000e+00, 1.549764969982712e-10, 7.677036808836674e-05, -4.273281645826859e+05, -4.949153341827393e+06, 3.833090201824963e-10, 1.000000000000000e-01, 3.833090201824963e-10, 1.000000000000000e-01, 8.938332355588180e+01, 5.272001856427816e+01, 1.157219519086071e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.017567316352265e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.179237981218411e+04, 1.000000000000000e-10, 2.314672143570111e+09, 4.938888009843420e-02, 7.146898687508707e+02, 8.716951924873640e+03, 2.984226941540029e+02, 0.000000000000000e+00, -3.865093145150548e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.838443289353289e-05, 4.995908801343011e-02, 1.036667833772282e-03, -2.444090685283613e+02, 8.665721272892607e-01, 0.000000000000000e+00, 4.938888009843420e-02, 1.870230469717257e+00, 4.396163446315323e-21, -2.947174356355097e-08, -0.000000000000000e+00, -0.000000000000000e+00, 1.670565313637327e-02, -0.000000000000000e+00, -0.000000000000000e+00, -1.759699618570129e-09, -2.854774579505902e-04, 2.174616675194884e+06, -1.426063825825000e+10, 3.282659307226351e-10, 1.000000000000000e-01, 3.282659307226351e-10, 1.000000000000000e-01, 8.684499238981505e+01, 1.076485551478107e+02, 3.078232892232621e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 7.601325450472821e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.233756144541366e+04, 1.000000000000000e-10, 2.505620928366255e+09, 1.966770710809753e-02, 6.100298101564031e+02, 4.935024578165459e+03, 2.261675731933184e+02, 0.000000000000000e+00, -4.337825964995209e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.473366187897191e-05, 3.920376055365994e-02, -4.109245765283540e-02, 5.690957041034031e+02, 9.932603217214123e-01, 0.000000000000000e+00, 1.966770710809753e-02, 8.625564913193797e+00, 3.033752818101519e-21, -2.469153603331910e-06, -0.000000000000000e+00, -0.000000000000000e+00, -2.053084623467819e-01, -0.000000000000000e+00, -0.000000000000000e+00, 1.215301605832619e-10, -7.293422550967519e-05, 3.082713724164816e+06, -1.904472498647656e+10, 3.043537405262369e-10, 1.000000000000000e-01, 3.043537405262369e-10, 1.000000000000000e-01, 8.769517131949641e+01, 1.061425506393920e+02, 3.324032290379049e+00
6, -9.522799999999999e-02, -8.901929565456450e-02, 9.904231955648810e-02, 1.256187726048089e+01, 9.568716816514341e+00, 2.168224466436893e+04, 1.125202449945445e+01, 6.374488480762272e+05, 9.993675336373449e-01, 2.623009804090997e+02, 8.168907547357870e+03, 2.873250714031041e+02, 4.691999361825052e-01, -3.933597518775955e+01, 1.268334315748362e+02, 9.661240628615215e+01, 1.785314695397891e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.580662342990481e-03, 9.993675336373449e-01, 1.000000000000000e+00, 1.748260913681586e-06, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -2.600212821695626e+01, -1.215271375071654e+03, 5.228794263720974e-08, 1.000000000000000e-01, 5.228794263720974e-08, 1.000000000000000e-01, 8.237207382076308e+01, 1.948454258588229e+00, 1.000000000000045e+00
7, 1.904560000000000e-01, -2.334685621116894e-01, 7.569779048616063e-02, 1.315534957673305e+01, -1.557845013441158e+01, 1.679224090034553e+04, 6.462308675868712e+01, 1.371961868827586e+04, 9.448350441029509e-01, 2.275746001288590e+02, 5.616489270331338e+03, 2.584711503070005e+02, 8.357545274669296e-01, -4.252644337740378e+01, 1.737877617331270e+02, -2.057979504337011e+02, 1.642407375744242e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.188257834216842e-01, 9.448350441029509e-01, 1.000000000000000e+00, 3.565555706208377e-04, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -1.466557713402087e+02, -6.001081870573226e+04, 3.974984640522099e-08, 1.000000000000000e-01, 3.974984640522099e-08, 1.000000000000000e-01, 6.254849527314892e+01, 2.372362607470541e+00, 1.000000000000061e+00
8, 1.904560000000000e-01, -2.005185621116894e-01, 7.569779048616063e-02, 1.315534957673305e+01, -1.557845013441158e+01, 1.679224090034553e+04, 6.462308675868712e+01, 1.371961868827586e+04, 9.448350441029509e-01, 2.275746001288590e+02, 5.616489270331338e+03, 2.584711503070005e+02, 8.357545274669296e-01, -4.252644337740378e+01, 1.737877617331270e+02, -2.057979504337011e+02, 1.642407375744242e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.188257834216842e-01, 9.448350441029509e-01, 1.000000000000000e+00, 3.565555706208377e-04, 5.930851627086037e-06, 1.078773811084233e-03, -6.414801464126096e-03, 1.292436890837052e+00, 1.539003101249992e-03, 2.725209895049829e-01, -3.699138404110458e-06, 7.674068389462718e-04, -1.466557713402087e+02, -6.001081870573228e+04, 3.974984640522099e-08, 1.000000000000000e-01, 3.974984640522099e-08, 1.000000000000000e-01, 7.841275373180039e+01, 2.266522038978047e+00, 1.073228045658001e+00
9, -9.522799999999999e-02, -5.606929565456450e-02, 9.904231955648810e-02, 1.256187726048089e+01, 9.568716816514341e+00, 2.168224466436893e+04, 1.125202449945445e+01, 6.374488480762272e+05, 9.993675336373449e-01, 2.623009804090997e+02, 8.168907547357870e+03, 2.873250714031041e+02, 4.691999361825052e-01, -3.933597518775955e+01, 1.268334315748362e+02, 9.661240628615215e+01, 1.785314695397891e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.580662342990481e-03, 9.993675336373449e-01, 1.000000000000000e+00, 1.748260913681586e-06, -2.613937295569552e-06, 1.190610976034456e-03, 9.406287975721739e-04, -4.850122774682859e-01, 2.193011517945820e-04, 1.120566860442523e+01, -7.214849742295804e-08, -1.559409303864001e-05, -2.600212821695695e+01, -1.215271375071678e+03, 5.228794263720974e-08, 1.000000000000000e-01, 5.228794263720974e-08, 1.000000000000000e-01, 8.649496484586106e+01, 2.147546167151951e+00, 1.026407064208556e+00
10, -9.371581202438167e-02, -8.786583004210280e-02, 9.902549148954738e-02, 1.256429193401066e+01, 9.562435200639593e+00, 2.167761127159586e+04, 7.633635174554717e+00, 4.436143683389827e+05, 9.982802416220854e-01, 2.720256948891064e+02, 8.167232196332333e+03, 2.873149613293087e+02, 4.692319323820872e-01, -3.933806934066606e+01, 1.268793695948167e+02, 9.656538994960660e+01, 1.785265847756798e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 7.013262915106733e-03, 9.982802416220854e-01, 1.000000000000000e+00, 1.704012640733943e-06, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -2.886556865599339e+01, -6.949715843539147e+02, 1.016942620930829e-07, 1.000000000000000e-01, 1.016942620930829e-07, 1.000000000000000e-01, 8.615183952679297e+01, 3.896908517176452e+00, 1.066170833940116e+00
