"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.102920494628917e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.374863958041252e+04, 0.000000000000000e+00, 9.499455832165004e+03, 3.000439444818507e+02, 0.000000000000000e+00, -3.767281832367057e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846124177412910e-05, -1.193984917436654e-02, 1.455459672242709e-02, -3.605482893002168e+01, 5.488807693808554e-01, 0.000000000000000e+00, 1.135089906956434e-11, -0.000000000000000e+00, -0.000000000000000e+00, 3.052404992208088e-06, -0.000000000000000e+00, -8.157706700900048e+05, -4.043878751409912e+07, 3.552995886705732e-08, 1.217924772188485e+01, 3.552995886705732e-08, 1.217924772188485e+01, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.420926315585287e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.015286520849798e+04, 0.000000000000000e+00, 8.061146083399189e+03, 2.980804750865651e+02, 0.000000000000000e+00, -3.947067471013963e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.836819390327211e-05, 1.961289332066391e-02, 1.009150474823464e-01, -1.145596358344045e+03, 1.190618068559044e+00, 0.000000000000000e+00, 3.893909140193067e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.068072914819918e-05, -0.000000000000000e+00, -4.477340708500751e+06, -8.124788256205078e+09, 3.062182605506921e-08, 1.217924772188485e+01, 3.062182605506921e-08, 1.217924772188485e+01, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 6.224019260534230e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.318116062792433e+04, 0.000000000000000e+00, 5.272464251169730e+03, 2.951026171832053e+02, 0.000000000000000e+00, -4.295646728451806e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.822650476598733e-05, 9.575587559924024e-03, -1.398148554109504e-02, -5.644991568066383e+00, 3.965227598629701e-01, 0.000000000000000e+00, 9.342676619621114e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.864190550087350e-03, -0.000000000000000e+00, -7.439720332442411e+05, -6.780011038584595e+08, 2.040666452046187e-08, 1.217924772188485e+01, 2.040666452046187e-08, 1.217924772188485e+01, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 6.198706479612567e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.322524838449138e+04, 0.000000000000000e+00, 5.290099353796550e+03, 2.972987626988079e+02, 0.000000000000000e+00, -4.293442378386678e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.833106606101154e-05, 1.964935584040236e-02, 3.049970931627301e-02, -1.572710499436213e+02, 5.753244275554719e-01, 0.000000000000000e+00, 2.472305820984843e-10, -0.000000000000000e+00, -0.000000000000000e+00, 4.992280753540763e-04, -0.000000000000000e+00, 1.583366561142428e+06, -1.216612856647949e+08, 2.411577047365766e-08, 1.461509726626186e+01, 2.411577047365766e-08, 1.461509726626186e+01, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.028982312847483e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.209147378982443e+04, 0.000000000000000e+00, 8.836589515929771e+03, 2.991624745237067e+02, 0.000000000000000e+00, -3.850138702456503e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841950607565516e-05, 6.909299489965279e-02, -2.482737150361168e-03, -5.106585611685537e+02, 1.017783101384738e+00, 0.000000000000000e+00, -6.683288210639379e-12, -0.000000000000000e+00, -0.000000000000000e+00, -1.425266344754622e-06, -0.000000000000000e+00, 3.002825225242462e+06, -4.528259513767578e+09, 3.333899889097034e-08, 1.217924772188485e+01, 3.333899889097034e-08, 1.217924772188485e+01, 8.877060556795989e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.242542011224071e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.312535679525721e+04, 0.000000000000000e+00, 5.250142718102884e+03, 2.929813533796886e+02, 0.000000000000000e+00, -4.298436872286571e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.812515026836680e-05, 4.870330910929661e-02, -5.368268794091514e-02, -4.927582455809393e+02, 8.245097936701834e-01, 0.000000000000000e+00, -3.935899807522097e-09, -0.000000000000000e+00, -0.000000000000000e+00, 2.261745079084256e-03, -0.000000000000000e+00, 3.199542524535333e+06, -1.379131469352539e+09, 2.054049726999331e-08, 1.217924772188485e+01, 2.054049726999331e-08, 1.217924772188485e+01, 8.921750321062150e+01, 2.948732162745739e+01, 4.076312405663344e+00
6, -4.761400000000000e-02, -5.274714782728225e-02, 9.867533796956385e-02, 1.272837063244893e+01, 9.696414679255218e+00, 2.161482850214357e+04, 2.710894971760346e-06, 8.126993474000692e+03, 2.869139296745821e+02, 4.775443763197843e-01, -3.938836688192195e+01, 1.289924199334890e+02, 9.826583702450608e+01, 1.783327564583305e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522416843844222e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 5.143993775459355e-02, -3.302177642866049e+00, 5.106225514210610e-06, 1.461509726626186e+01, 5.106225514210610e-06, 1.461509726626186e+01, 8.233388253278331e+01, 1.948301337321479e+00, 1.000000000000008e+00
7, 1.428420000000000e-01, -1.684122810616721e-01, 7.595204861530905e-02, 1.322042768099501e+01, -1.782307064242506e+01, 1.727858547608423e+04, 4.964272973054713e-05, 5.614717211310536e+03, 2.575246114504270e+02, 9.081961139096494e-01, -4.252865841323350e+01, 1.740628188708300e+02, -2.346621449632974e+02, 1.637595869695469e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.285858002160289e-10, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, 4.202104651296529e+02, -5.011068752272597e+04, 4.754473035795122e-06, 1.461509726626186e+01, 4.754473035795122e-06, 1.461509726626186e+01, 6.255393024407099e+01, 2.370825572850947e+00, 1.000000000000121e+00
8, 1.428420000000000e-01, -1.354622810616721e-01, 7.595204861530905e-02, 1.322042768099501e+01, -1.782307064242506e+01, 1.727858547608423e+04, 4.964272973054713e-05, 5.614717211310536e+03, 2.575246114504270e+02, 9.081961139096494e-01, -4.252865841323350e+01, 1.740628188708300e+02, -2.346621449632974e+02, 1.637595869695469e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.285858002160289e-10, 4.272575632006947e-08, 1.841466746554943e-05, -8.221421291754183e-06, 1.901065686206493e-02, -2.437287100810916e-10, 4.202104651296484e+02, -5.011068752274303e+04, 4.754473035795122e-06, 1.217924772188485e+01, 4.754473035795122e-06, 1.217924772188485e+01, 8.520582377971583e+01, 2.172311800168361e+00, 1.085906497671451e+00
9, -4.761400000000000e-02, -1.979714782728225e-02, 9.867533796956385e-02, 1.272837063244893e+01, 9.696414679255218e+00, 2.161482850214357e+04, 2.710894971760346e-06, 8.126993474000692e+03, 2.869139296745821e+02, 4.775443763197843e-01, -3.938836688192195e+01, 1.289924199334890e+02, 9.826583702450608e+01, 1.783327564583305e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.522416843844222e-15, -9.929632342059458e-10, 5.948049954795920e-07, 5.119570500866644e-07, -1.693023687039386e-04, 1.508089032444665e-14, 5.143993775459554e-02, -3.302177642866047e+00, 5.106225514210610e-06, 8.457810917975657e+00, 5.106225514210610e-06, 8.457810917975657e+00, 8.749389685454312e+01, 2.077897339688846e+00, 1.056265733202383e+00
