"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.0303436,      -2.488394132,    -0.02240126899,        2.94647753,                         8,      -4.000990987,               3,       -5.56848275,   5.402502367e-08,   1.651630847e-05,                12,              14.4,       14.35437578,        -0.1702495868,          -1.150041689,                     0,       0.112775867,      0.2939358735,                 0,       291.5978477,       296.0993506,                 0,       31849.20831,        31317.40266,                  0,        0.3805016405,         0.3684510696,                    0,          293741.3184,           302633.9212,                     0,          -13.88612571,           -94.73924066,                      0,        13.73605601,         94.73361946,                   0,                36.59551513,                  36.1931098,                           0,              -0.02149754103,             -0.0001186631411,                          nan,                        2.66419379,                       0.3820513774,                                nan,           292.3663196,            301.2172962,                      0,            32143.75893,             33253.32155,                       0,       19.50363852,       6.489545172,                 0,                 0,                 0,       10.92749965,       11.58203812,       16.98123979,                 0,      0.3327351031
           1,        0.03314695,      -2.731309718,     -0.2805656333,       2.707981305,                        10,      -4.365001151,               4,      -5.363256578,   6.000853071e-08,   2.006412595e-05,                12,             17.28,       17.22189963,        -0.8136045538,          -1.554857407,                     0,      0.2646172647,      0.4863551403,                 0,       270.7887616,       284.4510374,                 0,       25078.14715,        24160.14532,                  0,        0.3226752987,         0.2958855649,                    0,          275904.1614,           299314.6732,                     0,          -76.91285606,           -159.7122028,                      0,        76.72067335,         159.6026073,                   0,                42.24598181,                 39.18244917,                           0,             -0.004991170699,              -0.001371941716,                          nan,                      0.5506466505,                       0.2455000569,                                nan,           274.6126581,            297.9135856,                      0,            26338.64094,              28404.8713,                       0,        26.6158891,       7.973531826,                 0,                 0,                 0,       15.18987141,       16.34036615,       22.47165317,                 0,      0.2995778874
           2,     0.03404666667,      -2.881955656,     -0.5080183785,       2.572736159,                        10,      -3.926614279,               4,      -4.598318937,   7.203609384e-08,   2.491426203e-05,                12,            20.736,       20.66539029,          -1.20507421,          -1.810834376,                     0,       0.434778015,      0.6438976352,                 0,       249.3012601,       267.8932922,                 0,       20278.66788,        20475.56988,                  0,        0.2835577698,         0.2663962278,                    0,          259961.1374,           291471.4232,                     0,          -129.9240411,           -206.8651709,                      0,        129.4578342,         206.6268914,                   0,                46.88784296,                 43.35251941,                           0,             -0.007163731613,              -0.002302391207,                          nan,                      0.3621862149,                       0.2098106356,                                nan,           258.7442631,            290.1070497,                      0,            23097.13461,             27067.89797,                       0,       25.18606468,       7.202888299,                 0,                 0,                 0,       14.48007531,       15.66997978,       20.99216967,                 0,      0.2859870484
           3,       0.034808625,      -2.907481223,     -0.6137842369,       2.547325996,                        10,      -3.669771778,               5,      -5.063840605,   8.640635259e-08,   3.090606584e-05,                12,           24.8832,       24.79782066,         -1.298902304,          -1.941243817,                     0,      0.5002729939,      0.7488146027,                 0,       243.7896844,       254.2112848,                 0,       18532.11267,        18359.02926,                  0,        0.2651019636,         0.2518567427,                    0,          257213.8247,           284044.0368,                     0,          -150.8435488,           -235.4316452,                      0,        149.8853029,         235.0238589,                   0,                 43.9271503,                 43.83762057,                           0,              -0.01266480812,               -0.00346115812,                          nan,                      0.2930717653,                       0.1865241289,                                nan,           256.0098106,            282.7144309,                      0,            22002.86258,              26653.9592,                       0,       22.33638823,       6.330094982,                 0,                 0,                 0,       12.89167436,       13.93204037,       18.57101486,                 0,      0.2833983237
           4,        0.03506976,      -2.951674662,     -0.6402184338,       2.505871229,                        10,      -3.393976473,               5,      -4.284585344,    1.04147543e-07,    3.60625504e-05,              14.4,          29.85984,       29.75738479,         -1.283556818,           -1.98605631,                     0,      0.5137061608,      0.8155164944,                 0,       244.5781465,       245.6662934,                 0,       17829.41079,        16947.44625,                  0,        0.2542826748,          0.240602296,                    0,          258757.2136,           279648.8642,                     0,          -157.1745232,           -253.0395051,                      0,        155.3037236,         252.6109734,                   0,                36.01429189,                 41.28529739,                           0,               -0.0236637066,              -0.003384204833,                          nan,                      0.2318958687,                       0.1634342991,                                nan,           257.5459749,             278.339832,                      0,            21400.93889,             26266.24403,                       0,       20.70398779,       5.994267402,                 0,                 0,                 0,       11.97486985,       12.83701672,        17.3146572,                 0,      0.2895223597
           5,     0.03515341667,      -3.007939609,     -0.6477267061,       2.454218503,                        10,      -3.131169184,               6,      -4.572931047,   1.259496809e-07,    4.44088473e-05,             17.28,         35.831808,       35.70886174,         -1.237611575,           -1.98704657,                     0,      0.5089266501,       0.865791055,                 0,       246.9153008,       240.9499866,                 0,       17419.62739,        15765.58989,                  0,        0.2461725175,         0.2281121795,                    0,          261023.4775,           278378.3324,                     0,          -157.1252703,           -266.6707948,                      0,        154.8204857,         266.3279242,                   0,                31.26393965,                 38.98799379,                           0,              -0.02912174228,              -0.002569836424,                          nan,                      0.2019367108,                       0.1463909348,                                nan,           259.8016304,            277.0752475,                      0,            20870.08926,             25732.17997,                       0,       19.83180366,       6.055145267,                 0,                 0,                 0,       11.50085697,       12.10632609,       16.83455045,                 0,      0.3053249907
           6,     0.03501952857,      -3.038523824,     -0.6367333163,       2.423380121,                        10,      -2.803509593,               7,      -4.962500665,    1.52456921e-07,   5.194651295e-05,             1.728,         3.5831808,       3.570886174,         -1.206418883,          -1.986298982,                     0,      0.5004765307,      0.9090740793,                 0,        249.775565,       237.9959804,                 0,       17237.40509,        14850.32427,                  0,        0.2408204243,         0.2174373573,                    0,          263587.0999,            278643.584,                     0,          -155.1112646,           -278.4840868,                      0,        153.5442808,         278.3048801,                   0,                32.15753636,                 38.84666127,                           0,              -0.02010258593,              -0.001286601732,                          nan,                      0.2094349343,                       0.1395831121,                                nan,           262.3532526,            277.3392574,                      0,            20517.28047,             25378.75246,                       0,       18.79111803,          6.399643,                 0,                 0,                 0,       10.98088659,       11.06972665,       16.47794585,                 0,      0.3405674419
           7,      0.0336003875,      -3.072411637,     -0.6436337627,       2.388374794,                         5,      -4.853900215,               3,      -5.339083367,   1.538455009e-08,   4.900916133e-06,            2.0736,        4.29981696,       4.285063409,         -1.207322982,          -1.998916029,                     0,      0.4982523222,      0.9139459343,                 0,       250.4712901,       237.7292233,                 0,       17320.79913,        14849.18781,                  0,        0.2413153771,         0.2176637326,                    0,          264198.4679,           278755.0349,                     0,          -154.5457297,           -279.8235574,                      0,        153.1671721,         279.6755416,                   0,                32.54330125,                 38.95219432,                           0,              -0.01776055733,              -0.001057642671,                          nan,                      0.2124691656,                       0.1392763704,                                nan,           262.9617588,            277.4501867,                      0,            20579.86836,             25510.12844,                       0,       18.69993856,       6.411716586,                 0,                 0,                 0,       10.93530515,       10.98987934,       16.43229636,                 0,      0.3428736713
           8,     0.03253117778,      -3.128552753,     -0.6607737134,       2.321470581,                         5,      -4.356548802,               3,       -4.94316515,   1.847949988e-08,   5.904445067e-06,           2.48832,       5.159780352,       5.142076091,         -1.209944226,          -2.010530714,                     0,      0.4965134644,      0.9193948941,                 0,       251.1956363,       237.4448651,                 0,       17407.79802,        14829.51468,                  0,        0.2418241484,         0.2176354142,                    0,          264861.8731,           278898.5773,                     0,          -154.1045557,            -281.326935,                      0,        152.9650638,         281.2003546,                   0,                33.12835274,                 39.02378018,                           0,              -0.01473388085,             -0.0008996786971,                          nan,                      0.2165746343,                       0.1387757147,                                nan,           263.6220586,            277.5930572,                      0,            20650.77375,             25628.68214,                       0,       18.59198558,       6.439845765,                 0,                 0,                 0,       10.88240027,       10.88695965,       16.38925413,                 0,      0.3463775151
           9,        0.03181919,      -3.186397396,      -0.690248453,        2.24860232,                         6,      -4.674004858,               3,      -4.559890105,    2.21960243e-08,   7.129527294e-06,          2.985984,       6.191736422,       6.170491309,         -1.215526908,          -2.021025657,                     0,      0.4955790622,      0.9255241875,                 0,       251.9770629,       237.0446915,                 0,       17512.30842,        14787.74656,                  0,        0.2425059115,         0.2173899276,                    0,          265625.5214,           278967.6114,                     0,          -153.8836923,            -282.976492,                      0,        153.0112259,         282.8514845,                   0,                34.01081461,                 38.98689501,                           0,              -0.01130715135,             -0.0008833231908,                          nan,                       0.222276597,                       0.1378352144,                                nan,           264.3821322,            277.6617681,                      0,            20751.55548,             25732.07504,                       0,       18.44268525,       6.483894736,                 0,                 0,                 0,       10.80911681,       10.74150204,       16.33381965,                 0,      0.3515699936
