"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101446279743991e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.371593594300413e+04, 0.000000000000000e+00, 9.486374377201648e+03, 3.000317981961705e+02, 0.000000000000000e+00, -3.768916986225283e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846066707943102e-05, -1.231793184444873e-02, 1.501547698233846e-02, -3.954888319725853e+01, 5.571479918819889e-01, 0.000000000000000e+00, 8.534842633855135e-11, -0.000000000000000e+00, -0.000000000000000e+00, 2.185158361880154e-05, -0.000000000000000e+00, -8.416159502577381e+05, -7.095015798992920e+07, 1.786905482540718e-08, 6.134151870243281e+00, 1.786905482540718e-08, 6.134151870243281e+00, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.387250708655737e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.005934630201891e+04, 0.000000000000000e+00, 8.023738520807563e+03, 2.977616043543848e+02, 0.000000000000000e+00, -3.951743336234602e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835305468611690e-05, 1.651144379606261e-02, 8.495702839143107e-02, -8.717870606028217e+02, 1.091376662690367e+00, 0.000000000000000e+00, -2.800286905089172e-10, -0.000000000000000e+00, -0.000000000000000e+00, -1.553577087963845e-05, -0.000000000000000e+00, -3.772646343671462e+06, -4.952209029706055e+09, 1.537710722060687e-08, 6.134151870243281e+00, 1.537710722060687e-08, 6.134151870243281e+00, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.100443584158433e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.299492922009739e+04, 0.000000000000000e+00, 5.197971688038953e+03, 2.235401063882479e+02, 0.000000000000000e+00, -4.304958139327248e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.459157131505329e-05, -1.925591136134807e-03, 2.811589832942136e-03, 3.538338724669595e+02, 2.533889732497394e-01, 0.000000000000000e+00, -1.731209106247585e-07, -0.000000000000000e+00, -0.000000000000000e+00, 2.003510057630486e-03, -0.000000000000000e+00, 1.872138497860790e+05, -4.367217209625244e+06, 1.670586040553242e-08, 6.134151870243281e+00, 1.670586040553242e-08, 6.134151870243281e+00, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 7.544319073683192e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.303908722830247e+04, 0.000000000000000e+00, 5.215634891320988e+03, 2.408338228513008e+02, 0.000000000000000e+00, -4.302750276740392e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.551377012085656e-05, 3.693334951769999e-05, 5.732790598916118e-05, 3.697957312398276e+02, 3.251455852766361e-02, 0.000000000000000e+00, -5.491106850087618e-08, -0.000000000000000e+00, -0.000000000000000e+00, 9.706799307961198e-04, -0.000000000000000e+00, 3.540659805201482e+03, -1.141322684399501e+07, 1.746612375347427e-08, 7.360982244291968e+00, 1.746612375347427e-08, 7.360982244291968e+00, 8.969900797032709e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.033242734697795e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.217787610267622e+04, 0.000000000000000e+00, 8.871150441070487e+03, 2.990941573390038e+02, 0.000000000000000e+00, -3.845818660821534e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841626890840163e-05, 5.547664877977190e-02, -1.993457326652523e-03, -3.522747354230656e+02, 9.140435614738913e-01, 0.000000000000000e+00, -9.471478185001584e-10, -0.000000000000000e+00, -0.000000000000000e+00, -1.677339280575611e-04, -0.000000000000000e+00, 2.411578543636935e+06, -2.671846698392578e+09, 1.686163626102281e-08, 6.134151870243281e+00, 1.686163626102281e-08, 6.134151870243281e+00, 8.877060556795990e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.933755663009759e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.281688131124176e+04, 0.000000000000000e+00, 5.126752524496703e+03, 2.575752711382051e+02, 0.000000000000000e+00, -4.313860382263672e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.637853593245752e-05, 4.235391594075872e-02, -4.668413900626511e-02, -2.009127831906524e+02, 8.967542357168028e-01, 0.000000000000000e+00, -1.271016718150724e-07, -0.000000000000000e+00, -0.000000000000000e+00, 1.305987025521897e-03, -0.000000000000000e+00, 3.078977217690639e+06, -1.718094936187500e+09, 1.271549339482085e-08, 6.134151870243281e+00, 1.271549339482085e-08, 6.134151870243281e+00, 8.921750321062147e+01, 2.948732162745739e+01, 4.076312405663344e+00
688, -3.361280624494327e-05, 4.508048606400442e-05, 1.096939221476771e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.361433235112759e+04, 0.000000000000000e+00, 9.445732940451033e+03, 2.999738815681370e+02, 0.000000000000000e+00, -3.773997078790884e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845792663090353e-05, -1.742394195928199e-02, 2.467729387203842e-02, -1.051285363419562e+02, 6.929089061647604e-01, 0.000000000000000e+00, 9.960506693264677e-11, -0.000000000000000e+00, -0.000000000000000e+00, 2.583098751965992e-05, -0.000000000000000e+00, -1.309320134721805e+06, -1.589122954931641e+07, 1.777980871509536e-08, 6.134151870243281e+00, 1.777980871509536e-08, 6.134151870243281e+00, 8.993483292219740e+01, 1.438480273245958e+01, 1.005458287626170e+00
689, -6.484109783259044e-05, 9.183357187137720e-05, 1.090751242130624e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.347449724866837e+04, 0.000000000000000e+00, 9.389798899467347e+03, 2.998892652757511e+02, 0.000000000000000e+00, -3.780988714138543e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845392236794791e-05, -2.151274484249464e-02, 3.485686387549971e-02, -2.001268946271700e+02, 8.050001916050951e-01, 0.000000000000000e+00, 1.008566162367805e-10, -0.000000000000000e+00, -0.000000000000000e+00, 2.685436519967300e-05, -0.000000000000000e+00, -1.775737319239342e+06, -2.840879714843750e+07, 1.769532930890385e-08, 6.134151870243281e+00, 1.769532930890385e-08, 6.134151870243281e+00, 8.997062340216455e+01, 1.437834790314639e+01, 1.005144632141936e+00
690, -9.263179551623211e-05, 1.407083053014280e-04, 1.082447303605885e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.328728489833268e+04, 0.000000000000000e+00, 9.314913959333071e+03, 2.997798445718340e+02, 0.000000000000000e+00, -3.790349171299199e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844874348043833e-05, -2.363890839236051e-02, 4.549396175755228e-02, -3.189969057554236e+02, 8.974916991771678e-01, 0.000000000000000e+00, 1.014761197344349e-10, -0.000000000000000e+00, -0.000000000000000e+00, 2.798186818591536e-05, -0.000000000000000e+00, -2.223230568029298e+06, -2.427654959472656e+07, 1.756971494418459e-08, 6.134151870243281e+00, 1.756971494418459e-08, 6.134151870243281e+00, 8.998186575267368e+01, 1.438263371318549e+01, 1.005169278929909e+00
691, -1.166503543332792e-04, 1.915424203007436e-04, 1.072559552283149e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.306464060381370e+04, 0.000000000000000e+00, 9.225856241525478e+03, 2.996509185436067e+02, 0.000000000000000e+00, -3.801481195319904e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844264022441043e-05, -2.386718549049992e-02, 5.540651769567748e-02, -4.434061695376487e+02, 9.693173685198498e-01, 0.000000000000000e+00, 9.552416849787378e-11, -0.000000000000000e+00, -0.000000000000000e+00, 2.769471157932669e-05, -0.000000000000000e+00, -2.616957501912062e+06, -1.691091993896484e+07, 1.741301512615074e-08, 6.134151870243281e+00, 1.741301512615074e-08, 6.134151870243281e+00, 8.998069794621277e+01, 1.438102921709113e+01, 1.005070342250149e+00
