"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.04639929999,      -3.143235527,      -1.627193606,       2.380296628,                         9,      -4.171616526,               4,      -4.755748949,   2.025487524e-07,   1.247869898e-05,                12,              14.4,       14.27893552,         0.8999050475,         -0.9144714956,                     0,      0.6633687071,      0.6999159564,                 0,       282.2598872,       300.0088593,                 0,       11994.16037,        12363.94248,                  0,         0.148033703,         0.1435665426,                    0,           308547.561,           330951.8489,                     0,           184.4972136,           -193.3132011,                      0,        184.4990595,         193.3132011,                   0,                126.0223372,                 147.2891781,                           0,             2.001073029e-05,              2.452016368e-11,                          nan,                      0.6830513797,                       0.7619199165,                                nan,           307.1032544,            329.4026681,                      0,            16113.50333,             17148.75481,                       0,       1.377185068,      0.5110825692,                 0,                 0,                 0,      0.7602613061,      0.7858040914,       1.241110807,                 0,      0.3711066733
           1,        0.05437435,      -3.338965078,      -1.034432423,          2.172524,                        10,      -3.819533104,               5,      -4.717149461,   2.587135399e-07,   1.497444729e-05,                12,             17.28,       16.99431325,          0.943121495,         -0.9144206274,                     0,      0.6748455599,      0.6998497138,                 0,       271.7971248,       300.0168129,                 0,       12044.36213,        12365.13937,                  0,        0.1543808609,         0.1435766341,                    0,          297947.1771,           330955.0329,                     0,           185.4228976,           -193.2888614,                      0,        185.4211177,         193.2888614,                   0,                123.9421072,                 147.2884848,                           0,            -1.919833826e-05,             -5.207922982e-11,                          nan,                      0.6684357681,                       0.7620122739,                                nan,           296.5524907,            329.4058372,                      0,            16341.37123,             17149.40107,                       0,       2.641412319,      0.9889334474,                 0,                 0,                 0,       1.484993907,       1.501891254,       2.387335558,                 0,      0.3743957125
           2,     0.05146483332,      -3.444091652,      -1.181384772,       2.080901794,                        10,      -3.349689898,               6,      -4.401760226,   2.561134329e-07,   1.800721913e-05,                12,            20.736,        20.2811382,         0.9802201468,         -0.9143845186,                     0,      0.7021333422,      0.6998033053,                 0,        267.199948,       300.0226562,                 0,       12151.03657,        12365.95023,                  0,        0.1584264717,         0.1435832527,                    0,          294926.0548,           330957.5628,                     0,           187.7951921,           -193.2723193,                      0,        187.7912693,         193.2723193,                   0,                132.9097541,                 147.2875098,                           0,            -4.177666744e-05,             -3.139849492e-10,                          nan,                      0.7077525735,                       0.7620724497,                                nan,           293.5455103,            329.4083553,                      0,            16887.89881,             17149.81542,                       0,       3.856029014,       1.346650344,                 0,                 0,                 0,        2.20404754,       2.251314334,        3.40793349,                 0,      0.3492324201
           3,     0.05056162499,      -3.562394361,      -1.327474952,        1.96952085,                        10,      -2.832160324,               7,      -4.404177434,   2.547514775e-07,   2.170210789e-05,               1.2,            2.0736,        2.02811382,         0.9937784534,          -0.914364662,                     0,      0.7259576989,      0.6997768762,                 0,       266.2539375,       300.0258582,                 0,       12191.35808,        12366.39862,                  0,        0.1595124018,         0.1435869268,                    0,          295703.6069,           330958.8648,                     0,           189.0854725,            -193.263177,                      0,        189.0855461,         193.2631769,                   0,                143.6525919,                  147.286505,                           0,             7.785220892e-07,             -6.772089556e-10,                          nan,                      0.7597227544,                       0.7621033006,                                nan,           294.3194226,            329.4096513,                      0,            17314.35909,             17150.03283,                       0,       5.018308811,       1.595384562,                 0,                 0,                 0,       2.922156947,       3.025147039,        4.31012304,                 0,      0.3179127914
           4,     0.04637119998,      -3.688180776,      -1.370697198,       1.834256279,                         4,        -4.8453359,               2,      -4.201962473,   2.540324806e-08,    2.16948105e-06,              1.44,           2.48832,       2.433736584,         0.9924463088,         -0.9143650725,                     0,      0.7288560036,      0.6997779407,                 0,       266.8239017,       300.0258357,                 0,       12194.98114,        12366.38264,                  0,         0.159217527,         0.1435867519,                    0,          296562.3382,           330958.9299,                     0,           189.1785358,           -193.2634991,                      0,        189.1792786,          193.263499,                   0,                145.5183742,                 147.2866772,                           0,             7.852784609e-06,             -7.436804506e-10,                          nan,                       0.769208844,                       0.7621029213,                                nan,           295.1741342,             329.409716,                      0,            17365.35597,             17150.02695,                       0,       5.317800681,       1.636467838,                 0,                 0,                 0,       3.108364233,       3.238488891,       4.524292295,                 0,      0.3077339555
           5,     0.04345710001,      -3.716895785,      -1.344717969,       1.801818705,                         4,      -4.366483021,               3,      -5.759958244,   3.052093712e-08,   2.605997044e-06,             1.728,          2.985984,         2.9204839,          0.990405092,         -0.9143661738,                     0,      0.7312544892,      0.6997795179,                 0,         267.44755,       300.0257908,                 0,       12195.57299,        12366.36363,                  0,        0.1588530419,         0.1435865527,                    0,          297443.3421,           330959.0134,                     0,           189.2213191,               -193.264,                      0,         189.222158,         193.2639999,                   0,                147.2075657,                 147.2868935,                           0,             8.866533318e-06,             -8.281328956e-10,                          nan,                      0.7779615628,                       0.7621020652,                                nan,           296.0510142,            329.4097992,                      0,            17404.34074,             17150.02473,                       0,       5.585893112,       1.667857365,                 0,                 0,                 0,       3.276910601,       3.432727621,       4.711722734,                 0,       0.298583831
           6,     0.04162061427,      -3.753453021,      -1.321040239,       1.761618528,                         5,      -4.874436701,               3,      -5.377792088,   3.671702653e-08,   3.130763128e-06,            2.0736,         3.5831808,        3.50458068,         0.9876848318,          -0.914368173,                     0,      0.7329465726,      0.6997817946,                 0,       268.1258725,        300.025696,                 0,       12193.32116,        12366.33944,                  0,         0.158421457,         0.1435863172,                    0,          298330.9361,           330959.1009,                     0,           189.2158214,           -193.2647395,                      0,        189.2163669,         193.2647394,                   0,                148.6107427,                 147.2871641,                           0,             5.766208329e-06,             -9.388037014e-10,                          nan,                      0.7854010997,                       0.7621005496,                                nan,           296.9344533,            329.4098862,                      0,            17428.13649,             17150.02602,                       0,       5.784093574,       1.684555365,                 0,                 0,                 0,       3.404090923,       3.580272038,       4.845112732,                 0,      0.2912393003
           7,       0.040163625,      -3.782181565,      -1.312653323,       1.730203371,                         5,      -4.374987805,               3,      -5.012089198,   4.423991604e-08,   3.761719148e-06,           2.48832,        4.29981696,       4.205496816,          0.984403193,         -0.9143711654,                     0,      0.7337307817,      0.6997849423,                 0,       268.8552997,        300.025515,                 0,       12188.89971,        12366.30656,                  0,        0.1579342694,          0.143586022,                    0,          299204.5236,           330959.1669,                     0,           189.1697942,           -193.2657694,                      0,        189.1698682,         193.2657693,                   0,                149.6124742,                 147.2874951,                           0,             7.829053279e-07,             -1.081914891e-09,                          nan,                      0.7908895617,                        0.762098201,                                nan,           297.8039516,            329.4099519,                      0,            17434.34661,             17150.02859,                       0,       5.877086047,       1.683097213,                 0,                 0,                 0,       3.467742326,       3.655128707,       4.900305171,                 0,      0.2863829455
           8,     0.03948394445,      -3.786113772,      -1.323925974,       1.725804073,                         6,      -4.649207781,               3,      -4.663239572,     5.3392159e-08,   4.520533156e-06,          2.985984,       5.159780352,        5.04659618,         0.9807587024,         -0.9143750559,                     0,      0.7334364575,      0.6997890687,                 0,       269.6233797,       300.0252081,                 0,       12183.39225,        12366.26027,                  0,        0.1574133374,         0.1435856315,                    0,           300035.943,           330959.1765,                     0,           189.0941224,           -193.2671174,                      0,        189.0937266,         193.2671173,                   0,                 150.103754,                  147.287885,                           0,            -4.185952006e-06,             -1.255544668e-09,                          nan,                      0.7938061017,                       0.7620949031,                                nan,           298.6314792,            329.4099614,                      0,            17421.70596,             17150.02754,                       0,         5.8494194,         1.6637312,                 0,                 0,                 0,       3.457489326,       3.644856203,       4.868134354,                 0,      0.2844267245
           9,     0.03910133999,      -3.772284001,      -1.350638695,       1.741281623,                         6,      -4.177633569,               3,      -4.337372456,   6.408398387e-08,   5.433473272e-06,         3.5831808,       6.191736422,       6.055915416,         0.9770036993,         -0.9143795356,                     0,      0.7319635178,      0.6997941668,                 0,       270.4045855,       300.0247424,                 0,       12178.03755,        12366.19578,                  0,        0.1568897993,         0.1435851055,                    0,          300788.1646,            330959.093,                     0,           188.9992277,           -193.2687722,                      0,        188.9984816,          193.268772,                   0,                150.0022503,                 147.2883231,                           0,            -7.895590825e-06,             -1.444410258e-09,                          nan,                      0.7936690761,                        0.762090645,                                nan,           299.3801796,            329.4098783,                      0,            17390.39684,             17150.01613,                       0,       5.720464418,       1.631943985,                 0,                 0,                 0,       3.384131151,       3.561538618,       4.764703244,                 0,      0.2852817299
