"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,"LinSolIterTrans", "LinSolResTrans" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,     0.06956989993,      -3.143331532,      -1.618735104,       2.380369354,      0.2353539035,       5.090590613,                         9,       -4.15363955,               3,      -4.909988287,                4,       -4.82986448,   2.025487524e-07,   1.251879727e-05,                12,              14.4,       14.27904391,         0.8992012095,         -0.9144714976,                     0,      0.6631082304,      0.6999159582,                 0,       282.2418766,       300.0088588,                 0,       11989.96487,        12363.94244,                  0,        0.1479913624,         0.1435665424,                    0,          308563.6724,           331007.2327,                     0,            184.405654,           -193.3132018,                      0,        184.4075016,         193.3132018,                   0,                125.9882239,                 147.2891778,                           0,             2.003853174e-05,              2.459210613e-11,                          nan,                      0.6832055248,                       0.7619199125,                                nan,           307.0641654,            329.4026677,                      0,            16104.28858,             17148.75478,                       0,       1.377241412,      0.5111090306,                 0,                 0,                 0,      0.7602942415,       0.785832876,          1.241166,                 0,      0.3711107045
           1,     0.06702095002,      -3.339011614,      -1.034217634,       2.172567271,      -0.228378316,       4.639340741,                        10,      -3.807382076,               3,      -4.088313235,                4,      -4.587991451,    2.58694359e-07,   1.502196993e-05,                12,             17.28,       16.99448265,         0.9424474096,         -0.9144811669,                     0,      0.6744587866,      0.6998623395,                 0,       271.8107409,       300.0441373,                 0,       12042.40907,        12365.84356,                  0,        0.1543481149,         0.1435717348,                    0,          297965.1382,           331019.6197,                     0,           185.3297752,           -193.3082544,                      0,        185.3279746,         193.3082544,                   0,                123.8614779,                 147.2885261,                           0,            -1.943117335e-05,             -5.143663273e-12,                          nan,                       0.668336651,                       0.7619360411,                                nan,            296.538978,            329.4368987,                      0,            16333.25148,             17150.57095,                       0,        2.64196493,      0.9891447217,                 0,                 0,                 0,       1.485322363,       1.502202812,       2.387838497,                 0,      0.3743973701
           2,     0.06457803329,      -3.444194679,      -1.181451539,       2.080899205,     -0.6599878804,       4.212101779,                        10,      -3.363954995,               4,      -4.506417634,                4,      -4.555882649,   2.560978607e-07,   1.802599471e-05,                12,            20.736,       20.28138299,         0.9796983875,         -0.9145146686,                     0,      0.7017028644,      0.6998616171,                 0,       267.2277493,       300.0625809,                 0,       12151.15873,        12366.45839,                  0,        0.1584115986,         0.1435700479,                    0,          294949.0484,           331026.6072,                     0,           187.7129767,           -193.3176075,                      0,         187.709025,         193.3176075,                   0,                132.8023992,                  147.288161,                           0,            -4.210330493e-05,             -7.593292661e-11,                          nan,                      0.7074907517,                       0.7618972887,                                nan,           293.5437614,            329.4570884,                      0,            16881.56873,             17151.41262,                       0,       3.856804033,       1.346885609,                 0,                 0,                 0,       2.204520307,       2.251788273,        3.40859029,                 0,      0.3492232424
           3,     0.06390154996,       -3.56255625,      -1.327587568,         1.9694519,      -1.032868211,       3.848264998,                        10,      -2.851254598,               5,      -4.796714075,                4,      -4.572299722,   2.547398187e-07,   2.170382994e-05,               1.2,            2.0736,       2.028138299,         0.9932925736,         -0.9145531966,                     0,      0.7254895232,      0.6998874068,                 0,       266.2827524,       300.0700412,                 0,        12192.3004,        12366.33632,                  0,        0.1595074779,         0.1435650614,                    0,          295725.7018,           331029.3634,                     0,            188.998875,           -193.3324668,                      0,        188.9989438,         193.3324668,                   0,                143.5346377,                 147.2884205,                           0,             7.274913263e-07,             -6.430245225e-11,                          nan,                      0.7594467717,                       0.7618400725,                                nan,           294.3150885,            329.4674459,                      0,            17308.24916,             17151.63805,                       0,       5.019240796,       1.595592449,                 0,                 0,                 0,         2.9227483,       3.025762432,        4.31085318,                 0,      0.3178951786
           4,     0.06055811998,      -3.688365139,      -1.370637144,       1.834128952,      -1.352681247,       3.567179517,                         4,      -4.795043551,               2,      -4.191434204,                4,      -4.528098643,   2.540269822e-08,   2.169526955e-06,              1.44,           2.48832,       2.433765959,         0.9919536166,         -0.9145650315,                     0,      0.7283845755,      0.6998912141,                 0,       266.8507675,       300.0752966,                 0,       12195.89867,        12366.43994,                  0,         0.159213482,         0.1435637499,                    0,          296583.8385,           331030.9775,                     0,           189.0894211,           -193.3367348,                      0,        189.0901595,         193.3367348,                   0,                145.4007321,                  147.288512,                           0,             7.810110151e-06,             -1.212904222e-10,                          nan,                       0.768949228,                        0.761823728,                                nan,           295.1671904,            329.4735361,                      0,            17359.11546,             17151.84004,                       0,       5.318518136,       1.636623799,                 0,                 0,                 0,       3.108818918,       3.238965097,       4.524851128,                 0,      0.3077217672
           5,     0.05751386665,      -3.717077111,      -1.344691452,       1.801688386,      -1.416402463,        3.57396914,                         4,      -4.319591876,               2,      -4.015212256,                4,      -4.481604583,   3.052038529e-08,     2.6060607e-06,             1.728,          2.985984,       2.920519151,         0.9899020968,         -0.9145753496,                     0,      0.7307756724,      0.6999018549,                 0,       267.4746101,       300.0748609,                 0,       12196.55382,        12366.28432,                  0,        0.1588497499,         0.1435621518,                    0,          297464.7024,           331030.7948,                     0,           189.1291278,           -193.3410682,                      0,        189.1299593,         193.3410682,                   0,                147.0901786,                 147.2886303,                           0,             8.792701484e-06,             -1.775261049e-10,                          nan,                      0.7777201409,                       0.7618072645,                                nan,           296.0435174,            329.4739516,                      0,            17398.03698,             17151.78708,                       0,       5.586365809,       1.667957168,                 0,                 0,                 0,       3.277207756,       3.433043159,       4.712088574,                 0,      0.2985764314
           6,     0.05584468569,      -3.753620273,      -1.321070821,       1.761512544,      -1.480759941,       3.561328712,                         5,      -4.837541463,               3,      -5.582238985,                4,      -4.449253374,    3.67164713e-08,   3.130849953e-06,            2.0736,         3.5831808,       3.504622981,         0.9871704508,         -0.9145846001,                     0,      0.7324595658,      0.6999128202,                 0,       268.1534339,       300.0742673,                 0,       12194.37685,        12366.10514,                  0,        0.1584188922,         0.1435603557,                    0,          298352.2124,           331030.4338,                     0,           189.1203252,           -193.3454427,                      0,        189.1208605,         193.3454427,                   0,                148.4935434,                 147.2887749,                           0,             5.661307561e-06,             -2.280989841e-10,                          nan,                      0.7851780235,                       0.7617907766,                                nan,           296.9266973,            329.4742211,                      0,            17421.78432,             17151.70641,                       0,       5.784320532,       1.684602065,                 0,                 0,                 0,       3.404228245,       3.580424278,       4.845287415,                 0,      0.2912359465
           7,         0.0543708,      -3.782330366,      -1.312742267,       1.730143017,      -1.547024939,       3.555258345,                         5,      -4.345048959,               3,      -5.291766557,                4,      -4.429586924,   4.423931443e-08,   3.761834841e-06,           2.48832,        4.29981696,       4.205547577,         0.9838781036,         -0.9145933484,                     0,      0.7332355906,       0.699923994,                 0,       268.8836325,        300.073553,                 0,       12190.04424,        12365.91349,                  0,        0.1579324587,         0.1435584725,                    0,          299225.8795,           331029.9426,                     0,           189.0710374,           -193.3498285,                      0,        189.0711008,         193.3498284,                   0,                149.4954369,                 147.2889436,                           0,             6.714665415e-07,             -2.767391871e-10,                          nan,                      0.7906836965,                       0.7617743695,                                nan,           297.7962637,            329.4743755,                      0,            17427.98032,             17151.61162,                       0,       5.877112116,       1.683104259,                 0,                 0,                 0,        3.46774669,       3.655145175,       4.900326573,                 0,      0.2863828741
           8,     0.05356977777,      -3.786263352,      -1.324054331,       1.725766753,      -1.616067828,       3.532806835,                         6,      -4.643611876,               3,      -4.998940587,                4,      -4.418050771,   5.339138488e-08,   4.520683425e-06,          2.985984,       5.159780352,       5.046657092,         0.9802243563,           -0.91460193,                     0,      0.7329335341,      0.6999351652,                 0,        269.652737,       300.0727576,                 0,       12184.63812,        12365.72005,                  0,        0.1574122976,         0.1435566073,                    0,          300057.6198,           331029.3654,                     0,           188.9923223,           -193.3541548,                      0,         188.991918,         193.3541547,                   0,                 149.986861,                 147.2891345,                           0,            -4.278514665e-06,             -3.353037847e-10,                          nan,                       0.793615212,                        0.761758312,                                nan,           298.6242151,            329.4744406,                      0,            17415.36737,             17151.51432,                       0,       5.849333894,       1.663720806,                 0,                 0,                 0,       3.457415398,       3.644794484,        4.86807427,                 0,      0.2844291053
           9,     0.05290470999,      -3.772455389,      -1.350770524,       1.741225363,      -1.687819679,       3.422805314,                         6,      -4.163529622,               3,      -4.634416096,                4,      -4.411157587,   6.408243412e-08,    5.43366449e-06,         3.5831808,       6.191736422,       6.055988511,         0.9764615113,         -0.9146101895,                     0,      0.7314534579,      0.6999459599,                 0,       270.4352003,       300.0719307,                 0,       12179.39213,        12365.53373,                  0,        0.1568894901,         0.1435548399,                    0,          300810.4344,           331028.7423,                     0,           188.8946866,           -193.3582815,                      0,        188.8939349,         193.3582815,                   0,                149.8854572,                 147.2893507,                           0,            -7.959013067e-06,             -4.099934836e-10,                          nan,                      0.7934900467,                       0.7617431721,                                nan,           299.3736949,            329.4744397,                      0,            17384.12381,             17151.42112,                       0,       5.720378531,       1.631941717,                 0,                 0,                 0,       3.384047252,       3.561471671,       4.764649393,                 0,      0.2852856167
