"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","LM_gamma_sep","LM_gamma_eff","Turb_index","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_TKE","Residual_Omega","Residual_LM_intermittency","Residual_LM_RE_THETA_T","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 2.006060418556120e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.321235242156850e+04, 1.000000000000000e-10, 2.349445182782303e+07, 4.343200014517308e-01, 7.292206577549778e+02, 1.728494096862739e+04, 3.001609816463683e+02, 0.000000000000000e+00, 1.160889495187151e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846677874182694e-05, -7.999781233237174e-04, 9.751680110614529e-04, -5.554187176966521e+01, 3.169193229152654e+00, 0.000000000000000e+00, 4.343200014517308e-01, 5.552037562709488e+02, 8.538461843035482e-19, -2.201823531447121e-09, -0.000000000000000e+00, -0.000000000000000e+00, -5.006063373301853e-04, -0.000000000000000e+00, -0.000000000000000e+00, -8.122311472065452e-08, 1.230316921926471e-05, -2.895426087739901e+05, -1.538216842630539e+08, 1.963843953509255e-07, 8.849564897034096e+00, 1.963843953509255e-07, 8.849564897034096e+00, 8.950728414113880e+01, 1.934646394847032e+00, 1.191828015720826e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 1.713156531901027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.678077528889581e+04, 1.000000000000000e-10, 2.627150871169861e+07, 5.797300151901807e-02, 6.588793033188227e+02, 1.471231011555831e+04, 2.991673327738025e+02, 0.000000000000000e+00, 5.541809361481296e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841973626711875e-05, 1.351364258585101e-03, 6.953231534552876e-03, -1.658752732913779e+03, 6.953188794899033e+00, 0.000000000000000e+00, 5.797300151901807e-02, 4.867338971300105e+01, 6.521039364200469e-19, -1.595706469625625e-08, -0.000000000000000e+00, -0.000000000000000e+00, -3.387471948219978e-03, -0.000000000000000e+00, -0.000000000000000e+00, -5.574076405083464e-09, -1.700743668876494e-05, -1.630678518887798e+06, -8.662364151066895e+08, 2.487211742636315e-07, 8.849564897034096e+00, 2.487211742636315e-07, 8.849564897034096e+00, 8.912460918129644e+01, 4.829284068574666e+00, 3.826516022335081e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 1.354572761027505e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.897027042613674e+04, 1.000000000000000e-10, 3.390490890133521e+07, 1.283130712645766e-01, 8.077537127605183e+02, 1.158810817045469e+04, 2.980166631352647e+02, 0.000000000000000e+00, -1.826057108748867e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.836516489476878e-05, -6.500936376489923e-04, 9.492132715895043e-04, -2.182405359685736e+01, 2.502701378510407e+00, 0.000000000000000e+00, 1.283130712645766e-01, 8.158324004159316e+03, 3.995578310395106e-19, -9.101695951981317e-08, -0.000000000000000e+00, -0.000000000000000e+00, -2.414745876676759e-02, -0.000000000000000e+00, -0.000000000000000e+00, 1.133485277239564e-08, -6.423785354356954e-05, 2.657516499446100e+05, -7.202274871340179e+07, 2.485501296100572e-07, 8.849564897034096e+00, 2.485501296100572e-07, 8.849564897034096e+00, 8.809562036213551e+01, 4.778986443741966e+00, 4.103502934401393e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 1.379447217821317e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.954110778215826e+04, 1.000000000000000e-10, 3.356153862026593e+07, 7.112717222204891e-01, 8.201438564236502e+02, 1.181644311286330e+04, 2.984090748406891e+02, 0.000000000000000e+00, -1.287570354142321e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.838378680237222e-05, 3.853667496549938e-05, 5.981658605045439e-05, -1.052210530513005e+01, 6.270352189492003e-01, 0.000000000000000e+00, 7.112717222204891e-01, 3.645780948640605e+05, 4.110150685818063e-19, 1.801885841178371e-08, -0.000000000000000e+00, -0.000000000000000e+00, 3.359828578245528e-03, -0.000000000000000e+00, -0.000000000000000e+00, 2.123165248466722e-08, 1.982867830101201e-05, 1.638856695501805e+04, -1.169619876798660e+07, 1.922302491937307e-07, 8.849564897034096e+00, 1.922302491937307e-07, 8.849564897034096e+00, 8.946205234992355e+01, 1.806627307266652e+00, 1.194886899803785e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.878334309065228e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.041783734564074e+04, 1.000000000000000e-10, 2.440304365115538e+07, 7.825229660153248e-02, 6.674868522883606e+02, 1.616713493825628e+04, 2.998406544945216e+02, 0.000000000000000e+00, 8.972751157037786e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845162173072052e-05, 4.292078438807484e-03, -1.542284077824083e-04, -6.144489944413442e+02, 5.660559820838929e+00, 0.000000000000000e+00, 7.825229660153248e-02, 8.698705847523176e+01, 7.697049718106432e-19, 1.472785508533283e-08, -0.000000000000000e+00, -0.000000000000000e+00, 4.007805141892751e-03, -0.000000000000000e+00, -0.000000000000000e+00, 9.320485739629367e-09, 4.698559746073265e-06, 9.870257553922954e+05, -4.419383578959961e+08, 2.421694710799926e-07, 8.849564897034096e+00, 2.421694710799926e-07, 8.849564897034096e+00, 8.899591568721677e+01, 4.221139683296177e+00, 3.837449350062581e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 1.339941563786394e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.851694531440111e+04, 1.000000000000000e-10, 3.349374030606312e+07, 2.180053802010487e-02, 7.101373874764917e+02, 1.140677812576044e+04, 2.965565226911119e+02, 0.000000000000000e+00, -2.253691294958240e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.829576909748730e-05, 4.740823326540211e-03, -5.225520480559485e-03, -1.402395220285778e+03, 6.177290294270679e+00, 0.000000000000000e+00, 2.180053802010487e-02, 4.317075483433449e+00, 4.000573076715583e-19, -8.291935508409565e-10, -0.000000000000000e+00, -0.000000000000000e+00, 5.319814400173151e-05, -0.000000000000000e+00, -0.000000000000000e+00, 2.766553381823137e-10, -6.860881323547370e-06, 1.635544037473146e+06, -1.597818644396973e+08, 2.426730701793003e-07, 8.849564897034096e+00, 2.426730701793003e-07, 8.849564897034096e+00, 8.934288935012786e+01, 4.133121621850107e+00, 4.088912888334988e+00
992, -3.361280624494327e-05, 4.508048606400442e-05, 1.997176581123742e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.301767437943043e+04, 1.000000000000000e-10, 2.360493306750403e+07, 3.501146927818830e-01, 7.248439821500955e+02, 1.720706975177216e+04, 3.001378724055228e+02, 0.000000000000000e+00, 1.142524974015180e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846568553887474e-05, -1.088446885582994e-03, 1.541552636160374e-03, -1.234062368123634e+02, 3.864580783292216e+00, 0.000000000000000e+00, 3.501146927818830e-01, 3.416514620700479e+02, 8.460873150892936e-19, -3.619334387965371e-09, -0.000000000000000e+00, -0.000000000000000e+00, -7.987766557194902e-04, -0.000000000000000e+00, -0.000000000000000e+00, -4.622514393093486e-08, 1.192647750227965e-05, -4.333353420154189e+05, -9.653394626042175e+07, 2.006101133822694e-07, 8.849564897034096e+00, 2.006101133822694e-07, 8.849564897034096e+00, 8.975911993735730e+01, 2.060895948701305e+00, 1.038222414779984e+00
993, -6.484109783259044e-05, 9.183357187137720e-05, 1.985469620285608e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.276105181541892e+04, 1.000000000000000e-10, 2.368198697924598e+07, 2.940063132516283e-01, 7.241960576919505e+02, 1.710442072616756e+04, 3.001065467549851e+02, 0.000000000000000e+00, 1.118317053808894e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846420358602442e-05, -1.313475124090193e-03, 2.128209298230947e-03, -2.170581376473382e+02, 4.437591030967865e+00, 0.000000000000000e+00, 2.940063132516283e-01, 2.416912312404253e+02, 8.383919451756581e-19, -4.439678009987897e-09, -0.000000000000000e+00, -0.000000000000000e+00, -9.413787739634902e-04, -0.000000000000000e+00, -0.000000000000000e+00, -2.968608849658370e-08, 1.235261817482099e-05, -5.743316884229346e+05, -1.164465701366272e+08, 2.006494516425217e-07, 8.849564897034096e+00, 2.006494516425217e-07, 8.849564897034096e+00, 8.991256841746363e+01, 2.059088584218717e+00, 1.037013292427784e+00
994, -9.263179551623211e-05, 1.407083053014280e-04, 1.969285619348332e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.240695396452609e+04, 1.000000000000000e-10, 2.379419320777868e+07, 2.500279406666423e-01, 7.188649702242777e+02, 1.696278158581043e+04, 3.000673244593671e+02, 0.000000000000000e+00, 1.084914018683553e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846234795278451e-05, -1.431904545365511e-03, 2.755753757579450e-03, -3.349672505421656e+02, 4.925677837375460e+00, 0.000000000000000e+00, 2.500279406666423e-01, 1.837093787434798e+02, 8.276377345909757e-19, -6.113303290320831e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.311342282910511e-03, -0.000000000000000e+00, -0.000000000000000e+00, -2.207368274856150e-08, 1.026559684015561e-05, -7.132650433531619e+05, -9.391214165393066e+07, 2.007798698926811e-07, 8.849564897034096e+00, 2.007798698926811e-07, 8.849564897034096e+00, 8.995955256628440e+01, 2.064285293714478e+00, 1.037038291138480e+00
995, -1.166503543332792e-04, 1.915424203007436e-04, 1.949748099283528e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.197975589901664e+04, 1.000000000000000e-10, 2.394089170171431e+07, 2.148700975173804e-01, 7.114475588455210e+02, 1.679190235960665e+04, 3.000210591831066e+02, 0.000000000000000e+00, 1.044615237000158e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846015895961601e-05, -1.454043833911883e-03, 3.375492491395642e-03, -4.686434546709600e+02, 5.331896949798652e+00, 0.000000000000000e+00, 2.148700975173804e-01, 1.472713789131496e+02, 8.144064769865684e-19, -7.325970986018765e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.565113995238558e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.711238704596054e-08, 8.526208813073948e-06, -8.442295279577035e+05, -6.555723643737793e+07, 2.007502137021563e-07, 8.849564897034096e+00, 2.007502137021563e-07, 8.849564897034096e+00, 8.995222240940629e+01, 2.061125599628665e+00, 1.036396986196254e+00
996, -1.370915923085777e-04, 2.439195749629403e-04, 1.929390422879054e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.153424622050139e+04, 1.000000000000000e-10, 2.409524967302554e+07, 1.879682944207670e-01, 7.061899761028377e+02, 1.661369848820055e+04, 2.999691215758187e+02, 0.000000000000000e+00, 1.002589069931925e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845770139028420e-05, -1.397253560949944e-03, 3.951786812510186e-03, -6.083302873113493e+02, 5.664508987932268e+00, 0.000000000000000e+00, 1.879682944207670e-01, 1.231957272796013e+02, 8.007410669770522e-19, -7.979797420409955e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.682736936433312e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.374235747810705e-08, 7.233243608721347e-06, -9.629250152720826e+05, -5.572672554107666e+07, 2.006919445052095e-07, 8.849564897034096e+00, 2.006919445052095e-07, 8.849564897034096e+00, 8.995588278013193e+01, 2.055997700320061e+00, 1.033590731568194e+00
997, -1.541165411926390e-04, 2.975062820390531e-04, 1.908440434929757e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.107554388094101e+04, 1.000000000000000e-10, 2.426415551180322e+07, 1.659292875602069e-01, 7.006684787337234e+02, 1.643021755237639e+04, 2.999128333287151e+02, 0.000000000000000e+00, 9.593184024546223e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845503772473109e-05, -1.279179833591870e-03, 4.480616823678626e-03, -7.500143505225578e+02, 5.940289747375871e+00, 0.000000000000000e+00, 1.659292875602069e-01, 1.061467785763060e+02, 7.865333574750145e-19, -8.359090817405724e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.741853063152487e-03, -0.000000000000000e+00, -0.000000000000000e+00, -1.134698601968304e-08, 5.777352952029348e-06, -1.070618168193885e+06, -4.158342898132324e+07, 2.006382066416325e-07, 8.849564897034096e+00, 2.006382066416325e-07, 8.849564897034096e+00, 8.995458200104879e+01, 2.050958475967997e+00, 1.031015135985723e+00
998, -1.679493755307817e-04, 3.520059432874026e-04, 1.887611225063181e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.061916319738146e+04, 1.000000000000000e-10, 2.443982503305657e+07, 1.479616934165113e-01, 6.959922577719169e+02, 1.624766527895257e+04, 2.998532480373703e+02, 0.000000000000000e+00, 9.162667432450875e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845221777175373e-05, -1.116684394155939e-03, 4.953328131037322e-03, -8.881707297318969e+02, 6.167552720258926e+00, 0.000000000000000e+00, 1.479616934165113e-01, 9.365206711319888e+01, 7.723575920634386e-19, -8.569933148463232e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.768077386043388e-03, -0.000000000000000e+00, -0.000000000000000e+00, -9.572055232673428e-09, 4.310973889454491e-06, -1.166838679680630e+06, -3.212719584545898e+07, 2.005869570976781e-07, 8.849564897034096e+00, 2.005869570976781e-07, 8.849564897034096e+00, 8.995915030537866e+01, 2.046046916262939e+00, 1.028300095251677e+00
999, -1.788393359039753e-04, 4.071703152810382e-04, 1.867121768762015e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.016992509324001e+04, 1.000000000000000e-10, 2.462107652153498e+07, 1.330958931630114e-01, 6.920899784576103e+02, 1.606797003729599e+04, 2.997910865008973e+02, 0.000000000000000e+00, 8.738888634176842e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844927560390931e-05, -9.232632475514662e-04, 5.372091111739641e-03, -1.020568870838493e+03, 6.356081916496695e+00, 0.000000000000000e+00, 1.330958931630114e-01, 8.413142940403348e+01, 7.583500981884886e-19, -8.634584303083709e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.765927075936679e-03, -0.000000000000000e+00, -0.000000000000000e+00, -8.175523356845925e-09, 2.948493403281664e-06, -1.252801754127030e+06, -2.545339594348145e+07, 2.005523702633464e-07, 8.849564897034096e+00, 2.005523702633464e-07, 8.849564897034096e+00, 8.996834786547771e+01, 2.041995265151569e+00, 1.025874190855576e+00
1000, -1.869917940527927e-04, 4.628059860264794e-04, 1.846984391823955e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.972817715317414e+04, 1.000000000000000e-10, 2.480518261278820e+07, 1.204955192508725e-01, 6.885778742304087e+02, 1.589127086126965e+04, 2.997269194017306e+02, 0.000000000000000e+00, 8.322175515998866e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844623819937878e-05, -7.051442729875406e-04, 5.740127859075237e-03, -1.145433568246293e+03, 6.512476239041875e+00, 0.000000000000000e+00, 1.204955192508725e-01, 7.666054238540134e+01, 7.446035221881635e-19, -8.664729996540077e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.762509643305299e-03, -0.000000000000000e+00, -0.000000000000000e+00, -7.100502017357199e-09, 1.479487349162061e-06, -1.329424124228985e+06, -2.011589216723633e+07, 2.005378981783565e-07, 8.849564897034096e+00, 2.005378981783565e-07, 8.849564897034096e+00, 8.997553028723041e+01, 2.039011840114471e+00, 1.024080966394148e+00
