"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.0234032,      -2.072976456,      0.3996479643,       3.360270183,                         7,       -4.05005051,               2,      -4.912223502,   5.402502367e-08,    7.06214096e-05,                12,              14.4,       14.33614419,        -0.2622823493,          -1.152126145,                     0,      0.1220498357,      0.2926063921,                 0,       294.5388826,       299.9644673,                 0,       31826.01589,        31706.82556,                  0,        0.3764204698,         0.3682250212,                    0,            296858.82,           306538.5012,                     0,          -21.30966755,           -94.98235563,                      0,        21.22539266,         94.97015061,                   0,                37.97968713,                 36.22938469,                           0,             -0.007893904291,             -0.0002569790725,                          nan,                        1.78935145,                       0.3814818073,                                nan,           295.4692282,             305.103599,                      0,            32179.12449,             33649.23242,                       0,       19.50409412,       6.489888584,                 0,                 0,                 0,       10.92765982,       11.58219244,       16.98178906,                 0,      0.3327449377
           1,        0.02356955,      -2.265767965,      0.1692414544,         3.1813384,                         9,      -4.165069483,               3,      -5.516680591,   6.000619479e-08,   9.041101301e-05,                12,             17.28,       17.20231735,        -0.9829528702,          -1.557835555,                     0,      0.3246267869,      0.4801560252,                 0,       275.1337113,       292.2396587,                 0,       24834.22355,        25001.41185,                  0,         0.314504507,         0.2980145279,                    0,          282299.3773,           307184.5602,                     0,          -96.33133946,           -159.2353751,                      0,        95.52458844,         159.0043598,                   0,                50.56939647,                 41.80860773,                           0,              -0.01667936632,              -0.002899452911,                          nan,                      0.5293861748,                       0.2629400086,                                nan,            280.977938,            305.7466338,                      0,            26733.13841,             29280.84463,                       0,       26.62435401,       7.974088207,                 0,                 0,                 0,       15.19417444,        16.3467626,        22.4772254,                 0,      0.2995035374
           2,         0.0236151,      -2.347054845,    -0.04225116351,       3.115468738,                        10,      -4.071394325,               3,      -5.029262359,   7.201207261e-08,   0.0001098866459,                12,            20.736,        20.6423122,         -1.312353963,           -1.80395979,                     0,      0.4902065805,      0.6323035074,                 0,       259.7836251,       278.8657167,                 0,       20364.60026,        21306.43191,                  0,        0.2733451428,         0.2662307909,                    0,           273559.167,           302613.6069,                     0,          -148.0126377,           -206.6224466,                      0,        146.7970453,         206.3615569,                   0,                59.08406396,                 46.93373703,                           0,              -0.01635807144,              -0.002523684935,                          nan,                      0.4024881006,                       0.2274344976,                                nan,           272.2786406,            301.1970771,                      0,            24015.05165,             27898.01422,                       0,       25.21198848,       7.212185659,                 0,                 0,                 0,       14.49807242,       15.68496739,         21.015275,                 0,      0.2860617545
           3,       0.023935975,      -2.394881838,     -0.1387370335,       3.067021544,                        10,      -3.762637247,               4,      -5.772136407,   8.636033476e-08,   0.0001215136666,              14.4,           24.8832,       24.77077464,         -1.328879071,          -1.901140561,                     0,      0.5419077168,      0.7225548975,                 0,       255.4442121,       266.7591644,                 0,       18153.34842,        19125.99007,                  0,        0.2477814974,         0.2498466583,                    0,          271752.7027,           296026.5056,                     0,          -166.2325518,           -232.3180069,                      0,         164.802242,         232.0969809,                   0,                52.89077299,                 45.62928165,                           0,              -0.01713450717,              -0.001901883207,                          nan,                      0.3209347904,                        0.196595757,                                nan,           270.4806323,            294.6408099,                      0,            22186.69712,             27082.48193,                       0,        22.3557414,       6.395875601,                 0,                 0,                 0,       12.93460405,         13.907573,       18.63506939,                 0,      0.2860954369
           4,        0.02402232,      -2.515840152,     -0.1741995921,       2.947737073,                        10,      -3.513032893,               4,       -4.47072715,     1.0403639e-07,   0.0001412242315,             17.28,          29.85984,       29.72492957,         -1.242987084,          -1.923695671,                     0,      0.5302981349,      0.7758433617,                 0,        256.792704,       258.2007139,                 0,       17125.85308,        17649.28491,                  0,         0.232450107,         0.2381108788,                    0,          272595.5176,           290667.8975,                     0,          -165.7332483,           -246.5044929,                      0,        164.2776507,          246.504224,                   0,                40.47213324,                 41.90942864,                           0,              -0.01748841013,             -2.181851869e-06,                          nan,                      0.2463642075,                       0.1700150527,                                nan,            271.319502,            289.3072853,                      0,            20779.08352,             26262.81367,                       0,       20.59796984,       6.275153523,                 0,                 0,                 0,          12.04786,       12.58246853,       17.47384901,                 0,      0.3046491266
           5,         0.0240998,      -2.652668816,     -0.2106412818,       2.813264303,                        10,       -3.21162532,               5,      -5.041505289,   1.257489607e-07,   0.0001626541818,            20.736,         35.831808,       35.66991548,         -1.176143762,          -1.940114637,                     0,       0.506900658,      0.8135720668,                 0,       259.3062512,       252.7160575,                 0,       16854.59034,        16723.65029,                  0,         0.226467359,         0.2304023247,                    0,          274007.7515,           287543.0843,                     0,          -159.7721857,           -256.3674721,                      0,        158.7861542,          256.563273,                   0,                35.17280105,                 38.94314492,                           0,              -0.01230487987,               0.001528085805,                          nan,                       0.221510504,                       0.1517876836,                                nan,           272.7251252,            286.1970994,                      0,            20120.72286,             25816.89867,                       0,       19.28361834,       6.793555354,                 0,                 0,                 0,       11.53228377,       11.22279126,       17.08974215,                 0,      0.3522967129
           6,         0.0241879,      -2.740209555,     -0.2353029528,       2.720407014,                        10,      -2.914292119,               5,      -4.310968207,    1.52252311e-07,    0.000191612205,            2.0736,         3.5831808,       3.566991548,         -1.176453259,          -1.972282602,                     0,      0.4983779409,      0.8450747798,                 0,       260.7516435,       249.3932058,                 0,       17110.50522,        16223.42738,                  0,        0.2285779427,         0.2264538093,                    0,          275057.2698,           286388.0288,                     0,          -157.1248509,           -264.8039799,                      0,        156.7124426,         265.0390363,                   0,                36.18167982,                 37.72752284,                           0,             -0.005242544681,                0.00177611144,                          nan,                      0.2308794325,                        0.142347042,                                nan,           273.7697308,            285.0474507,                      0,             20294.6446,             25865.03018,                       0,       17.04839115,       7.581491554,                 0,                 0,                 0,       10.59635245,       8.967247116,       16.36200276,                 0,      0.4447042237
           7,      0.0232874125,      -2.781868844,      -0.282238972,       2.672810173,                         5,      -4.886582571,               3,      -5.674266302,    1.54025895e-08,   1.898431205e-05,           2.48832,        4.29981696,       4.280389857,         -1.186708703,          -1.985638898,                     0,      0.4973189371,      0.8499956776,                 0,       261.4532655,       248.8616403,                 0,        17294.1408,        16213.40584,                  0,        0.2304157637,         0.2268137241,                    0,          275725.3128,           286196.8056,                     0,          -156.9515622,           -266.1265382,                      0,        156.6634134,         266.3391937,                   0,                36.41581817,                 37.37420127,                           0,             -0.003668447598,               0.001598791539,                          nan,                      0.2324462194,                       0.1403255779,                                nan,           274.4346467,            284.8571226,                      0,            20493.10709,             25985.56751,                       0,       16.88190357,       7.609078207,                 0,                 0,                 0,       10.52077879,       8.818093463,       16.28305766,                 0,      0.4507239469
           8,     0.02250525556,       -2.80733109,     -0.3190923124,       2.636080809,                         5,      -4.406053898,               3,      -5.309255328,   1.850507306e-08,   2.269318292e-05,          2.985984,       5.159780352,       5.136467829,         -1.204207061,          -2.000656373,                     0,      0.4982709164,      0.8556665351,                 0,       262.0622638,       248.3479962,                 0,       17516.00426,        16203.27163,                  0,        0.2328279093,         0.2271641045,                    0,          276398.9944,           286092.1013,                     0,          -157.3679747,           -267.6961875,                      0,        157.1993497,         267.8596075,                   0,                36.89823148,                 36.98589757,                           0,             -0.002141918715,                0.00122130875,                          nan,                      0.2347225453,                       0.1380794137,                                nan,           275.1051748,            284.7529084,                      0,            20763.32138,             26130.38129,                       0,       16.66004144,       7.663946389,                 0,                 0,                 0,       10.42320853,        8.60835854,       16.19225797,                 0,      0.4600196475
           9,        0.02188777,      -2.840292356,     -0.3639870398,       2.590729893,                         5,       -4.00690466,               3,       -4.96686006,   2.223250467e-08,   2.714228669e-05,         3.5831808,       6.191736422,       6.163761395,         -1.227684606,           -2.01601531,                     0,       0.501127603,      0.8620870967,                 0,       262.4180831,       247.7669455,                 0,       17760.85455,        16179.81228,                  0,        0.2357634207,         0.2273919831,                    0,          276909.5062,           285974.8516,                     0,          -158.2735501,           -269.4679932,                      0,        158.1846322,         269.5659836,                   0,                37.68920531,                 36.56632836,                           0,              -0.00112328177,              0.0007274201299,                          nan,                      0.2382608524,                       0.1356488971,                                nan,           275.6132969,            284.6362076,                      0,            21089.04902,             26276.94932,                       0,       16.34440336,       7.747023648,                 0,                 0,                 0,       10.28465723,       8.306932968,       16.06707071,                 0,      0.4739863228
