"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101090544564426e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.370826315955293e+04, 0.000000000000000e+00, 9.483305263821170e+03, 3.000316308383664e+02, 0.000000000000000e+00, -3.769300618825745e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846065916091125e-05, -1.249438829426416e-02, 1.523057622091583e-02, -4.068807744536022e+01, 5.610340410912041e-01, 0.000000000000000e+00, 4.880829251455254e-11, -0.000000000000000e+00, -0.000000000000000e+00, 8.975096891601121e-06, -0.000000000000000e+00, -8.536741545392326e+05, -6.919986151910400e+07, 1.823279998835087e-08, 6.260973619783307e+00, 1.823279998835087e-08, 6.260973619783307e+00, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.390316302726180e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.006790696783143e+04, 0.000000000000000e+00, 8.027162787132570e+03, 2.977914294280950e+02, 0.000000000000000e+00, -3.951315310276587e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835447104273657e-05, 1.667293263784700e-02, 8.578794374237375e-02, -8.807294699275268e+02, 1.096795154460537e+00, 0.000000000000000e+00, 3.393808711024366e-10, -0.000000000000000e+00, -0.000000000000000e+00, 6.132958792053056e-05, -0.000000000000000e+00, -3.809229888906200e+06, -5.125638105798828e+09, 1.569899724028926e-08, 6.260973619783307e+00, 1.569899724028926e-08, 6.260973619783307e+00, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.201982865808582e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.309685316816706e+04, 0.000000000000000e+00, 5.238741267266823e+03, 2.225043149384680e+02, 0.000000000000000e+00, -4.299862029226390e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.453535674603041e-05, 7.143150435728385e-04, -1.042984087503823e-03, 5.012996913267604e+02, 1.558949208017184e-01, 0.000000000000000e+00, -2.156662094075741e-07, -0.000000000000000e+00, -0.000000000000000e+00, 2.135198664023057e-03, -0.000000000000000e+00, -6.915752611417431e+04, -6.691833873311853e+07, 1.733085825605826e-08, 6.260973619783307e+00, 1.733085825605826e-08, 6.260973619783307e+00, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 8.110383025592201e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.311153718705797e+04, 0.000000000000000e+00, 5.244614874823188e+03, 2.252695973271053e+02, 0.000000000000000e+00, -4.299127840859393e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.468518188327122e-05, 6.003943325214369e-04, 9.319314468003758e-04, 2.807014192744497e+02, 1.435937330994626e-01, 0.000000000000000e+00, -4.181983927349507e-08, -0.000000000000000e+00, -0.000000000000000e+00, 6.978847259766158e-04, -0.000000000000000e+00, 6.041517671177065e+04, -8.304005096186638e+06, 2.024730240375505e-08, 7.513168343739997e+00, 2.024730240375505e-08, 7.513168343739997e+00, 8.969900797032707e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.033205744841515e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.217777027144610e+04, 0.000000000000000e+00, 8.871108108578439e+03, 2.991034379186390e+02, 0.000000000000000e+00, -3.845823952292390e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841670868399148e-05, 5.614925346207563e-02, -2.017626211424237e-03, -3.571455551416201e+02, 9.195294290292398e-01, 0.000000000000000e+00, -1.127943679274327e-09, -0.000000000000000e+00, -0.000000000000000e+00, -2.334105062780367e-04, -0.000000000000000e+00, 2.440745452286235e+06, -2.767657470833008e+09, 1.720924005004849e-08, 6.260973619783307e+00, 1.720924005004849e-08, 6.260973619783307e+00, 8.877060556795990e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.860104538040104e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.292534259639104e+04, 0.000000000000000e+00, 5.170137038556415e+03, 2.625437390995605e+02, 0.000000000000000e+00, -4.308437410908369e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.663016819970212e-05, 4.142256005611142e-02, -4.565756220415800e-02, -1.833927404145544e+02, 8.687696803438866e-01, 0.000000000000000e+00, -1.153269493956866e-07, -0.000000000000000e+00, -0.000000000000000e+00, 2.243763924107328e-03, -0.000000000000000e+00, 2.965711973709159e+06, -1.580828211081055e+09, 1.264585811777823e-08, 6.260973619783307e+00, 1.264585811777823e-08, 6.260973619783307e+00, 8.921750321062150e+01, 2.948732162745739e+01, 4.076312405663344e+00
6, -4.761400000000000e-02, -5.274714782728225e-02, 9.865591142070346e-02, 1.273469059327100e+01, 9.701856025131596e+00, 2.161104186375262e+04, 2.711011258482588e-06, 8.124836415953876e+03, 2.868942591286144e+02, 4.779032918343234e-01, -3.939106315828995e+01, 1.290818807498093e+02, 9.834034155094341e+01, 1.783232458610100e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.521267033254419e-15, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -9.006386815775634e-01, -5.149610865744023e+00, 1.585809285865656e-05, 7.513168343739997e+00, 1.585809285865656e-05, 7.513168343739997e+00, 8.233481773574334e+01, 2.164248374423013e+00, 1.000000000000004e+00
7, 1.428420000000000e-01, -1.684122810616721e-01, 7.556182092484567e-02, 1.274897040422416e+01, -1.725719362962748e+01, 1.709985252222753e+04, 7.188671397925484e-05, 5.621476517951593e+03, 2.591661820920032e+02, 8.798370020761257e-01, -4.252020942467373e+01, 1.687223818613950e+02, -2.283850947264970e+02, 1.645935212253086e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.454934033138885e-10, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -0.000000000000000e+00, -1.792232404193462e+02, 1.614177876904958e+03, 1.204333274493816e-05, 7.513168343739997e+00, 1.204333274493816e-05, 7.513168343739997e+00, 6.255565418066564e+01, 2.710686769935833e+00, 1.000000000000016e+00
8, 1.428420000000000e-01, -1.354622810616721e-01, 7.556182092484567e-02, 1.274897040422416e+01, -1.725719362962748e+01, 1.709985252222753e+04, 7.188671397925484e-05, 5.621476517951593e+03, 2.591661820920032e+02, 8.798370020761257e-01, -4.252020942467373e+01, 1.687223818613950e+02, -2.283850947264970e+02, 1.645935212253086e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.454934033138885e-10, -4.138184139940160e-07, -2.327259183232400e-05, -1.389316063438173e-05, 1.593084794876631e-02, -6.056199451172806e-09, -1.792232404193456e+02, 1.614177876904767e+03, 1.204333274493816e-05, 6.260973619783307e+00, 1.204333274493816e-05, 6.260973619783307e+00, 8.102103155036549e+01, 2.342037439404046e+00, 1.463788628787822e+00
9, -4.761400000000000e-02, -1.979714782728225e-02, 9.865591142070346e-02, 1.273469059327100e+01, 9.701856025131596e+00, 2.161104186375262e+04, 2.711011258482588e-06, 8.124836415953876e+03, 2.868942591286144e+02, 4.779032918343234e-01, -3.939106315828995e+01, 1.290818807498093e+02, 9.834034155094341e+01, 1.783232458610100e-05, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.521267033254419e-15, -3.099822586116741e-08, 1.827947352595061e-05, 1.576035895212158e-05, -5.188793307752348e-03, 6.540237192949040e-13, -9.006386815775603e-01, -5.149610865744005e+00, 1.585809285865656e-05, 5.217478016486118e+00, 1.585809285865656e-05, 5.217478016486118e+00, 8.792528982626609e+01, 1.888376020116689e+00, 1.138365941023012e+00
