"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 1.101090544564426e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.370826315955293e+04, 0.000000000000000e+00, 9.483305263821170e+03, 3.000316308383664e+02, 0.000000000000000e+00, -3.769300618825745e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.846065916091125e-05, -1.249438829426416e-02, 1.523057622091583e-02, -4.068807744536022e+01, 5.610340410912041e-01, 0.000000000000000e+00, 4.880829251455254e-11, -0.000000000000000e+00, -0.000000000000000e+00, 8.975096891601121e-06, -0.000000000000000e+00, -8.536741545392326e+05, -6.919986151910400e+07, 1.823279998835087e-08, 6.260973619783307e+00, 1.823279998835087e-08, 6.260973619783307e+00, 8.971723913789982e+01, 1.345335023029407e+01, 1.154215848080804e+00
1, -1.718054192693948e-04, 9.109824283804046e-04, 9.390316302726180e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.006790696783143e+04, 0.000000000000000e+00, 8.027162787132570e+03, 2.977914294280950e+02, 0.000000000000000e+00, -3.951315310276587e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.835447104273657e-05, 1.667293263784700e-02, 8.578794374237375e-02, -8.807294699275268e+02, 1.096795154460537e+00, 0.000000000000000e+00, 3.393808711024366e-10, -0.000000000000000e+00, -0.000000000000000e+00, 6.132958792053056e-05, -0.000000000000000e+00, -3.809229888906200e+06, -5.125638105798828e+09, 1.569899724028926e-08, 6.260973619783307e+00, 1.569899724028926e-08, 6.260973619783307e+00, 8.895636814099666e+01, 3.435819788435096e+01, 3.796488299877663e+00
2, 4.611735506634929e-02, -1.890206044284941e-02, 8.201982865808582e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.309685316816706e+04, 0.000000000000000e+00, 5.238741267266823e+03, 2.225043149384680e+02, 0.000000000000000e+00, -4.299862029226390e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.453535674603041e-05, 7.143150435728385e-04, -1.042984087503823e-03, 5.012996913267604e+02, 1.558949208017184e-01, 0.000000000000000e+00, -2.156662094075741e-07, -0.000000000000000e+00, -0.000000000000000e+00, 2.135198664023057e-03, -0.000000000000000e+00, -6.915752611417431e+04, -6.691833873311853e+07, 1.733085825605826e-08, 6.260973619783307e+00, 1.733085825605826e-08, 6.260973619783307e+00, 8.787231407535491e+01, 3.386320573965511e+01, 4.070336449907400e+00
3, 4.609287242076135e-02, -1.974636168630072e-02, 8.110383025592201e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.311153718705797e+04, 0.000000000000000e+00, 5.244614874823188e+03, 2.252695973271053e+02, 0.000000000000000e+00, -4.299127840859393e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.468518188327122e-05, 6.003943325214369e-04, 9.319314468003758e-04, 2.807014192744497e+02, 1.435937330994626e-01, 0.000000000000000e+00, -4.181983927349507e-08, -0.000000000000000e+00, -0.000000000000000e+00, 6.978847259766158e-04, -0.000000000000000e+00, 6.041517671177065e+04, -8.304005096186638e+06, 2.024730240375505e-08, 7.513168343739997e+00, 2.024730240375505e-08, 7.513168343739997e+00, 8.969900797032707e+01, 1.253980871239745e+01, 1.156787611893489e+00
4, 7.350570150613177e-04, -3.394657499262768e-04, 1.033205744841515e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.217777027144610e+04, 0.000000000000000e+00, 8.871108108578439e+03, 2.991034379186390e+02, 0.000000000000000e+00, -3.845823952292390e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.841670868399148e-05, 5.614925346207563e-02, -2.017626211424237e-03, -3.571455551416201e+02, 9.195294290292398e-01, 0.000000000000000e+00, -1.127943679274327e-09, -0.000000000000000e+00, -0.000000000000000e+00, -2.334105062780367e-04, -0.000000000000000e+00, 2.440745452286235e+06, -2.767657470833008e+09, 1.720924005004849e-08, 6.260973619783307e+00, 1.720924005004849e-08, 6.260973619783307e+00, 8.877060556795990e+01, 2.993262672984651e+01, 3.797411269559451e+00
5, 4.545777295007038e-02, -1.981128586168530e-02, 6.860104538040104e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.292534259639104e+04, 0.000000000000000e+00, 5.170137038556415e+03, 2.625437390995605e+02, 0.000000000000000e+00, -4.308437410908369e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.663016819970212e-05, 4.142256005611142e-02, -4.565756220415800e-02, -1.833927404145544e+02, 8.687696803438866e-01, 0.000000000000000e+00, -1.153269493956866e-07, -0.000000000000000e+00, -0.000000000000000e+00, 2.243763924107328e-03, -0.000000000000000e+00, 2.965711973709159e+06, -1.580828211081055e+09, 1.264585811777823e-08, 6.260973619783307e+00, 1.264585811777823e-08, 6.260973619783307e+00, 8.921750321062150e+01, 2.948732162745739e+01, 4.076312405663344e+00
148, -3.361280624494327e-05, 4.508048606400442e-05, 1.096570717806331e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.360642438530251e+04, 0.000000000000000e+00, 9.442569754120999e+03, 2.999741990979098e+02, 0.000000000000000e+00, -3.774392470308596e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845794165620259e-05, -1.761513461174300e-02, 2.494807744569705e-02, -1.072321946975695e+02, 6.965825727182265e-01, 0.000000000000000e+00, 8.160922442391694e-11, -0.000000000000000e+00, -0.000000000000000e+00, 1.572675100388297e-05, -0.000000000000000e+00, -1.323686206613216e+06, -1.487539444750977e+07, 1.814149093937050e-08, 6.260973619783307e+00, 1.814149093937050e-08, 6.260973619783307e+00, 8.993483292219740e+01, 1.438480273245958e+01, 1.005458287626170e+00
149, -6.484109783259044e-05, 9.183357187137720e-05, 1.090390388589670e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.346682315652867e+04, 0.000000000000000e+00, 9.386729262611467e+03, 2.998904407498790e+02, 0.000000000000000e+00, -3.781372412172310e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845397799820572e-05, -2.170992351033573e-02, 3.517635030247172e-02, -2.032968221849531e+02, 8.085447422098505e-01, 0.000000000000000e+00, 1.058136223418414e-10, -0.000000000000000e+00, -0.000000000000000e+00, 2.077127966334678e-05, -0.000000000000000e+00, -1.792007735181015e+06, -2.743214536621094e+07, 1.805535287442482e-08, 6.260973619783307e+00, 1.805535287442482e-08, 6.260973619783307e+00, 8.997062340216455e+01, 1.437834790314639e+01, 1.005144632141936e+00
150, -9.263179551623211e-05, 1.407083053014280e-04, 1.082104185151277e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.328008913571108e+04, 0.000000000000000e+00, 9.312035654284431e+03, 2.997822388754089e+02, 0.000000000000000e+00, -3.790708953266772e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844885681279172e-05, -2.383201900552514e-02, 4.586561034235449e-02, -3.232927012934707e+02, 9.010017592503486e-01, 0.000000000000000e+00, 1.324640643646281e-10, -0.000000000000000e+00, -0.000000000000000e+00, 2.639405287514470e-05, -0.000000000000000e+00, -2.241378780598972e+06, -2.379326931054688e+07, 1.792737270809616e-08, 6.260973619783307e+00, 1.792737270809616e-08, 6.260973619783307e+00, 8.998186575267368e+01, 1.438263371318549e+01, 1.005169278929909e+00
151, -1.166503543332792e-04, 1.915424203007436e-04, 1.072247528967574e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.305823265393802e+04, 0.000000000000000e+00, 9.223293061575207e+03, 2.996548418094727e+02, 0.000000000000000e+00, -3.801801587324979e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844282596755442e-05, -2.404759762447219e-02, 5.582533574598462e-02, -4.486508229679305e+02, 9.728226738001465e-01, 0.000000000000000e+00, 1.513268552030564e-10, -0.000000000000000e+00, -0.000000000000000e+00, 3.024023318738895e-05, -0.000000000000000e+00, -2.636712536980452e+06, -1.693942432031250e+07, 1.776786584493216e-08, 6.260973619783307e+00, 1.776786584493216e-08, 6.260973619783307e+00, 8.998069794621277e+01, 1.438102921709113e+01, 1.005070342250149e+00
