"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoE]"   ,"Linear_Solver_Iterations",    "LinSolRes"   ,"LinSolIterTurb",  "LinSolResTurb" ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,"Avg_Massflow(inlet)","Avg_Massflow(outlet)","Avg_Massflow(blade1)", "Avg_Mach(inlet)","Avg_Mach(outlet)","Avg_Mach(blade1)", "Avg_Temp(inlet)","Avg_Temp(outlet)","Avg_Temp(blade1)","Avg_Press(inlet)","Avg_Press(outlet)","Avg_Press(blade1)","Avg_Density(inlet)","Avg_Density(outlet)","Avg_Density(blade1)","Avg_Enthalpy(inlet)","Avg_Enthalpy(outlet)","Avg_Enthalpy(blade1)","Avg_NormalVel(inlet)","Avg_NormalVel(outlet)","Avg_NormalVel(blade1)","Uniformity(inlet)","Uniformity(outlet)","Uniformity(blade1)","Secondary_Strength(inlet)","Secondary_Strength(outlet)","Secondary_Strength(blade1)","Momentum_Distortion(inlet)","Momentum_Distortion(outlet)","Momentum_Distortion(blade1)","Secondary_Over_Uniformity(inlet)","Secondary_Over_Uniformity(outlet)","Secondary_Over_Uniformity(blade1)","Avg_TotalTemp(inlet)","Avg_TotalTemp(outlet)","Avg_TotalTemp(blade1)","Avg_TotalPress(inlet)","Avg_TotalPress(outlet)","Avg_TotalPress(blade1)",   "CD(blade1)"   ,   "CL(blade1)"   ,   "CSF(blade1)"  ,   "CMx(blade1)"  ,   "CMy(blade1)"  ,   "CMz(blade1)"  ,   "CFx(blade1)"  ,   "CFy(blade1)"  ,   "CFz(blade1)"  ,  "CEff(blade1)"  
           0,         0.0427324,      -2.305676429,     -0.8371294492,       3.196673955,                         8,      -4.107405369,               3,      -4.441831346,    1.32124913e-07,   0.0002930556892,                12,              14.4,       14.27917501,          5.530149235,          -5.731693695,                     0,      0.4697154244,      0.4999013261,                 0,       292.8092448,       300.0136169,                 0,       5390.767988,        5485.353294,                  0,       0.06413540314,        0.06369333405,                    0,          307168.6653,           316489.8621,                     0,           109.0940812,           -113.8536622,                      0,        109.0941548,         113.8536622,                   0,                118.5867975,                 131.0263553,                           0,             1.348429573e-06,             -2.749007688e-10,                          nan,                       1.087013303,                        1.150831276,                                nan,           305.7308133,            315.0083777,                      0,             6270.33173,             6506.367419,                       0,       2.813820422,     -0.6842718301,                 0,                 0,                 0,      -1.457907044,       1.329605788,      -2.572539942,                 0,     -0.2431824806
           1,     0.04548935004,      -2.552374683,     -0.4336839167,       2.943018228,                        10,      -3.993175262,               4,      -4.711606825,   1.701779978e-07,   0.0003516883638,                12,             17.28,       17.02512424,          5.656911511,          -5.730831051,                     0,      0.4637354219,      0.4998449642,                 0,       287.6195018,       300.0229308,                 0,       5399.991129,        5485.917316,                  0,       0.06540534762,        0.06369790574,                    0,           301401.284,           316496.2904,                     0,           109.4330103,           -113.8283565,                      0,        109.4315359,         113.8283565,                   0,                113.5063963,                 131.0259852,                           0,             -2.69467547e-05,             -6.315952206e-10,                          nan,                       1.037236619,                        1.151083871,                                nan,            299.990429,            315.0147759,                      0,            6257.532469,             6506.791988,                       0,       5.023339333,      -1.343333681,                 0,                 0,                 0,      -2.692203353,       2.281780326,       -4.67246851,                 0,     -0.2674184625
           2,     0.04530250002,      -2.701262189,     -0.5542798405,        2.80203494,                        10,      -3.409252621,               5,      -4.548127351,   1.429953836e-07,   0.0004239570515,                12,            20.736,       20.34586521,          5.861629548,          -5.730502727,                     0,      0.4743252229,      0.4998235288,                 0,       284.3072177,       300.0271735,                 0,       5438.990412,        5486.114557,                  0,       0.06664592657,        0.06369929514,                    0,          298497.7037,           316499.4742,                     0,           111.2885635,           -113.8193526,                      0,        111.2841499,         113.8193525,                   0,                 115.408642,                 131.0255732,                           0,            -7.931755135e-05,             -9.495358944e-10,                          nan,                       1.037062709,                        1.151171311,                                nan,           297.1004404,            315.0179448,                      0,            6344.938783,             6506.932975,                       0,       6.990308955,      -1.693691976,                 0,                 0,                 0,      -3.858986326,       3.307809745,      -6.386815051,                 0,     -0.2422914334
           3,     0.04524847501,      -2.887589313,     -0.6102174122,       2.614052044,                        10,      -2.836693927,               5,       -4.04961918,   1.209714227e-07,   0.0005107967997,               1.2,            2.0736,       2.034586521,          6.007601715,          -5.730522955,                     0,      0.4923380318,      0.4998248064,                 0,       282.4617803,       300.0272617,                 0,       5465.414099,        5486.084854,                  0,       0.06740710685,        0.06369893154,                    0,          297549.8607,           316499.6442,                     0,           112.7692781,           -113.8204041,                      0,        112.7661376,          113.820404,                   0,                121.6398845,                 131.0252813,                           0,            -5.569751834e-05,             -1.503641434e-09,                          nan,                       1.078691592,                        1.151158111,                                nan,           296.1570342,             315.018114,                      0,            6450.701049,             6506.903286,                       0,        7.88689699,      -1.695293347,                 0,                 0,                 0,      -4.420716095,       3.894815851,      -7.064529224,                 0,     -0.2149506136
           4,     0.04150836002,      -3.005696174,     -0.5960909136,       2.492811119,                         4,      -4.644745073,               2,      -4.645223917,   1.074014461e-08,   5.109654922e-05,              1.44,           2.48832,       2.441503825,          6.025526974,          -5.730585627,                     0,      0.4968158375,      0.4998292583,                 0,       282.5668513,       300.0263904,                 0,        5471.13309,        5486.035949,                  0,       0.06745212592,        0.06369854868,                    0,          297912.1106,           316498.9934,                     0,           113.0276676,            -113.822333,                      0,        113.0255368,         113.8223329,                   0,                123.4994375,                 131.0253195,                           0,            -3.770241132e-05,             -1.766517932e-09,                          nan,                       1.092668444,                        1.151138938,                                nan,           296.5175884,            315.0174663,                      0,            6476.553477,             6506.864586,                       0,       7.906051609,      -1.675173139,                 0,                 0,                 0,      -4.439761515,       3.922567325,      -7.065785354,                 0,     -0.2118849233
           5,     0.03922858334,       -3.00973005,      -0.601603607,       2.487573651,                         4,      -4.204809154,               2,      -4.363330327,   1.280200671e-08,   6.131272622e-05,             1.728,          2.985984,        2.92980459,          6.036913996,          -5.730655417,                     0,      0.5013405624,      0.4998340088,                 0,       282.6627739,       300.0254881,                 0,       5474.852204,        5485.987185,                  0,       0.06747468784,        0.06369817404,                    0,          298269.7797,           316498.3279,                     0,           113.2013794,           -113.8243887,                      0,        113.1999887,         113.8243886,                   0,                125.4448842,                 131.0253731,                           0,            -2.456908061e-05,             -2.176856251e-09,                          nan,                       1.108170465,                         1.15111862,                                nan,           296.8735833,            315.0168039,                      0,            6500.477326,             6506.827349,                       0,       7.861135657,      -1.644766558,                 0,                 0,                 0,      -4.420727118,       3.916047947,      -7.011938342,                 0,     -0.2092276014
           6,     0.03786147143,      -3.001880882,     -0.6144778235,       2.494653109,                         5,      -4.754370756,               2,      -4.087221323,   1.533762465e-08,   7.356837983e-05,            2.0736,         3.5831808,       3.515765508,          6.041464578,           -5.73073232,                     0,      0.5058251464,      0.4998390228,                 0,       282.7557115,       300.0245596,                 0,       5476.503406,        5485.939729,                  0,       0.06747252359,        0.06369782016,                    0,          298624.4141,           316497.6506,                     0,           113.2890066,           -113.8265486,                      0,        113.2880535,         113.8265485,                   0,                127.4368247,                 131.0254472,                           0,            -1.682611179e-05,             -2.780951913e-09,                          nan,                       1.124891997,                        1.151097428,                                nan,           297.2265576,            315.0161297,                      0,            6521.996197,             6506.792806,                       0,       7.756470595,      -1.608619467,                 0,                 0,                 0,      -4.365156055,       3.874662044,      -6.909231992,                 0,     -0.2073906485
           7,     0.03772380001,      -2.992193897,     -0.6277293174,       2.504171408,                         5,      -4.305609379,               3,      -5.605316257,   1.847484411e-08,   8.827097704e-05,           2.48832,        4.29981696,        4.21891861,          6.039749289,          -5.730814757,                     0,      0.5101682707,      0.4998442038,                 0,       282.8569426,       300.0236128,                 0,       5476.334788,        5485.894667,                  0,       0.06744603437,        0.06369749795,                    0,          298982.0032,           316496.9641,                     0,            113.300674,           -113.8287619,                      0,        113.2998731,         113.8287617,                   0,                129.4223445,                 131.0255447,                           0,            -1.413729572e-05,             -3.598761733e-09,                          nan,                       1.142299113,                        1.151075904,                                nan,           297.5824728,            315.0154464,                      0,            6540.932916,             6506.761827,                       0,       7.611193567,      -1.572972369,                 0,                 0,                 0,       -4.28364532,       3.806254945,      -6.776203427,                 0,     -0.2066656635
           8,     0.03733060001,      -2.986330631,     -0.6339797564,       2.510304677,                         6,      -4.708162506,               3,      -5.218474545,   2.235028733e-08,   0.0001059080245,          2.985984,       5.159780352,       5.062702332,          6.033121523,          -5.730898821,                     0,      0.5142433936,      0.4998493578,                 0,       282.9818869,       300.0226659,                 0,       5474.904427,        5485.853077,                  0,       0.06739845247,        0.06369721609,                    0,          299351.3031,           316496.2757,                     0,           113.2561874,           -113.8309354,                      0,         113.255309,         113.8309352,                   0,                131.3326426,                 131.0256643,                           0,             -1.55111914e-05,             -4.580648971e-09,                          nan,                       1.159615772,                        1.151054976,                                nan,           297.9500441,            315.0147613,                      0,            6557.357731,             6506.734848,                       0,        7.45287502,       -1.54454332,                 0,                 0,                 0,      -4.192706833,       3.723844308,      -6.638067768,                 0,     -0.2072412748
           9,     0.03703794001,      -2.981429534,     -0.6315903757,       2.515579281,                         6,      -4.299699053,               3,      -4.849032731,   2.713508503e-08,   0.0001270606108,         3.5831808,       6.191736422,       6.075242798,          6.023282623,          -5.730978122,                     0,      0.5178830281,      0.4998541753,                 0,       283.1482686,       300.0217564,                 0,       5472.933277,        5485.816307,                  0,       0.06733447266,        0.06369698223,                    0,          299740.9235,           316495.6067,                     0,           113.1792908,           -113.8329286,                      0,        113.1781867,         113.8329283,                   0,                133.0812935,                 131.0258001,                           0,            -1.951004906e-05,             -5.571828998e-09,                          nan,                       1.175856385,                        1.151036014,                                nan,           298.3378407,            315.0140954,                      0,            6571.341369,             6506.712127,                       0,       7.314178356,      -1.528174054,                 0,                 0,                 0,      -4.112452403,       3.645205152,      -6.522652863,                 0,     -0.2089331131
