"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 6.703156606578117e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.443213437008800e+04, 0.000000000000000e+00, 5.772853748035201e+03, 3.000140090042764e+02, 0.000000000000000e+00, 1.045879283955357e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845982537335136e-05, -1.548129331643250e-03, -4.318202891684033e-03, -1.067449983382130e+01, 4.453290236644706e-01, 0.000000000000000e+00, 8.970291824279510e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.249895793186908e-04, -0.000000000000000e+00, 2.861049400037157e+05, -1.406748718536377e+06, 4.563234605979867e-08, 8.286490218826344e+00, 4.563234605979867e-08, 8.286490218826344e+00, 8.976858547069033e+01, 1.570676181139962e+02, 1.153084227338141e+00
1, 2.117543268287793e-03, -1.911503674812590e-02, 6.018240825021856e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.290093981367587e+04, 0.000000000000000e+00, 5.160375925470348e+03, 2.987047462517840e+02, 0.000000000000000e+00, 5.138988198030439e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.839781003747632e-05, 3.855930746333603e-03, -7.424981262962186e-03, -2.810729890492674e+01, 5.713598028992092e-01, 0.000000000000000e+00, 2.540337480948489e-08, -0.000000000000000e+00, -0.000000000000000e+00, 8.768596552673202e-04, -0.000000000000000e+00, 5.235788743084114e+05, -1.040559993875122e+08, 4.924083623332378e-08, 9.943788262591619e+00, 4.924083623332378e-08, 9.943788262591619e+00, 8.886749468868351e+01, 4.031866048359785e+02, 3.791049928920412e+00
2, 1.008484337972640e+00, 4.008750548969052e-01, 5.251281199856733e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.152269472046791e+04, 0.000000000000000e+00, 4.609077888187164e+03, 3.057589073354033e+02, 0.000000000000000e+00, 3.505734186673264e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.873039539377120e-05, 1.057487284732986e-03, 1.718340919878432e-03, -8.518261735580198e+01, 2.573260639603722e-01, 0.000000000000000e+00, 5.433820394396873e-07, -0.000000000000000e+00, -0.000000000000000e+00, -8.961363124377633e-03, -0.000000000000000e+00, 1.240383779481809e+05, -1.766421120452881e+05, 2.440849182336368e-08, 5.754507096407179e+00, 2.440849182336368e-08, 5.754507096407179e+00, 8.941694691761097e+01, 3.976236504314383e+02, 4.069029999465076e+00
3, 1.005685326238642e+00, 4.172673987150262e-01, 5.303329135164127e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.168197643755380e+04, 0.000000000000000e+00, 4.672790575021520e+03, 3.069432458989808e+02, 0.000000000000000e+00, 9.039633287312644e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.878586495439829e-05, 4.087580788322927e-04, -3.448434168439420e-04, -3.271441594422972e+01, 1.329081888740912e-01, 0.000000000000000e+00, 7.830053631712529e-08, -0.000000000000000e+00, -0.000000000000000e+00, -1.560914623477148e-03, -0.000000000000000e+00, -3.277202776190828e+04, -3.121853725728989e+05, 4.257672700057756e-08, 9.943788262591619e+00, 4.257672700057756e-08, 9.943788262591619e+00, 8.976161628272578e+01, 1.463466678339198e+02, 1.153388875742237e+00
4, 1.205553233755100e-02, 1.158169843817634e-02, 6.625146344744186e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.426321973913214e+04, 0.000000000000000e+00, 5.705287895652853e+03, 2.999939066905492e+02, 0.000000000000000e+00, 9.871935451629097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845887419131670e-05, 3.652186630792668e-03, 1.667509069422368e-03, -1.024179125197738e+01, 4.138277567274802e-01, 0.000000000000000e+00, 2.855693959667240e-08, -0.000000000000000e+00, -0.000000000000000e+00, 4.582404728554618e-04, -0.000000000000000e+00, -2.504126018888730e+05, -1.802814514127350e+07, 5.401295941093449e-08, 9.943788262591619e+00, 5.401295941093449e-08, 9.943788262591619e+00, 8.903619058678964e+01, 3.498650337431257e+02, 3.791187713552237e+00
5, 9.914719648770512e-01, 4.168755972174639e-01, 5.152901696720158e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.157387468215324e+04, 0.000000000000000e+00, 4.629549872861296e+03, 3.129804819041403e+02, 0.000000000000000e+00, 5.283871371046257e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.906700641897862e-05, 6.210193163479347e-03, 7.043118232068017e-03, -7.225804883969825e+01, 5.406418074046160e-01, 0.000000000000000e+00, 2.286883766203540e-07, -0.000000000000000e+00, -0.000000000000000e+00, 8.181972058422519e-03, -0.000000000000000e+00, -5.670585482538627e+05, -1.928223580827637e+08, 3.391672536943840e-08, 8.286490218826344e+00, 3.391672536943840e-08, 8.286490218826344e+00, 8.848912118086248e+01, 3.447969100573507e+02, 4.070170008907859e+00
532, -3.392512939647013e-04, -1.110881097564754e-03, 6.671520927499176e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.436110453358205e+04, 0.000000000000000e+00, 5.744441813432817e+03, 2.999530811199049e+02, 0.000000000000000e+00, 1.021201502000826e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.845694235057387e-05, -1.483978879573681e-03, -5.276721554085256e-03, -1.384124225319985e+01, 4.851986587729163e-01, 0.000000000000000e+00, 9.600555834492193e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.612288238518495e-04, -0.000000000000000e+00, 3.419228632626309e+05, -1.707151023864746e+03, 4.532705055344549e-08, 8.286490218826344e+00, 4.532705055344549e-08, 8.286490218826344e+00, 8.998762040593944e+01, 1.683724273923359e+02, 1.000556437400229e+00
533, -6.287264580049256e-04, -2.235621071326404e-03, 6.638297848552589e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.428616808097129e+04, 0.000000000000000e+00, 5.714467232388515e+03, 2.998812811222016e+02, 0.000000000000000e+00, 9.951664506908170e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845354450865621e-05, -1.404489031815639e-03, -6.228598721490317e-03, -1.789592875932729e+01, 5.225627138264805e-01, 0.000000000000000e+00, 9.629888150710542e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.732276298922168e-04, -0.000000000000000e+00, 3.983591139527108e+05, -6.865310031127930e+04, 4.512856473437068e-08, 8.286490218826344e+00, 4.512856473437068e-08, 8.286490218826344e+00, 8.998997519451659e+01, 1.683240322304383e+02, 1.000371290464808e+00
534, -8.499598541537394e-04, -3.375760789031907e-03, 6.595009459692952e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.418912893034433e+04, 0.000000000000000e+00, 5.675651572137729e+03, 2.997993236747536e+02, 0.000000000000000e+00, 9.614522945273826e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844966549466798e-05, -1.158187540093185e-03, -7.175186244343715e-03, -2.256421143214303e+01, 5.558511593324520e-01, 0.000000000000000e+00, 9.682238620221906e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.861300820741324e-04, -0.000000000000000e+00, 4.535494979540028e+05, -2.179512692260742e+04, 4.484804717654071e-08, 8.286490218826344e+00, 4.484804717654071e-08, 8.286490218826344e+00, 8.999053919921305e+01, 1.683203648798110e+02, 1.000386972706051e+00
535, -9.986856712599253e-04, -4.527586893806173e-03, 6.549263889412907e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.408654104254358e+04, 0.000000000000000e+00, 5.634616417017431e+03, 2.997106750059572e+02, 0.000000000000000e+00, 9.258103495243093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844546920682082e-05, -7.867958910970664e-04, -7.949030502164313e-03, -2.663114067234704e+01, 5.808008501069704e-01, 0.000000000000000e+00, 9.792051378653591e-09, -0.000000000000000e+00, -0.000000000000000e+00, 3.989994891394446e-04, -0.000000000000000e+00, 4.985815361281512e+05, -3.380900756835938e+04, 4.454220358043133e-08, 8.286490218826344e+00, 4.454220358043133e-08, 8.286490218826344e+00, 8.999098288774843e+01, 1.683285002448240e+02, 1.000369455487807e+00
536, -1.078651250672866e-03, -5.686239157161590e-03, 6.502894082415613e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.398249735402892e+04, 0.000000000000000e+00, 5.592998941611568e+03, 2.996183458902898e+02, 0.000000000000000e+00, 8.896626180186283e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844109805864661e-05, -3.469496473007245e-04, -8.567075327589994e-03, -3.019287460774008e+01, 5.997208897501169e-01, 0.000000000000000e+00, 9.946187697970000e-09, -0.000000000000000e+00, -0.000000000000000e+00, 4.111753881393002e-04, -0.000000000000000e+00, 5.352988881420738e+05, -5.726346075439453e+04, 4.423412324774325e-08, 8.286490218826344e+00, 4.423412324774325e-08, 8.286490218826344e+00, 8.999143621994611e+01, 1.683345687916436e+02, 1.000349970107137e+00
537, -1.092640759306319e-03, -6.847578636026124e-03, 6.454912751730546e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.387497201639224e+04, 0.000000000000000e+00, 5.549988806556894e+03, 2.995243097777758e+02, 0.000000000000000e+00, 8.523052627533830e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.843664542224255e-05, 1.353945838338636e-04, -9.050822441034799e-03, -3.329390766452054e+01, 6.140486969557615e-01, 0.000000000000000e+00, 1.013351765283199e-08, -0.000000000000000e+00, -0.000000000000000e+00, 4.216248302401555e-04, -0.000000000000000e+00, 5.652615091646867e+05, -5.290065814208984e+04, 4.391503341385273e-08, 8.286490218826344e+00, 4.391503341385273e-08, 8.286490218826344e+00, 8.999182626714348e+01, 1.683406205014655e+02, 1.000333239162716e+00
538, -1.043919249891062e-03, -8.007995044263550e-03, 6.407220058674533e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.376814687873554e+04, 0.000000000000000e+00, 5.507258751494214e+03, 2.994306042812985e+02, 0.000000000000000e+00, 8.151911768419845e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.843220776408317e-05, 6.354260376956892e-04, -9.393707448555312e-03, -3.575397583219641e+01, 6.240603483790059e-01, 0.000000000000000e+00, 1.036106197476921e-08, -0.000000000000000e+00, -0.000000000000000e+00, 4.311902913445089e-04, -0.000000000000000e+00, 5.880925638496570e+05, -6.535645089721680e+04, 4.359793307093341e-08, 8.286490218826344e+00, 4.359793307093341e-08, 8.286490218826344e+00, 8.999223557574703e+01, 1.683461823654346e+02, 1.000315900927390e+00
