"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity","Residual_Density","Residual_Momentum_x","Residual_Momentum_y","Residual_Energy","Residual_Nu_Tilde","Vorticity","Q_Criterion","Delta_Time","CFL","Turb_Delta_Time","Turb_CFL","Orthogonality","Aspect_Ratio","Volume_Ratio"
0, 0.000000000000000e+00, 0.000000000000000e+00, 7.479151318756050e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.609558850018424e+04, 0.000000000000000e+00, 6.438235400073696e+03, 2.998781873151382e+02, 0.000000000000000e+00, 9.917098826078653e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.845339808934622e-05, -2.422728589872418e-03, -2.943258493454250e-03, -4.647318642629894e+00, 6.025651057832103e-01, 0.000000000000000e+00, 7.195853401091485e-10, -0.000000000000000e+00, -0.000000000000000e+00, -5.700687354121079e-05, -0.000000000000000e+00, 1.983328660712795e+05, -3.774705753234863e+06, 8.066741410129837e-08, 6.343217671863913e+00, 8.066741410129837e-08, 6.343217671863913e+00, 8.942804767744843e+01, 3.474696637689228e+02, 1.326061820059806e+00
1, -7.875290548433245e-03, -2.347783741076659e-02, 7.131076761745651e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.531833535229242e+04, 0.000000000000000e+00, 6.127334140916965e+03, 2.993276238942062e+02, 0.000000000000000e+00, 6.678785304721794e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.842733009108134e-05, 2.385621537662037e-04, -5.366157636547087e-03, -9.143625313910682e+00, 6.994413272664477e-01, 0.000000000000000e+00, 1.867328553630897e-09, -0.000000000000000e+00, -0.000000000000000e+00, -1.001613029834036e-04, -0.000000000000000e+00, 2.798616166880476e+05, -9.599074296638489e+07, 8.083131017040476e-08, 6.343217671863913e+00, 8.083131017040476e-08, 6.343217671863913e+00, 8.800027260226859e+01, 8.030924522814464e+02, 3.052548643874055e+00
2, 1.012039259235665e+00, 5.576620528760232e-01, 6.410167799751824e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.381791943471783e+04, 0.000000000000000e+00, 5.527167773887130e+03, 3.003748691258365e+02, 0.000000000000000e+00, 4.275180480762591e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.847689493315973e-05, 8.851070616074842e-04, 2.749865131159921e-03, -6.751470954258656e+00, 4.839384505553201e-01, 0.000000000000000e+00, 2.155676884677256e-08, -0.000000000000000e+00, -0.000000000000000e+00, -2.714479245063905e-03, -0.000000000000000e+00, 1.501078174151476e+05, -2.115056151445389e+06, 7.862131977718241e-08, 6.343217671863913e+00, 7.862131977718241e-08, 6.343217671863913e+00, 8.936992450957659e+01, 7.914988117678490e+02, 3.281519252476565e+00
3, 1.004160632848833e+00, 5.771213701891769e-01, 6.526403260144813e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.410052614600675e+04, 0.000000000000000e+00, 5.640210458402697e+03, 3.010590936975532e+02, 0.000000000000000e+00, 1.604958289875658e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.850923302272411e-05, -2.341509940705183e-04, 1.154461521714605e-04, -1.487578887114982e+00, 1.471874774423622e-01, 0.000000000000000e+00, 1.190923104175287e-08, -0.000000000000000e+00, -0.000000000000000e+00, -1.114226567460633e-03, -0.000000000000000e+00, 1.354824424036225e+04, -5.176718993306160e+03, 8.060751327536200e-08, 6.343217671863913e+00, 8.060751327536200e-08, 6.343217671863913e+00, 8.920274631381011e+01, 3.229468198989543e+02, 1.325775348775378e+00
4, 1.600681808485844e-02, 9.862785042303257e-03, 7.555337840067936e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.627109490553069e+04, 0.000000000000000e+00, 6.508437962212277e+03, 3.000911764450204e+02, 0.000000000000000e+00, 1.064832103734882e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.846347642036760e-05, 6.200961209635299e-04, 1.599443726809214e-04, -7.723756408606260e-01, 2.478997984559378e-01, 0.000000000000000e+00, 4.069010575728524e-09, -0.000000000000000e+00, -0.000000000000000e+00, -3.061788111728414e-04, -0.000000000000000e+00, -3.329412540829446e+04, -1.106443420325637e+06, 8.064589658615137e-08, 6.343217671863913e+00, 8.064589658615137e-08, 6.343217671863913e+00, 8.833447490518887e+01, 6.062511656286288e+02, 3.053160594453198e+00
5, 9.883741491683498e-01, 5.737558483006548e-01, 6.306738448918101e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.380819592511552e+04, 0.000000000000000e+00, 5.523278370046209e+03, 3.050861249994699e+02, 0.000000000000000e+00, 3.870064429375854e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.869883818261708e-05, 4.002003861444008e-03, 7.074959687700323e-03, -3.282855193224582e+01, 8.016138673776194e-01, 0.000000000000000e+00, 4.448351273940732e-08, -0.000000000000000e+00, -0.000000000000000e+00, -7.987039591981215e-04, -0.000000000000000e+00, -4.174373676904825e+05, -7.284705389913330e+08, 7.726411007658070e-08, 6.343217671863913e+00, 7.726411007658070e-08, 6.343217671863913e+00, 8.624811212090859e+01, 5.935486782077488e+02, 3.283418473706270e+00
716, -2.476787312686942e-03, -3.401433723517496e-03, 7.436215272615893e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.599859709226187e+04, 0.000000000000000e+00, 6.399438836904746e+03, 2.997921689242390e+02, 0.000000000000000e+00, 9.512998066136564e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844932683863080e-05, -2.552380739489887e-03, -4.050888908017946e-03, -7.948791820236776e+00, 6.734180018961994e-01, 0.000000000000000e+00, 8.150249426710456e-10, -0.000000000000000e+00, -0.000000000000000e+00, -5.887801713769930e-05, -0.000000000000000e+00, 2.491561245051236e+05, -3.656229167556763e+04, 8.070066633877723e-08, 6.343217671863913e+00, 8.070066633877723e-08, 6.343217671863913e+00, 8.998100601247906e+01, 3.960990756935577e+02, 1.000589908321824e+00
717, -4.475457086676075e-03, -7.103007474641014e-03, 7.362665205611164e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.583500049546723e+04, 0.000000000000000e+00, 6.334000198186892e+03, 2.996907683633182e+02, 0.000000000000000e+00, 8.831396360328146e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.844452681970624e-05, -2.360760270339501e-03, -5.148077367280339e-03, -1.162382038256280e+01, 7.288731294920402e-01, 0.000000000000000e+00, 7.515457915536619e-10, -0.000000000000000e+00, -0.000000000000000e+00, -5.561958491863417e-05, -0.000000000000000e+00, 2.947986054672406e+05, -1.241218566894531e+00, 8.070391146103225e-08, 6.343217671863913e+00, 8.070391146103225e-08, 6.343217671863913e+00, 8.998056424360388e+01, 3.961293918732226e+02, 1.000433360303944e+00
718, -5.976586379372592e-03, -1.103339728695132e-02, 7.297897257120754e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.569023091169992e+04, 0.000000000000000e+00, 6.276092364679968e+03, 2.995862845030316e+02, 0.000000000000000e+00, 8.228234698176697e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.843958001932714e-05, -1.874435916062905e-03, -5.925415264937396e-03, -1.409275080709165e+01, 7.600462324166998e-01, 0.000000000000000e+00, 7.324285106035047e-10, -0.000000000000000e+00, -0.000000000000000e+00, -5.153182422456756e-05, -0.000000000000000e+00, 3.235798726419588e+05, -2.409001718902588e+04, 8.068457687837734e-08, 6.343217671863913e+00, 8.068457687837734e-08, 6.343217671863913e+00, 8.998213762471522e+01, 3.963357546636425e+02, 1.000400529226886e+00
719, -7.009201667674919e-03, -1.511261115809877e-02, 7.231409670658676e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.554225106944989e+04, 0.000000000000000e+00, 6.216900427779954e+03, 2.994892865251289e+02, 0.000000000000000e+00, 7.611697955486993e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.843498688756224e-05, -1.248498828570755e-03, -6.260057771661460e-03, -1.481015693280277e+01, 7.666459572894709e-01, 0.000000000000000e+00, 7.619472126012829e-10, -0.000000000000000e+00, -0.000000000000000e+00, -4.774857556322232e-05, -0.000000000000000e+00, 3.324366989981835e+05, -3.163043975830078e+02, 8.066531602490491e-08, 6.343217671863913e+00, 8.066531602490491e-08, 6.343217671863913e+00, 8.998417475054455e+01, 3.965319779918293e+02, 1.000345531715311e+00
