PS,,SS,
x [m],y [m],x [m],y [m]
0.00000000,0.00000000,0.00000000,0.00000000
0.00003843,-0.00004301,-0.00004023,0.00005241
0.00007972,-0.00008329,-0.00007583,0.00010807
0.00012341,-0.00012096,-0.00010639,0.00016665
0.00016941,-0.00015577,-0.00013199,0.00022756
0.00021761,-0.00018746,-0.00015278,0.00029028
0.00026776,-0.00021597,-0.00016912,0.00035431
0.00031956,-0.00024136,-0.00018143,0.00041924
0.00037277,-0.00026363,-0.00019003,0.00048476
0.00042718,-0.00028280,-0.00019511,0.00055065
0.00048256,-0.00029895,-0.00019686,0.00061671
0.00053869,-0.00031226,-0.00019558,0.00068278
0.00059537,-0.00032298,-0.00019160,0.00074875
0.00065246,-0.00033132,-0.00018520,0.00081453
0.00070982,-0.00033744,-0.00017659,0.00088005
0.00076737,-0.00034150,-0.00016598,0.00094529
0.00082502,-0.00034366,-0.00015352,0.00101019
0.00088271,-0.00034406,-0.00013937,0.00107475
0.00094039,-0.00034282,-0.00012364,0.00113894
0.00099802,-0.00034008,-0.00010646,0.00120276
0.00105557,-0.00033595,-0.00008791,0.00126619
0.00111301,-0.00033055,-0.00006809,0.00132924
0.00117032,-0.00032397,-0.00004707,0.00139190
0.00122751,-0.00031632,-0.00002495,0.00145418
0.00128455,-0.00030766,-0.00000176,0.00151607
0.00134144,-0.00029808,0.00002241,0.00157758
0.00139818,-0.00028764,0.00004752,0.00163872
0.00145477,-0.00027640,0.00007351,0.00169948
0.00151121,-0.00026443,0.00010035,0.00175988
0.00156750,-0.00025179,0.00012799,0.00181991
0.00162364,-0.00023850,0.00015639,0.00187959
0.00167965,-0.00022464,0.00018552,0.00193891
0.00173551,-0.00021022,0.00021534,0.00199790
0.00179124,-0.00019530,0.00024582,0.00205654
0.00184684,-0.00017990,0.00027695,0.00211484
0.00190232,-0.00016406,0.00030868,0.00217281
0.00195768,-0.00014781,0.00034100,0.00223046
0.00201292,-0.00013116,0.00037388,0.00228779
0.00206805,-0.00011416,0.00040731,0.00234481
0.00212307,-0.00009681,0.00044126,0.00240151
0.00217800,-0.00007915,0.00047572,0.00245791
0.00223282,-0.00006118,0.00051067,0.00251401
0.00228756,-0.00004294,0.00054609,0.00256981
0.00234220,-0.00002443,0.00058196,0.00262531
0.00239676,-0.00000568,0.00061828,0.00268053
0.00245125,0.00001331,0.00065503,0.00273546
